System,System,System,System,System,System,System,System,System,System
Time,EXEC,CFREQ,READ,WRITE,INST,PhysIPC%,Proc Energy (Joules),DRAM Energy (Joules),UncFREQ (Ghz)
19:57:17.399,0.0,1.15,0.0,0.0,2.69,12.26,4.14,0.25,0.69
19:57:17.499,0.0,1.07,0.0,0.0,7.18,24.79,2.6,0.15,0.24
19:57:17.599,0.0,1.0,0.0,0.0,5.42,25.57,2.18,0.12,0.1
19:57:17.699,0.0,1.0,0.0,0.0,5.42,25.09,2.14,0.09,0.08
19:57:17.799,0.0,1.11,0.01,0.01,30.07,38.46,3.0,0.21,0.4
19:57:17.912,0.11,2.49,0.01,0.03,1370.6,16.42,8.6,0.94,1.43
19:57:17.998,0.5,3.14,0.02,0.11,6179.1,28.03,17.06,1.26,2.15
19:57:18.097,0.59,3.26,0.02,0.14,7263.1,28.11,19.92,1.27,2.33
19:57:18.212,0.65,3.3,0.03,0.15,8169.23,28.04,20.84,1.29,2.31
19:57:18.298,0.49,3.31,0.02,0.13,6129.74,25.3,19.35,1.27,2.37
19:57:18.398,0.12,3.29,0.01,0.04,1441.47,22.94,12.39,1.08,2.38
19:57:18.499,0.22,2.5,1.64,1.44,2750.54,13.48,16.5,1.88,2.38
19:57:18.598,0.58,2.74,5.04,2.76,7182.82,27.69,20.23,2.87,2.35
19:57:18.698,0.61,2.73,5.12,2.5,7531.16,28.99,19.93,2.84,2.31
19:57:18.798,0.58,2.89,5.05,2.87,7194.83,26.21,20.45,2.92,2.32
19:57:18.898,0.59,2.83,5.2,2.87,7345.5,27.32,20.57,2.94,2.32
19:57:18.998,0.41,2.94,4.21,2.84,5176.4,20.25,19.23,2.71,2.24
