Time,IPC
2024-10-31 15:42:48,1.37
2024-10-31 15:42:49,1.30
2024-10-31 15:42:51,1.33
2024-10-31 15:42:52,2.11
2024-10-31 15:42:53,1.47
2024-10-31 15:42:54,1.32
2024-10-31 15:42:55,1.36
2024-10-31 15:42:56,2.03
2024-10-31 15:42:58,1.69
2024-10-31 15:42:59,1.31
2024-10-31 15:43:00,1.37
2024-10-31 15:43:01,2.03
2024-10-31 15:43:02,1.78
2024-10-31 15:43:03,1.32
2024-10-31 15:43:05,1.35
2024-10-31 15:43:06,1.87
2024-10-31 15:43:07,1.68
2024-10-31 15:43:08,1.29
2024-10-31 15:43:09,1.36
2024-10-31 15:43:11,2.10
2024-10-31 15:43:12,1.48
2024-10-31 15:43:13,1.32
2024-10-31 15:43:14,1.33
2024-10-31 15:43:15,2.27
2024-10-31 15:43:16,1.32
2024-10-31 15:43:18,1.30
2024-10-31 15:43:19,1.30
2024-10-31 15:43:20,2.15
2024-10-31 15:43:21,1.33
2024-10-31 15:43:22,1.31
2024-10-31 15:43:23,1.29
2024-10-31 15:43:25,2.42
2024-10-31 15:43:26,1.32
2024-10-31 15:43:27,1.29
2024-10-31 15:43:28,1.24
2024-10-31 15:43:29,2.40
2024-10-31 15:43:30,1.34
2024-10-31 15:43:32,1.30
2024-10-31 15:43:33,1.39
2024-10-31 15:43:34,1.47
2024-10-31 15:43:35,1.41
2024-10-31 15:43:36,1.38
