Time,IPC
2024-10-31 16:03:30,1.85
2024-10-31 16:03:31,2.09
2024-10-31 16:03:32,2.08
2024-10-31 16:03:34,2.07
2024-10-31 16:03:35,2.22
2024-10-31 16:03:36,2.09
2024-10-31 16:03:37,2.10
2024-10-31 16:03:38,2.06
2024-10-31 16:03:39,2.07
2024-10-31 16:03:41,2.24
2024-10-31 16:03:42,2.09
2024-10-31 16:03:43,2.07
2024-10-31 16:03:44,2.07
2024-10-31 16:03:45,2.20
2024-10-31 16:03:46,2.04
2024-10-31 16:03:48,2.11
2024-10-31 16:03:49,2.07
2024-10-31 16:03:50,2.05
2024-10-31 16:03:51,2.21
2024-10-31 16:03:52,2.12
2024-10-31 16:03:54,2.10
2024-10-31 16:03:55,2.08
2024-10-31 16:03:56,2.12
2024-10-31 16:03:57,2.16
2024-10-31 16:03:58,2.11
2024-10-31 16:03:59,2.08
2024-10-31 16:04:01,2.08
2024-10-31 16:04:02,2.20
2024-10-31 16:04:03,2.13
2024-10-31 16:04:04,2.09
2024-10-31 16:04:05,2.07
2024-10-31 16:04:06,2.08
2024-10-31 16:04:08,2.23
2024-10-31 16:04:09,2.10
2024-10-31 16:04:10,2.08
2024-10-31 16:04:11,2.10
2024-10-31 16:04:12,2.23
2024-10-31 16:04:13,2.05
2024-10-31 16:04:15,2.09
2024-10-31 16:04:16,2.09
2024-10-31 16:04:17,2.08
2024-10-31 16:04:18,2.22
2024-10-31 16:04:19,2.11
2024-10-31 16:04:20,2.09
2024-10-31 16:04:22,2.08
2024-10-31 16:04:23,2.07
2024-10-31 16:04:24,2.17
2024-10-31 16:04:25,2.10
2024-10-31 16:04:26,2.08
2024-10-31 16:04:27,2.09
2024-10-31 16:04:29,2.26
2024-10-31 16:04:30,2.07
2024-10-31 16:04:31,2.11
2024-10-31 16:04:32,2.08
2024-10-31 16:04:33,2.09
2024-10-31 16:04:34,2.23
2024-10-31 16:04:36,2.09
2024-10-31 16:04:37,2.06
2024-10-31 16:04:38,2.08
2024-10-31 16:04:39,2.13
2024-10-31 16:04:40,2.12
2024-10-31 16:04:41,2.06
2024-10-31 16:04:43,2.09
2024-10-31 16:04:44,2.10
2024-10-31 16:04:45,2.15
2024-10-31 16:04:46,1.34
2024-10-31 16:04:47,1.40
