CPU Cap (W),GPU Cap (W),CPU_E (J),GPU_E (J),Runtime (s)
105,260,1371.54,1912.09,15.43
105,240,1369.08,1920.96,15.41
105,220,1362.25,1908.27,15.34
105,200,1358.56,1915.66,15.34
105,180,1380.61,1926.31,15.54
105,160,1353.28,1912.37,15.25
105,140,1361.93,1899.82,15.34
105,120,1384.34,1776.11,15.6
105,100,1467.07,1599.21,16.5
100,260,1302.26,1893.3,15.36
100,240,1306.8,1915.14,15.38
100,220,1295.15,1906.7,15.33
100,200,1305.31,1935.15,15.44
100,180,1293.89,1924.36,15.29
100,160,1305.04,1918.64,15.39
100,140,1308.65,1919.17,15.43
100,120,1332.96,1780.38,15.72
100,100,1403.37,1599.88,16.55
95,260,1244.19,1906.6,15.36
95,240,1237.89,1911.08,15.33
95,220,1240.22,1919.36,15.33
95,200,1245.62,1919.59,15.44
95,180,1240.49,1915.44,15.31
95,160,1249.39,1918.71,15.42
95,140,1317.4,1980.85,16.3
95,120,1314.16,1830.81,16.24
95,100,1346.71,1607.38,16.61
90,260,1241.25,1956.16,16.06
90,240,1235.65,1960.33,16.0
90,220,1247.18,1972.05,16.22
90,200,1233.91,1975.25,16.02
90,180,1229.3,1968.93,15.9
90,160,1318.91,2016.38,16.77
90,140,1245.24,1963.83,16.15
90,120,1261.6,1840.13,16.31
90,100,1335.52,1668.08,17.31
85,260,1215.06,1985.67,16.54
85,240,1240.13,2033.91,17.11
85,220,1225.36,2019.63,16.91
85,200,1211.13,1996.39,16.43
85,180,1215.55,1997.07,16.63
85,160,1219.62,2013.01,16.55
85,140,1227.11,1995.06,16.76
85,120,1224.12,1855.1,16.59
85,100,1298.65,1696.66,17.66
80,260,1131.08,1977.56,16.42
80,240,783.43,1356.52,16.46
80,220,1284.44,2070.5,17.53
80,200,1273.89,2079.5,17.53
80,180,1121.51,1974.06,16.24
80,160,1281.44,2076.88,17.61
80,140,1117.56,1948.42,16.18
80,120,1152.17,1867.24,16.69
80,100,1201.3,1665.54,17.36
75,260,1093.1,2027.69,17.14
75,240,1197.52,2049.95,17.38
75,220,1111.92,2043.6,17.05
75,200,1076.32,1987.06,16.6
75,180,-261032.97,2069.73,17.44
75,160,1101.92,2062.39,17.24
75,140,1082.39,2002.71,16.77
75,120,1129.9,1945.45,17.7
75,100,1171.02,1763.02,18.33
70,260,1130.9,2147.02,18.79
70,240,1104.83,2115.22,18.31
70,220,1122.63,2146.66,18.62
70,200,1155.45,2183.92,19.25
70,180,1156.78,2174.61,19.28
70,160,1164.46,2067.58,17.9
70,140,1088.38,2076.0,17.98
70,120,1139.82,2045.19,18.91
70,100,1156.53,1823.37,19.07
65,260,1076.88,2118.96,18.54
65,240,1084.31,2137.76,18.66
65,220,1079.62,2132.8,18.58
65,200,1083.0,2135.75,18.64
65,180,1081.0,2124.8,18.63
65,160,1079.68,2138.41,18.58
65,140,1081.92,2144.61,18.63
65,120,1094.51,2048.7,18.83
65,100,1137.29,1857.89,19.55
105,260,1374.96,1921.14,15.45
105,240,1361.94,1913.36,15.33
105,220,1369.51,1925.11,15.41
105,200,1357.23,1901.49,15.27
105,180,1359.39,1922.92,15.28
105,160,1357.82,1929.45,15.3
105,140,1360.82,1911.5,15.3
105,120,1388.52,1775.72,15.63
105,100,1469.33,1593.62,16.51
100,260,1316.94,1917.59,15.51
100,240,1351.28,1939.65,15.88
100,220,1321.89,1926.18,15.55
100,200,1324.91,1924.92,15.56
100,180,1319.52,1942.87,15.54
100,160,1315.43,1936.77,15.45
100,140,1319.49,1920.63,15.51
100,120,1361.32,1798.24,16.0
100,100,1439.02,1625.35,16.91
95,260,1272.85,1934.08,15.67
95,240,1297.39,1964.89,16.0
95,220,1269.59,1935.51,15.67
95,200,1250.59,1931.08,15.44
95,180,1254.11,1919.15,15.48
95,160,1259.54,1926.21,15.53
95,140,1257.24,1909.68,15.49
95,120,1286.65,1798.06,15.88
95,100,1355.98,1604.26,16.7
90,260,1225.14,1946.79,15.86
90,240,1250.17,1981.6,16.19
90,220,1256.92,1981.0,16.25
90,200,1247.89,1989.96,16.15
90,180,1227.82,1950.51,15.89
90,160,1251.67,1968.79,16.19
90,140,1234.81,1966.79,15.98
90,120,1285.21,1854.66,16.62
90,100,1324.3,1641.56,17.12
85,260,1200.3,1921.26,15.8
85,240,1207.59,1991.4,16.45
85,220,1231.72,2017.45,16.65
85,200,1212.98,2007.94,16.5
85,180,1214.24,1999.76,16.51
85,160,1242.83,2055.44,17.13
85,140,1211.83,1984.69,16.43
85,120,1222.83,1854.93,16.62
85,100,1282.88,1667.28,17.46
80,260,1123.81,1959.21,16.3
80,240,1127.73,1982.26,16.37
80,220,1133.2,1982.04,16.4
80,200,1114.33,1979.81,16.15
80,180,-261029.36,1978.19,16.14
80,160,1134.28,2010.41,16.41
80,140,1135.18,1985.91,16.42
80,120,1145.13,1835.33,16.53
80,100,1208.98,1678.9,17.57
75,260,1104.88,2079.32,17.58
75,240,1078.75,2012.98,16.63
75,220,1074.55,2001.27,16.58
75,200,1080.15,2015.74,16.71
75,180,1092.73,2041.44,17.01
75,160,1080.46,2011.03,16.76
75,140,1122.95,2082.87,17.73
75,120,1111.44,1914.93,17.27
75,100,1158.07,1727.42,18.0
70,260,1115.85,2142.99,18.55
70,240,1126.07,2159.18,18.69
70,220,1153.32,2205.24,19.24
70,200,1162.6,2097.35,17.95
70,180,1120.3,2150.06,18.57
70,160,1102.56,2131.33,18.23
70,140,1139.64,2189.03,18.97
70,120,1167.25,2099.83,19.47
70,100,1152.05,1819.28,19.05
65,260,1086.44,2144.6,18.71
65,240,1083.67,2150.11,18.68
65,220,1083.21,2149.51,18.66
65,200,1080.78,2153.54,18.62
65,180,1081.17,2087.47,17.93
65,160,1081.96,2146.67,18.65
65,140,1084.32,2156.89,18.67
65,120,1098.1,2059.61,18.88
65,100,1139.78,1858.98,19.62
105,260,1388.21,1905.41,15.6
105,240,1400.33,1922.21,15.75
105,220,1355.22,1905.92,15.25
105,200,1361.53,1884.46,15.33
105,180,1372.26,1919.7,15.43
105,160,1363.33,1915.38,15.34
105,140,1354.96,1896.87,15.26
105,120,1390.13,1779.98,15.64
105,100,1467.73,1589.21,16.5
100,260,1351.03,1946.86,15.92
100,240,1304.8,1895.76,15.38
100,220,1309.76,1912.94,15.43
100,200,1330.34,1933.36,15.65
100,180,1323.17,1936.53,15.61
100,160,1306.29,1923.59,15.43
100,140,1355.37,1946.73,15.98
100,120,1342.2,1789.81,15.8
100,100,1453.88,1653.77,17.05
95,260,1304.63,1949.94,16.12
95,240,1305.22,1940.08,16.14
95,220,1253.46,1890.63,15.47
95,200,1284.81,1946.42,15.83
95,180,1332.86,2003.87,16.45
95,160,1273.35,1936.24,15.73
95,140,1285.48,1944.0,15.87
95,120,1314.28,1821.76,16.25
95,100,1398.83,1659.58,17.25
90,260,1226.23,1932.55,15.85
90,240,1234.39,1934.51,15.97
90,220,1239.31,1952.46,16.05
90,200,1249.58,1974.63,16.19
90,180,1240.18,1975.69,16.08
90,160,1251.85,1985.79,16.27
90,140,1226.37,1946.1,15.88
90,120,1263.54,1830.89,16.36
90,100,1325.13,1656.29,17.15
85,260,1208.77,1971.03,16.47
85,240,1201.55,1970.6,16.3
85,220,1183.2,1950.84,16.08
85,200,1194.07,1965.66,16.19
85,180,1206.82,1981.36,16.37
85,160,-260927.57,2017.1,16.72
85,140,1208.23,1963.14,16.4
85,120,1234.88,1865.84,16.79
85,100,1289.72,1692.96,17.56
80,260,1305.63,2063.94,17.83
80,240,1118.6,1964.29,16.26
80,220,1130.22,1986.43,16.42
80,200,1114.84,1964.53,16.22
80,180,1112.56,1972.08,16.13
80,160,1113.21,1974.4,16.18
80,140,1118.39,1969.32,16.25
80,120,1152.31,1866.55,16.79
80,100,1189.78,1665.85,17.32
75,260,1097.41,2000.1,17.09
75,240,1082.27,1983.41,16.81
75,220,1074.8,1978.17,16.7
75,200,1070.63,1994.25,16.54
75,180,1069.24,1977.06,16.52
75,160,1075.63,1988.58,16.59
75,140,1075.25,1981.8,16.69
75,120,1097.4,1891.58,16.97
75,100,1145.35,1704.36,17.65
70,260,1080.4,2065.94,17.85
70,240,1102.03,2114.33,18.25
70,220,1109.92,2106.37,18.42
70,200,1134.92,2148.91,18.91
70,180,1123.11,2135.81,18.69
70,160,1049.17,2035.77,17.22
70,140,1092.29,2095.22,18.06
70,120,1117.58,2017.67,18.5
70,100,1205.48,1900.89,20.08
65,260,1078.8,2124.07,18.6
65,240,1080.72,2128.0,18.63
65,220,1080.94,2142.28,18.65
65,200,1081.33,2134.72,18.64
65,180,1080.78,2128.39,18.62
65,160,1081.48,2131.8,18.63
65,140,1079.03,2064.43,17.78
65,120,1097.73,2067.28,18.89
65,100,1138.01,1854.13,19.58
