CPU Cap (W),GPU Cap (W),Runtime (s)
65,100,45.85029697418213
65,120,45.45390582084656
65,140,45.37522768974304
65,160,45.27446627616882
65,180,45.381242513656616
65,200,45.29604530334473
65,220,45.21945285797119
65,240,45.49331450462341
65,260,45.146260499954224
70,100,38.30990743637085
70,120,39.786118268966675
70,140,38.496514558792114
70,160,37.87358069419861
70,180,37.96690559387207
70,200,37.538785457611084
70,220,38.01810598373413
70,240,40.4158661365509
70,260,38.23038673400879
75,100,34.47272181510925
75,120,33.47637963294983
75,140,32.74717140197754
75,160,32.811227560043335
75,180,32.843897581100464
75,200,32.751769065856934
75,220,32.377559185028076
75,240,33.228867530822754
75,260,32.83401846885681
80,100,32.36969542503357
80,120,31.688236474990845
80,140,32.34252953529358
80,160,31.722351551055908
80,180,31.710227966308594
80,200,32.14086151123047
80,220,31.94866418838501
80,240,32.07026147842407
80,260,33.99907851219177
85,100,31.81854271888733
85,120,32.306912660598755
85,140,32.912811040878296
85,160,33.204405307769775
85,180,32.37548351287842
85,200,33.26032114028931
85,220,34.02413296699524
85,240,34.3947491645813
85,260,34.11355948448181
90,100,32.08176827430725
90,120,32.27008581161499
90,140,32.616257429122925
90,160,32.12310266494751
90,180,32.601656675338745
90,200,33.314743757247925
90,220,31.114002466201782
90,240,32.33330988883972
90,260,31.176584005355835
95,100,26.238329887390137
95,120,26.09774136543274
95,140,28.107789278030396
95,160,26.1770761013031
95,180,26.09931778907776
95,200,26.59161639213562
95,220,26.067809104919434
95,240,26.016850233078003
95,260,26.253177642822266
100,100,28.917123794555664
100,120,29.15259552001953
100,140,29.34962010383606
100,160,29.723165035247803
100,180,29.324437856674194
100,200,27.991942644119263
100,220,27.567240953445435
100,240,29.038939237594604
100,260,26.98957061767578
105,100,26.163610696792603
105,120,25.5414080619812
105,140,25.451446533203125
105,160,25.73178744316101
105,180,25.49668264389038
105,200,25.497829914093018
105,220,25.456026077270508
105,240,25.45392656326294
105,260,25.919902563095093
110,100,24.85505223274231
110,120,24.876556396484375
110,140,24.868553400039673
110,160,24.9646475315094
110,180,24.86985158920288
110,200,24.86928081512451
110,220,24.84612250328064
110,240,24.934403896331787
110,260,24.853745937347412
115,100,24.48292088508606
115,120,24.503159046173096
115,140,24.46243190765381
115,160,24.452895879745483
115,180,24.475822925567627
115,200,24.540029525756836
115,220,24.52716064453125
115,240,24.46115517616272
115,260,24.52614951133728
120,100,24.459213256835938
120,120,24.47508454322815
120,140,24.461169719696045
120,160,24.435272216796875
120,180,24.360785245895386
120,200,24.460737466812134
120,220,24.43614625930786
120,240,24.39068579673767
120,260,24.464841604232788
125,100,24.429553508758545
125,120,24.45368528366089
125,140,24.436582803726196
125,160,24.43231701850891
125,180,24.426305055618286
125,200,24.41083788871765
125,220,24.438655376434326
125,240,24.44121527671814
125,260,24.444952964782715
