Time (s),Package Power (W)
0.30037355422973633,164.46699999999998
0.6495933532714844,142.87
1.0016639232635498,142.053
1.352358102798462,141.738
1.7018029689788818,141.804
2.0526952743530273,141.87099999999998
2.4017627239227295,141.974
2.752164840698242,141.938
3.0971662998199463,141.767
3.4475178718566895,141.791
3.7967441082000732,141.767
4.147582292556763,141.987
4.4967734813690186,142.099
4.846004009246826,141.753
5.198220252990723,141.784
5.547532558441162,141.824
5.900678634643555,141.831
6.250325441360474,142.079
6.599543333053589,141.723
6.948102951049805,141.773
7.297365427017212,141.80700000000002
7.647731304168701,141.84300000000002
7.997750282287598,141.988
8.349174737930298,141.83999999999997
8.699490785598755,141.735
9.050198554992676,141.748
9.400645971298218,141.767
9.750492095947266,141.95100000000002
10.099844455718994,178.19400000000002
10.448040962219238,191.95499999999998
10.79571795463562,186.156
11.143978118896484,189.89
11.492136001586914,190.399
11.839700698852539,184.118
12.188998937606812,141.601
