Time (s),GPU Power (W)
0.1002509593963623,6.31
0.2638223171234131,54.37
0.41930389404296875,54.94
0.5715465545654297,55.48
0.7065021991729736,55.53
0.8387432098388672,55.4
0.970442533493042,55.31
1.102278232574463,55.39
1.2353847026824951,55.29
1.3868708610534668,55.54
1.5227692127227783,55.68
1.655888557434082,55.46
1.7877264022827148,55.54
1.9203839302062988,55.38
2.0566422939300537,55.65
2.188523769378662,56.15
2.320350408554077,55.76
2.452300548553467,55.8
2.5854098796844482,55.78
2.7203447818756104,56.16
2.8539576530456543,56.23
2.9856622219085693,56.25
3.1176698207855225,56.07
3.2516918182373047,56.19
3.3853793144226074,56.13
3.5192365646362305,56.15
3.6701509952545166,56.02
3.8023290634155273,56.08
3.9358253479003906,56.19
4.071680068969727,56.11
4.226339340209961,56.18
4.3622190952301025,56.18
4.49649977684021,56.28
4.628075361251831,56.38
4.760363817214966,56.34
4.892848014831543,56.06
5.028080940246582,55.88
5.16243314743042,56.13
5.29428505897522,56.09
5.428026914596558,56.05
5.5633909702301025,56.17
5.695719957351685,56.11
5.827453374862671,56.41
5.959556818008423,55.77
6.11667799949646,56.17
6.250153541564941,56.42
6.382633447647095,56.13
6.518371105194092,56.1
6.652418375015259,56.16
6.7850751876831055,56.02
6.917858600616455,56.26
7.05275821685791,56.23
7.186330795288086,56.28
7.318211078643799,56.58
7.45145320892334,56.62
