Time, sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
2024-09-13 16:22:03,226.212,221.784,447.996
2024-09-13 16:22:03,219.034,213.01,432.044
2024-09-13 16:22:04,219.599,214.297,433.896
2024-09-13 16:22:04,227.879,222.641,450.52
2024-09-13 16:22:05,213.105,207.654,420.759
2024-09-13 16:22:05,229.572,231.259,460.831
2024-09-13 16:22:06,224.636,214.427,439.063
2024-09-13 16:22:06,217.996,215.107,433.103
2024-09-13 16:22:07,225.9,217.176,443.076
2024-09-13 16:22:07,218.327,212.711,431.038
2024-09-13 16:22:08,216.214,212.267,428.481
2024-09-13 16:22:08,229.098,224.17,453.268
2024-09-13 16:22:09,213.789,210.319,424.108
2024-09-13 16:22:09,228.56,223.767,452.326
2024-09-13 16:22:10,220.543,214.031,434.574
2024-09-13 16:22:10,218.768,216.28,435.048
2024-09-13 16:22:11,225.039,219.892,444.931
2024-09-13 16:22:11,218.562,213.309,431.871
2024-09-13 16:22:12,212.629,211.476,424.105
2024-09-13 16:22:12,6046.1,3074.29,9120.39
2024-09-13 16:22:13,7333.29,3629.13,10962.4
2024-09-13 16:22:13,7334.43,3632.83,10967.3
2024-09-13 16:22:14,7132.66,3525.31,10658
2024-09-13 16:22:14,79.0715,71.1391,150.211
2024-09-13 16:22:15,82.3296,64.8894,147.219
2024-09-13 16:22:15,85.7551,74.3789,160.134
2024-09-13 16:22:16,374.389,201.021,575.411
2024-09-13 16:22:16,13.0383,14.9035,27.9418
2024-09-13 16:22:17,7.01858,6.69743,13.716
2024-09-13 16:22:17,10.5922,12.0423,22.6345
2024-09-13 16:22:18,5.69574,6.19733,11.8931
2024-09-13 16:22:18,14.1794,14.2174,28.3968
2024-09-13 16:22:19,5.01303,5.36638,10.3794
Time, sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
2024-09-13 16:24:00,9.37671,12.7588,22.1355
2024-09-13 16:24:01,19.7455,21.6446,41.3901
2024-09-13 16:24:01,419.718,325.902,745.62
2024-09-13 16:24:02,14.9777,15.8991,30.8767
2024-09-13 16:24:02,7.28741,7.25406,14.5415
2024-09-13 16:24:03,17.5768,19.2023,36.7791
2024-09-13 16:24:03,7.41836,7.51583,14.9342
2024-09-13 16:24:04,12.6238,14.6465,27.2703
2024-09-13 16:24:04,7.49288,7.31746,14.8103
2024-09-13 16:24:05,17.4308,17.7302,35.161
2024-09-13 16:24:05,6.37627,7.00524,13.3815
2024-09-13 16:24:06,20.0843,20.677,40.7613
2024-09-13 16:24:06,6.31035,6.82812,13.1385
2024-09-13 16:24:07,12.9917,14.529,27.5208
2024-09-13 16:24:07,6.17401,6.59033,12.7643
2024-09-13 16:24:08,12.3628,14.1555,26.5183
2024-09-13 16:24:08,6.03485,6.52479,12.5596
2024-09-13 16:24:09,12.8095,14.8185,27.628
2024-09-13 16:24:09,5.44951,5.90574,11.3552
2024-09-13 16:24:10,17.8958,16.6918,34.5876
2024-09-13 16:24:10,5.72742,6.24083,11.9683
2024-09-13 16:24:11,14.5675,15.5932,30.1607
2024-09-13 16:24:11,11.0272,11.8091,22.8363
2024-09-13 16:24:12,12.4173,14.4353,26.8526
2024-09-13 16:24:12,6.08026,6.656,12.7363
2024-09-13 16:24:13,11.988,13.8865,25.8745
2024-09-13 16:24:13,5.9679,6.43899,12.4069
2024-09-13 16:24:14,13.7951,15.6635,29.4586
2024-09-13 16:24:14,5.46475,5.87697,11.3417
2024-09-13 16:24:15,14.7154,16.48,31.1954
2024-09-13 16:24:15,6.39769,6.78246,13.1802
2024-09-13 16:24:16,12.3617,14.3615,26.7233
2024-09-13 16:24:16,6.10706,6.67408,12.7811
2024-09-13 16:24:17,17.943,20.7509,38.6938
2024-09-13 16:24:17,6.62701,7.12721,13.7542
2024-09-13 16:24:18,13.4576,15.632,29.0896
2024-09-13 16:24:18,9.4071,9.84536,19.2525
2024-09-13 16:24:19,12.9366,15.2841,28.2207
2024-09-13 16:24:19,6.12335,6.67588,12.7992
2024-09-13 16:24:20,12.4029,14.2535,26.6564
2024-09-13 16:24:20,6.51116,6.74326,13.2544
2024-09-13 16:24:21,14.3252,15.7952,30.1204
2024-09-13 16:24:21,7.10798,7.6101,14.7181
2024-09-13 16:24:22,13.67,15.9015,29.5715
2024-09-13 16:24:22,10.3634,11.7125,22.0759
2024-09-13 16:24:23,12.6769,14.5031,27.18
2024-09-13 16:24:23,5.59019,6.00715,11.5973
2024-09-13 16:24:24,12.4754,14.3719,26.8473
2024-09-13 16:24:24,5.89428,6.40269,12.297
2024-09-13 16:24:25,13.0507,15.0582,28.109
2024-09-13 16:24:25,6.69525,6.98934,13.6846
2024-09-13 16:24:26,13.0633,15.085,28.1483
2024-09-13 16:24:26,6.47118,6.93355,13.4047
2024-09-13 16:24:27,12.9419,14.7575,27.6993
2024-09-13 16:24:27,5.86902,6.34036,12.2094
2024-09-13 16:24:28,16.0977,18.6994,34.7971
2024-09-13 16:24:28,6.25751,6.63869,12.8962
2024-09-13 16:24:29,12.6741,14.661,27.3351
2024-09-13 16:24:29,6.36409,6.93316,13.2973
2024-09-13 16:24:30,38.64,34.9944,73.6344
2024-09-13 16:24:30,4.25106,4.5894,8.84047
2024-09-13 16:24:31,11.6252,13.4681,25.0933
Time, sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
2024-09-13 16:24:52,6.45669,8.256,14.7127
2024-09-13 16:24:53,314.908,256.148,571.056
2024-09-13 16:24:53,1081.24,952.703,2033.94
2024-09-13 16:24:54,1282.58,1234.69,2517.27
2024-09-13 16:24:54,1245.56,1230.64,2476.2
2024-09-13 16:24:55,1253.21,1234.17,2487.38
2024-09-13 16:24:55,1260.23,1225.16,2485.39
2024-09-13 16:24:56,1268.96,1237.32,2506.29
2024-09-13 16:24:56,1252.48,1228.43,2480.91
2024-09-13 16:24:57,1274.89,1247.9,2522.79
2024-09-13 16:24:57,1249.2,1225.6,2474.79
2024-09-13 16:24:58,1257.81,1240.76,2498.56
2024-09-13 16:24:58,1212.85,1187.49,2400.34
2024-09-13 16:24:59,1000.04,973.648,1973.68
2024-09-13 16:24:59,973.16,949.151,1922.31
2024-09-13 16:25:00,995.112,972.333,1967.44
2024-09-13 16:25:00,982.598,958.994,1941.59
2024-09-13 16:25:01,991.601,969.289,1960.89
2024-09-13 16:25:01,997.498,969.05,1966.55
2024-09-13 16:25:02,1000.79,976.946,1977.73
2024-09-13 16:25:02,981.565,956.122,1937.69
2024-09-13 16:25:03,990.343,969.63,1959.97
2024-09-13 16:25:03,988.529,962.491,1951.02
2024-09-13 16:25:04,988.575,965.004,1953.58
2024-09-13 16:25:04,983.392,957.164,1940.56
2024-09-13 16:25:05,992.047,969.203,1961.25
2024-09-13 16:25:05,2477.7,1664.93,4142.63
2024-09-13 16:25:06,7412.27,3669.99,11082.3
2024-09-13 16:25:06,7386.63,3651.81,11038.4
2024-09-13 16:25:07,7405.96,3669.26,11075.2
2024-09-13 16:25:07,7500.13,3686.85,11187
2024-09-13 16:25:08,7531.26,3726.53,11257.8
2024-09-13 16:25:08,7529.69,3722.91,11252.6
2024-09-13 16:25:09,6552.34,3241.07,9793.42
2024-09-13 16:25:09,1839.59,4432.5,6272.09
2024-09-13 16:25:10,2595.34,6370.26,8965.6
2024-09-13 16:25:10,2565.71,6397.94,8963.65
2024-09-13 16:25:11,2579.49,6389.79,8969.28
2024-09-13 16:25:11,2577.81,6381.04,8958.84
2024-09-13 16:25:12,2584.86,6354.67,8939.52
2024-09-13 16:25:12,1320.08,2347.8,3667.88
2024-09-13 16:25:13,296.633,279.344,575.978
2024-09-13 16:25:13,7.96781,7.82557,15.7934
2024-09-13 16:25:14,12.3403,14.6574,26.9977
2024-09-13 16:25:14,11.9695,13.9643,25.9339
2024-09-13 16:25:15,12.5168,14.7855,27.3023
