CPU Cap (W),GPU Cap (W),CPU_E (J),GPU_E (J),Runtime (s)
250,0,607.24,0,2.73
230,0,620.48,0,3.09
210,0,627.04,0,3.33
190,0,632.96,0,3.73
170,0,673.98,0,4.43
150,0,679.73,0,5.09
130,0,591.5,0,5.07
110,0,612.58,0,6.4
90,0,756.55,0,9.41
70,0,967.82,0,14.83
250,0,622.7,0,2.85
230,0,619.04,0,3.07
210,0,640.09,0,3.4
190,0,636.71,0,3.73
170,0,673.77,0,4.42
150,0,676.15,0,5.04
130,0,591.73,0,5.08
110,0,610.93,0,6.38
90,0,759.74,0,9.45
70,0,942.69,0,14.43
250,0,613.25,0,2.79
230,0,619.99,0,3.06
210,0,628.45,0,3.34
190,0,631.98,0,3.7
170,0,673.71,0,4.41
150,0,682.06,0,5.11
130,0,605.23,0,5.17
110,0,609.49,0,6.41
90,0,759.61,0,9.45
70,0,969.97,0,14.87
