Time (s),DRAM Power (W),IPC
0.0001,0.00,0.18
2.6152,497.74,0.13
6.2467,700.49,0.19
7.3721,249.57,0.23
8.4108,238.80,0.24
10.3343,478.26,0.22
12.8971,607.20,0.22
15.8013,749.76,0.24
17.6903,456.61,0.20
18.8574,257.07,0.31
19.2913,83.12,2.65
19.5809,25.13,2.65
19.8024,19.23,2.22
20.0854,24.57,2.89
