Timestamp, GPU Utilization (%), Memory Utilization (%)
2024-08-20 16:02:29, 0, 0
2024-08-20 16:02:29, 0, 0
2024-08-20 16:02:29, 0, 0
2024-08-20 16:02:30, 0, 0
2024-08-20 16:02:30, 0, 0
2024-08-20 16:02:30, 0, 0
2024-08-20 16:02:30, 0, 0
2024-08-20 16:02:30, 0, 0
2024-08-20 16:02:30, 0, 0
2024-08-20 16:02:30, 0, 0
2024-08-20 16:02:30, 0, 0
2024-08-20 16:02:30, 0, 0
2024-08-20 16:02:30, 0, 0
2024-08-20 16:02:31, 0, 0
2024-08-20 16:02:31, 0, 0
2024-08-20 16:02:31, 0, 0
2024-08-20 16:02:31, 0, 0
2024-08-20 16:02:31, 0, 0
2024-08-20 16:02:31, 0, 0
2024-08-20 16:02:31, 0, 0
2024-08-20 16:02:31, 0, 0
2024-08-20 16:02:31, 0, 0
2024-08-20 16:02:31, 0, 0
2024-08-20 16:02:32, 0, 0
2024-08-20 16:02:32, 0, 0
2024-08-20 16:02:32, 0, 0
2024-08-20 16:02:32, 0, 0
2024-08-20 16:02:32, 0, 0
2024-08-20 16:02:32, 0, 0
2024-08-20 16:02:32, 0, 0
2024-08-20 16:02:32, 0, 0
2024-08-20 16:02:32, 0, 0
2024-08-20 16:02:32, 0, 0
2024-08-20 16:02:33, 0, 0
2024-08-20 16:02:33, 0, 0
2024-08-20 16:02:33, 0, 0
2024-08-20 16:02:33, 0, 0
