Timestamp, Graphics Clock (MHz), SM Clock (MHz), Memory Clock (MHz)
2024-08-20 17:13:57, 405, 405, 715
2024-08-20 17:13:57, 405, 405, 715
2024-08-20 17:13:57, 405, 405, 715
2024-08-20 17:13:57, 405, 405, 715
2024-08-20 17:13:57, 405, 405, 715
2024-08-20 17:13:57, 405, 405, 715
2024-08-20 17:13:57, 1189, 1189, 715
2024-08-20 17:13:58, 1189, 1189, 715
2024-08-20 17:13:58, 1189, 1189, 715
2024-08-20 17:13:58, 1189, 1189, 715
2024-08-20 17:13:58, 1189, 1189, 715
2024-08-20 17:13:58, 1189, 1189, 715
2024-08-20 17:13:58, 1189, 1189, 715
2024-08-20 17:13:58, 1189, 1189, 715
2024-08-20 17:13:58, 1189, 1189, 715
2024-08-20 17:13:58, 1189, 1189, 715
2024-08-20 17:13:58, 1189, 1189, 715
2024-08-20 17:13:59, 1189, 1189, 715
2024-08-20 17:13:59, 1189, 1189, 715
2024-08-20 17:13:59, 1189, 1189, 715
2024-08-20 17:13:59, 1189, 1189, 715
2024-08-20 17:13:59, 1189, 1189, 715
2024-08-20 17:13:59, 1189, 1189, 715
2024-08-20 17:13:59, 1189, 1189, 715
2024-08-20 17:13:59, 1189, 1189, 715
2024-08-20 17:13:59, 1189, 1189, 715
2024-08-20 17:13:59, 1189, 1189, 715
2024-08-20 17:14:00, 1189, 1189, 715
2024-08-20 17:14:00, 1189, 1189, 715
2024-08-20 17:14:00, 1189, 1189, 715
2024-08-20 17:14:00, 1189, 1189, 715
2024-08-20 17:14:00, 1189, 1189, 715
2024-08-20 17:14:00, 1189, 1189, 715
2024-08-20 17:14:00, 1189, 1189, 715
2024-08-20 17:14:00, 1189, 1189, 715
2024-08-20 17:14:00, 1189, 1189, 715
2024-08-20 17:14:00, 1189, 1189, 715
2024-08-20 17:14:01, 1189, 1189, 715
2024-08-20 17:14:01, 1189, 1189, 715
2024-08-20 17:14:01, 1189, 1189, 715
2024-08-20 17:14:01, 1189, 1189, 715
2024-08-20 17:14:01, 1189, 1189, 715
2024-08-20 17:14:01, 1189, 1189, 715
2024-08-20 17:14:01, 1316, 1316, 715
2024-08-20 17:14:01, 1316, 1316, 715
2024-08-20 17:14:01, 1328, 1328, 715
2024-08-20 17:14:01, 1328, 1328, 715
2024-08-20 17:14:02, 1328, 1328, 715
2024-08-20 17:14:02, 1328, 1328, 715
2024-08-20 17:14:02, 1328, 1328, 715
2024-08-20 17:14:02, 1328, 1328, 715
2024-08-20 17:14:02, 1328, 1328, 715
2024-08-20 17:14:02, 1328, 1328, 715
2024-08-20 17:14:02, 1328, 1328, 715
2024-08-20 17:14:02, 1328, 1328, 715
2024-08-20 17:14:02, 1328, 1328, 715
2024-08-20 17:14:02, 1328, 1328, 715
2024-08-20 17:14:03, 1328, 1328, 715
2024-08-20 17:14:03, 1328, 1328, 715
2024-08-20 17:14:03, 1328, 1328, 715
2024-08-20 17:14:03, 1328, 1328, 715
2024-08-20 17:14:03, 1328, 1328, 715
2024-08-20 17:14:03, 1328, 1328, 715
2024-08-20 17:14:03, 1328, 1328, 715
2024-08-20 17:14:03, 1328, 1328, 715
2024-08-20 17:14:03, 1328, 1328, 715
2024-08-20 17:14:03, 1328, 1328, 715
2024-08-20 17:14:04, 1328, 1328, 715
2024-08-20 17:14:04, 1328, 1328, 715
2024-08-20 17:14:04, 1328, 1328, 715
2024-08-20 17:14:04, 1328, 1328, 715
2024-08-20 17:14:04, 1328, 1328, 715
2024-08-20 17:14:04, 1328, 1328, 715
2024-08-20 17:14:04, 1189, 1189, 715
2024-08-20 17:14:04, 1189, 1189, 715
2024-08-20 17:14:04, 1189, 1189, 715
2024-08-20 17:14:04, 1189, 1189, 715
2024-08-20 17:14:05, 1189, 1189, 715
2024-08-20 17:14:05, 1189, 1189, 715
2024-08-20 17:14:05, 1189, 1189, 715
2024-08-20 17:14:05, 1189, 1189, 715
2024-08-20 17:14:05, 1189, 1189, 715
2024-08-20 17:14:05, 1189, 1189, 715
2024-08-20 17:14:05, 1316, 1316, 715
2024-08-20 17:14:05, 1316, 1316, 715
2024-08-20 17:14:05, 1328, 1328, 715
2024-08-20 17:14:05, 1328, 1328, 715
2024-08-20 17:14:06, 1328, 1328, 715
2024-08-20 17:14:06, 1328, 1328, 715
2024-08-20 17:14:06, 1328, 1328, 715
2024-08-20 17:14:06, 1328, 1328, 715
2024-08-20 17:14:06, 1328, 1328, 715
2024-08-20 17:14:06, 1328, 1328, 715
2024-08-20 17:14:06, 1328, 1328, 715
2024-08-20 17:14:06, 1328, 1328, 715
2024-08-20 17:14:06, 1328, 1328, 715
2024-08-20 17:14:06, 1328, 1328, 715
2024-08-20 17:14:07, 1328, 1328, 715
2024-08-20 17:14:07, 1328, 1328, 715
2024-08-20 17:14:07, 1328, 1328, 715
2024-08-20 17:14:07, 1328, 1328, 715
2024-08-20 17:14:07, 1328, 1328, 715
2024-08-20 17:14:07, 1328, 1328, 715
2024-08-20 17:14:07, 1328, 1328, 715
2024-08-20 17:14:07, 1328, 1328, 715
2024-08-20 17:14:07, 1328, 1328, 715
2024-08-20 17:14:07, 1328, 1328, 715
2024-08-20 17:14:08, 1328, 1328, 715
2024-08-20 17:14:08, 1328, 1328, 715
2024-08-20 17:14:08, 1328, 1328, 715
