CPU Cap (W),GPU Cap (W),Runtime (s)
60,260,50.85
80,260,28.73
100,260,27.33
120,260,24.28
140,260,23.87
160,260,24.18
180,260,23.89
200,260,23.95
220,260,24.14
240,260,24.18
60,260,50.65
80,260,29.08
100,260,27.41
120,260,24.2
140,260,23.94
160,260,24.0
180,260,24.04
200,260,24.0
220,260,24.2
240,260,24.16
60,260,51.27
80,260,28.37
100,260,26.48
120,260,24.16
140,260,23.95
160,260,24.21
180,260,23.73
200,260,24.47
220,260,24.28
240,260,24.16
60,260,51.53
80,260,29.72
100,260,27.74
120,260,24.45
140,260,23.75
160,260,24.04
180,260,24.1
200,260,24.13
220,260,24.17
240,260,24.17
60,260,53.19
80,260,28.24
100,260,27.21
120,260,24.1
140,260,24.39
160,260,24.07
180,260,24.03
200,260,23.91
220,260,24.08
240,260,24.1
