Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
16.315,1623.92,3591.27,5215.18
16.4155,2492.03,5837.34,8329.37
16.5149,2457.07,5876.43,8333.5
16.6154,2484.3,5908,8392.3
16.7158,2518.93,5814.8,8333.72
16.8163,2551.72,5924.08,8475.8
16.9158,2508.07,5872.67,8380.74
17.0152,2530.86,5862.83,8393.69
17.1157,2488.7,5818.22,8306.92
17.2161,2444.02,5899.21,8343.23
17.3166,2497.67,5898.34,8396.01
17.4161,2495.21,5755.11,8250.32
17.5165,2503,5873.09,8376.09
17.6171,2514.72,5877.98,8392.71
17.7175,2534.55,5826.5,8361.04
17.817,2504.19,5871.4,8375.59
17.9175,2496.67,5870.2,8366.88
18.0179,2540.47,5915.6,8456.07
18.1184,2530.85,5822.46,8353.31
18.2179,2503.41,5869.1,8372.51
18.3173,2505.24,5851.98,8357.22
18.4178,2525.49,5812.33,8337.82
18.5183,2501.89,5883.66,8385.55
18.6177,2515.23,5886.76,8401.99
18.7172,2497.68,5775.32,8273
18.8177,2502.41,5924.24,8426.64
18.9181,2473.74,5881.07,8354.81
19.0186,2484.79,5898.76,8383.55
19.1181,2465.31,5750.08,8215.38
19.2185,2478.77,5867.24,8346.01
19.319,2515.16,5897.85,8413.01
19.4195,2515.2,5818.56,8333.77
19.519,2475.86,5819.76,8295.62
19.6195,991.951,1308.59,2300.55
19.72,738.248,609.687,1347.94
19.8206,931.874,674.399,1606.27
19.9201,805.459,578.748,1384.21
20.0205,803.176,692.3,1495.48
20.121,674.868,613.489,1288.36
20.2277,168.401,147.239,315.64
