Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
18.6187,222.533,221.34,443.873
18.7191,216.876,214.323,431.199
18.8196,311.621,306.712,618.333
18.9201,266.413,257.921,524.335
19.0196,229.614,222.26,451.875
19.1201,219.006,209.627,428.633
19.2206,253.304,248.416,501.72
19.3211,226.819,223.097,449.916
19.4205,218.941,213.997,432.939
19.5209,264.398,257.048,521.446
19.6212,347.233,317.576,664.808
19.7215,600.025,487.452,1087.48
19.8219,443.948,353.121,797.069
19.9224,188.781,150.276,339.058
20.0219,303.402,251.325,554.726
20.1223,352.566,309.724,662.29
20.2228,330.756,308.15,638.907
20.3233,161.668,145.994,307.662
20.4228,308.607,297.258,605.865
20.5222,382.111,362.696,744.806
20.6227,278.456,270.255,548.71
20.7232,157.268,158.33,315.598
20.8227,441.2,422.783,863.983
20.9222,407.59,393.256,800.846
21.0226,249.839,231.111,480.95
21.1231,184.637,182.652,367.289
21.2226,362.918,353.363,716.282
21.322,360.234,348.22,708.454
21.4225,266.843,257.246,524.089
21.523,183.151,179.276,362.428
21.6234,351.955,340.958,692.913
21.7229,382.173,374.097,756.27
21.8234,393.808,375.176,768.984
21.9238,262.337,254.896,517.233
22.0242,374.572,353.717,728.289
22.1247,390.936,374.837,765.773
22.2241,259.99,249.894,509.884
22.3246,284.559,279.693,564.252
22.4251,366.741,362.269,729.01
22.5256,422.591,415.52,838.111
22.6251,362.282,354.297,716.579
22.7255,217.014,212.5,429.514
22.826,436.365,443.498,879.863
22.9265,387.397,384.549,771.945
23.026,305.871,287.458,593.329
23.1265,407.564,394.554,802.117
23.2269,411.518,387.112,798.63
23.3274,376.968,352.387,729.355
23.4269,250.095,217.496,467.591
23.5264,322.217,310.935,633.152
23.6268,355.469,345.555,701.024
23.7273,401.402,392.792,794.194
23.8268,294.302,293.989,588.291
23.9262,342.683,338.881,681.564
24.0267,339.344,336.516,675.86
24.1272,436.892,418.377,855.268
24.2266,239.728,223.754,463.482
24.3261,362.214,340.128,702.342
24.4266,376.547,362.536,739.083
24.527,431.109,425.25,856.359
24.6275,160.556,160.509,321.064
24.727,350.84,342.364,693.204
24.8275,436.213,434.721,870.934
24.9279,409.749,405.022,814.771
25.0284,210.769,200.407,411.176
25.1279,378.997,373.261,752.258
25.2284,353.797,359.871,713.667
25.3289,570.804,350.956,921.759
25.4294,397.161,254.851,652.012
25.5289,276.159,262.482,538.641
25.6293,246.248,225.999,472.247
25.7299,224.25,211.853,436.102
25.8304,283.475,284.324,567.8
25.9298,231.609,224.025,455.634
26.0303,223.464,219.969,443.432
26.1308,243.905,239.92,483.825
26.2313,232.871,231.53,464.401
26.3308,240.531,241.631,482.161
26.4312,301.861,267.282,569.143
26.5317,265.514,259.157,524.671
26.6322,218.303,209.525,427.828
26.7316,220.143,206.239,426.383
26.8311,294.582,290.515,585.098
26.9316,228.454,222.217,450.671
27.0321,216.91,215.199,432.109
27.1315,242.614,240.635,483.249
27.231,231.933,230.742,462.675
27.3315,219.702,216.868,436.57
27.4319,220.11,220.849,440.959
27.5314,308.25,289.528,597.777
27.6308,246.621,235.332,481.953
27.7312,217.816,209.203,427.019
27.8317,283.066,283.199,566.265
27.9321,231.132,219.107,450.239
28.0316,221.664,216.295,437.958
28.1311,241.832,238.054,479.886
28.2316,228.992,227.13,456.122
28.332,228.162,221.704,449.866
28.4325,267.016,253.48,520.496
28.532,251.609,252.914,504.523
28.6325,264.227,241.845,506.072
28.733,223.045,215.457,438.502
28.8325,299.653,299.453,599.107
28.9319,249.452,227.865,477.316
29.0324,223.153,208.44,431.594
29.1329,255.531,250.884,506.415
29.2334,237.778,233.693,471.471
29.3329,219.366,219.763,439.13
29.4334,229.842,227.358,457.2
29.5338,274.925,269.142,544.067
29.6341,489.072,444.271,933.343
29.7343,477.89,390.834,868.724
29.8348,314.727,256.749,571.477
29.9343,232.55,173.644,406.195
30.0347,230.685,192.707,423.393
30.1352,269.892,241.523,511.414
30.2356,224.952,217.368,442.319
30.3351,219.481,207.867,427.348
30.4346,397.313,265.508,662.821
30.535,370.185,282.823,653.008
30.6355,220.501,214.668,435.169
30.735,225.713,218.165,443.878
30.8345,282.049,285.996,568.044
30.935,276.735,252.572,529.307
31.0354,220.884,218.559,439.443
31.1349,245.734,240.71,486.444
31.2344,229.756,224.093,453.849
31.3349,219.283,209.866,429.149
31.4353,230.678,226.298,456.976
31.5348,241.873,235.255,477.128
31.6343,218.794,216.094,434.888
31.7347,238.474,241.156,479.63
31.8352,281.071,284.563,565.634
31.9357,242.013,230.714,472.728
32.0351,264.801,240.455,505.256
32.1355,243.276,237.889,481.165
32.236,233.007,229.016,462.022
32.3365,222.412,214.483,436.895
32.436,241.276,233.511,474.788
32.5355,240.581,231.145,471.726
32.636,219.928,217.764,437.692
32.7365,220.229,216.588,436.817
32.836,317.615,311.313,628.928
32.9355,2799.67,1890.58,4690.25
33.036,6869.96,3381.59,10251.6
33.1363,6854.09,3378,10232.1
33.2357,6880.4,3404.71,10285.1
33.3352,6793.06,3364.81,10157.9
33.4357,6854.36,3400.51,10254.9
33.5362,6913.3,3434.13,10347.4
33.6367,6862.26,3399.93,10262.2
33.7362,6780.31,3363.98,10144.3
33.8368,6911.84,3459.28,10371.1
33.9373,6867.67,3407.2,10274.9
34.0368,6861.35,3398.49,10259.8
34.1364,6814.72,3390.66,10205.4
34.2369,6812.13,3362.65,10174.8
34.3364,6861.81,3400.32,10262.1
34.4361,6790.1,3371.31,10161.4
34.5366,6869.16,3427.54,10296.7
34.6361,6860.22,3400.38,10260.6
34.7356,6790.16,3366.17,10156.3
34.8361,6915.26,3462.35,10377.6
34.9367,6582.7,3262.9,9845.59
35.0361,62.2209,54.3276,116.549
35.1356,85.8086,79.4605,165.269
35.2361,86.2291,79.7152,165.944
35.3366,93.2762,69.5744,162.851
35.436,96.9173,85.8893,182.807
35.5355,106.863,93.4195,200.282
35.6359,82.4851,75.3242,157.809
35.7364,81.6544,73.9629,155.617
35.8369,147.276,144.746,292.022
35.9364,88.3546,81.8086,170.163
36.0369,83.7536,74.5414,158.295
36.1373,107.206,97.9373,205.143
36.2378,82.3443,76.4659,158.81
36.3373,80.5645,72.2944,152.859
36.4377,103.094,93.1686,196.263
36.5382,100.109,88.0243,188.134
36.6386,77.1814,70.1549,147.336
36.7382,847.953,226.857,1074.81
36.8377,901.097,621.647,1522.74
36.9526,250.68,196.474,447.154
