System,System,System,System,System,System,System,System,System,System
Time,EXEC,CFREQ,READ,WRITE,INST,PhysIPC%,Proc Energy (Joules),DRAM Energy (Joules),UncFREQ (Ghz)
19:51:38.917,0.0,1.12,0.0,0.0,2.97,12.12,3.17,0.23,0.37
19:51:39.017,0.0,1.0,0.0,0.0,5.67,24.02,2.5,0.13,0.19
19:51:39.116,0.0,1.0,0.0,0.0,5.75,25.23,2.31,0.12,0.13
19:51:39.217,0.0,1.0,0.0,0.0,5.64,25.36,2.36,0.15,0.14
19:51:39.317,0.0,1.0,0.0,0.0,8.33,26.03,2.39,0.14,0.18
19:51:39.418,0.03,1.35,0.01,0.01,361.32,10.9,7.14,1.03,1.45
19:51:39.528,0.25,1.27,0.0,0.01,3124.27,32.91,8.98,1.26,1.21
19:51:39.617,0.17,1.54,0.0,0.02,2144.64,26.66,8.9,1.26,1.24
19:51:39.719,0.1,1.35,0.07,0.15,1205.36,13.78,8.76,1.27,1.55
19:51:39.818,0.35,1.33,0.38,0.5,4373.93,34.68,9.24,1.58,1.26
19:51:39.918,0.63,1.18,0.49,0.16,7790.68,69.58,9.08,1.52,1.2
19:51:40.018,0.62,1.14,0.54,0.21,7747.87,71.97,9.08,1.56,1.2
19:51:40.118,0.64,1.14,0.61,0.26,8046.33,74.01,9.21,1.6,1.2
19:51:40.219,0.66,1.14,0.66,0.3,8256.15,75.82,9.3,1.62,1.2
19:51:40.320,0.63,1.06,0.66,0.32,7871.2,77.72,9.2,1.63,1.2
19:51:40.419,0.65,1.09,0.69,0.36,8129.39,78.83,9.13,1.62,1.19
19:51:40.519,0.63,1.02,0.68,0.37,7836.99,80.47,9.13,1.66,1.2
19:51:40.620,0.65,1.04,0.73,0.4,8155.11,81.55,9.23,1.67,1.2
19:51:40.720,0.66,1.04,0.73,0.43,8235.23,82.96,9.17,1.65,1.2
19:51:40.820,0.62,1.09,0.68,0.41,7658.52,74.22,9.12,1.65,1.2
19:51:40.921,0.31,1.06,0.36,0.23,3958.03,73.25,8.11,1.32,1.35
19:51:41.022,0.14,1.43,0.31,0.26,1754.88,18.93,9.13,1.47,1.53
19:51:41.121,0.07,1.16,1.24,0.59,870.49,8.23,9.56,1.72,1.61
19:51:41.221,0.22,0.94,3.77,0.05,2702.87,30.03,9.44,2.22,1.13
19:51:41.321,0.22,1.06,3.81,0.05,2743.77,27.27,9.43,2.21,1.06
19:51:41.421,0.22,1.03,3.75,0.05,2719.82,27.8,9.42,2.22,1.1
19:51:41.521,0.18,1.15,2.88,0.06,2194.56,20.23,9.39,2.0,1.18
19:51:41.621,0.19,0.84,3.32,0.05,2400.16,29.87,9.49,2.11,1.35
19:51:41.722,0.21,0.98,3.66,0.05,2643.42,28.36,9.43,2.19,1.14
19:51:41.822,0.22,0.9,3.76,0.05,2710.09,31.5,9.59,2.23,1.2
19:51:41.922,0.22,1.03,3.73,0.05,2712.31,27.59,9.38,2.21,1.09
19:51:42.022,0.21,0.9,3.69,0.05,2647.91,31.18,9.44,2.18,1.21
19:51:42.121,0.22,0.95,3.72,0.05,2696.08,29.96,9.38,2.19,1.16
19:51:42.222,0.21,0.92,3.7,0.05,2677.78,30.46,9.54,2.22,1.19
19:51:42.322,0.22,0.99,3.7,0.05,2690.85,28.6,9.39,2.19,1.14
19:51:42.422,0.22,0.96,3.74,0.06,2698.27,29.51,9.53,2.22,1.16
19:51:42.522,0.17,1.04,2.85,0.05,2172.47,21.93,9.23,2.0,1.21
19:51:42.623,0.19,0.93,3.2,0.05,2341.3,26.22,9.58,2.08,1.36
19:51:42.723,0.23,1.04,3.93,0.06,2838.17,28.58,9.53,2.27,1.09
19:51:42.823,0.23,1.04,3.99,0.05,2869.76,28.98,9.45,2.29,1.04
19:51:42.923,0.23,1.03,3.9,0.06,2802.12,28.77,9.4,2.24,1.09
19:51:43.023,0.23,1.01,3.96,0.06,2855.11,29.57,9.47,2.28,1.07
19:51:43.123,0.23,1.01,4.0,0.05,2872.83,29.65,9.48,2.28,1.07
19:51:43.223,0.23,1.02,3.9,0.06,2816.06,28.88,9.4,2.24,1.09
19:51:43.323,0.22,1.04,3.86,0.05,2792.35,28.07,9.44,2.25,1.06
19:51:43.424,0.22,0.97,3.9,0.06,2817.17,30.04,9.55,2.28,1.1
19:51:43.524,0.2,0.99,3.48,0.05,2537.14,27.05,9.54,2.16,1.19
19:51:43.624,0.23,0.96,3.89,0.06,2812.23,30.83,9.35,2.24,1.09
19:51:43.724,0.23,1.03,3.95,0.05,2840.81,28.87,9.43,2.26,1.06
19:51:43.825,0.23,1.02,4.0,0.06,2875.91,29.27,9.57,2.29,1.08
19:51:43.924,0.23,1.03,3.91,0.05,2847.25,29.21,9.34,2.23,1.06
19:51:44.025,0.22,0.98,3.87,0.06,2780.23,29.74,9.57,2.25,1.12
