Time (s),Package Power (W)
0.10056710243225098,310.22564
0.20117878913879395,231.57045
0.30166125297546387,207.54646999999997
0.40210390090942383,199.48314
0.5024857521057129,205.70625999999996
0.6028358936309814,201.29219999999998
0.7031800746917725,180.19424
0.8035409450531006,178.70621
0.9038698673248291,178.64395000000002
1.004223346710205,178.33939
1.1045522689819336,178.32228999999998
1.2049036026000977,177.35978000000003
1.3052587509155273,178.9357
1.4055914878845215,178.38211
1.5059442520141602,177.96157999999997
1.6062984466552734,177.66799999999998
1.706676959991455,179.42276999999999
1.8070018291473389,175.10940999999997
1.9073550701141357,179.35195999999996
2.0076839923858643,177.63016
2.1080312728881836,177.47817999999998
2.2083804607391357,176.99051
2.3087339401245117,178.13126
2.4090631008148193,178.14835000000002
2.509422540664673,176.30874999999997
2.6097710132598877,179.43192
2.7101190090179443,178.13797
2.81044602394104,176.12443
2.9107909202575684,178.26552999999998
3.011117935180664,178.37479000000002
3.1114633083343506,177.09793999999997
3.2118027210235596,177.28591999999998
3.3121442794799805,177.13211
3.4124972820281982,178.31986
3.512843132019043,176.44059
3.613168239593506,179.22255999999996
3.7135403156280518,177.99759
3.8138914108276367,178.73367000000002
3.914243698120117,180.77896
4.014578819274902,180.70815000000002
4.114951133728027,180.28275
4.215335130691528,180.48049999999998
4.3156578540802,180.51954999999998
4.416006565093994,183.29664999999997
4.516401529312134,192.45251000000002
4.616881608963013,193.08483999999999
4.717317581176758,179.71389000000002
4.81768012046814,179.41177
4.918042421340942,180.68985
5.018388748168945,180.16005999999996
5.118707656860352,180.63307999999998
5.219054937362671,179.77553999999998
5.319385766983032,185.63429
5.419741630554199,183.67018000000002
5.520123243331909,180.10146999999998
5.6204752922058105,179.76395
5.720855951309204,178.44131
5.821223497390747,177.75711
5.921572208404541,176.98563999999996
6.021899223327637,178.97109
6.122247695922852,177.04361999999998
6.222598552703857,177.27249999999998
6.3229498863220215,178.42360999999997
6.42327356338501,177.45865
6.523624420166016,176.71952
6.623978853225708,177.72903999999997
6.724344491958618,178.00918000000001
6.824705123901367,178.50479999999996
