Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
18.6155,272.337,221.268,493.606
18.7153,298.644,243.251,541.896
18.8159,389.749,313.074,702.823
18.9157,290.182,237.243,527.425
19.0164,287.115,234.586,521.701
19.1162,303.555,243.251,546.806
19.2169,297.351,240.883,538.234
19.3167,277.549,226.874,504.422
19.4175,290.452,234.138,524.589
19.5172,273.926,221.569,495.495
19.618,295.498,238.067,533.564
19.7177,284.272,229.605,513.877
19.8175,320.242,270.514,590.757
19.9173,283.146,230.07,513.217
20.0171,289.999,233.186,523.184
20.1168,278.305,225.325,503.629
20.2166,275.807,223.112,498.918
20.3173,287.736,232.805,520.541
20.417,278.791,223.117,501.908
20.5178,289.628,234.669,524.298
20.6176,327.842,256.231,584.073
20.7183,296.113,241.946,538.059
20.8181,344.098,286.41,630.508
20.9189,291.014,235.925,526.94
21.0187,296.6,239.5,536.099
21.1194,312.49,247.144,559.633
21.2192,289.192,236.225,525.417
21.3199,289.578,234.614,524.193
21.4197,303.021,247.056,550.077
21.5204,286.063,232.783,518.846
21.6202,280.232,228.189,508.421
21.7209,288.887,230.433,519.32
21.8206,317.538,267.078,584.616
21.9214,346.299,269.183,615.482
22.0211,292.296,244.698,536.994
22.1218,302.753,247.816,550.57
22.2215,284.174,230.873,515.047
22.3223,286.446,230.929,517.375
22.422,343.306,269.857,613.163
22.5228,309.669,256.742,566.412
22.6226,303.677,249.612,553.289
22.7223,271.885,220.83,492.715
22.822,332.189,281.101,613.29
22.9218,284.715,232.312,517.027
23.0215,287.864,235.812,523.676
23.1213,312.923,248.355,561.277
23.221,285.864,233.745,519.609
23.3208,313.652,255.554,569.206
23.4205,274.996,222.893,497.889
23.5203,320.071,262.587,582.659
23.6201,303.317,244.449,547.766
23.7198,295.544,239.924,535.468
23.8205,321.941,274.796,596.737
23.9203,301.59,248.865,550.455
24.021,380.413,294.092,674.505
24.1208,277.004,224.61,501.614
24.2215,321.616,264.281,585.897
24.3213,290.942,238.255,529.197
24.4221,334.847,267.019,601.866
24.5219,281.498,231.68,513.178
24.6226,322.568,262.47,585.037
24.7224,301.884,248.91,550.794
24.8231,320.65,271.92,592.57
24.9229,298.653,244.703,543.357
25.0236,287.57,231.899,519.469
25.1234,304.168,250.515,554.683
25.2241,281.455,229.546,511.001
25.3239,286.472,231.867,518.339
25.4237,300.514,244.531,545.045
25.5235,280.547,227.977,508.524
25.6232,300.534,244.232,544.765
25.723,294.587,236.481,531.068
25.8227,381.669,312.296,693.965
25.9235,288.246,236.695,524.941
26.0233,287.832,233.729,521.561
26.1241,301.08,242.881,543.96
26.2238,285.238,231.132,516.37
26.3246,287.284,234.013,521.297
26.4243,282.954,228.429,511.382
26.5251,293.236,239.078,532.315
26.6249,280.897,227.244,508.14
26.7256,285.178,230.854,516.032
26.8253,367.001,302.742,669.743
26.9261,286.415,232.115,518.53
27.0259,294.565,241.736,536.301
27.1267,280.547,228.2,508.746
27.2265,305.244,245.781,551.025
27.3262,282.031,230.319,512.349
27.426,296.696,237.102,533.798
27.5256,318.42,266.867,585.287
27.6262,281.457,227.412,508.869
27.7271,289.117,233.573,522.691
27.8267,312.494,263.581,576.076
27.9275,292.407,240.577,532.984
28.0273,284.949,229.274,514.222
28.127,281.06,227.15,508.209
28.2268,306.81,246.002,552.812
28.3266,280.798,226.751,507.548
28.4264,287.823,234.694,522.517
28.5262,270.932,219.022,489.955
28.6269,287.812,234.419,522.231
28.7267,281.898,229.831,511.729
28.8274,409.183,334.298,743.481
28.9271,299.052,248.571,547.622
29.0279,282.672,231.398,514.07
29.1276,377.502,296.688,674.19
29.2284,276.47,225.587,502.058
29.3282,315.554,263.011,578.564
29.4289,305.362,245.618,550.98
29.5287,292.155,236.863,529.018
29.6295,296.342,241.628,537.97
29.7293,286.544,231.204,517.748
29.829,370.607,306.522,677.129
29.9288,272.276,220.852,493.128
30.0285,297.008,242.72,539.727
30.1283,288.206,235.594,523.8
30.2281,293.927,240.854,534.781
30.3279,295.571,243.736,539.307
30.4276,272.197,220.333,492.53
30.5284,295.034,241.373,536.408
30.6282,279.526,227.834,507.359
30.7289,301.647,244.54,546.187
30.8286,316.893,267.151,584.044
30.9294,343.788,266.192,609.98
31.0292,298.838,248.138,546.976
31.1299,272.058,218.806,490.865
31.2297,304.808,243.308,548.116
31.3305,284.099,228.476,512.575
31.4303,298.08,235.32,533.4
31.53,290.417,236.112,526.529
31.6298,285.521,229.427,514.948
31.7296,315.494,252.738,568.232
31.8293,305.972,257.106,563.078
31.929,303.209,243.872,547.081
32.0288,278.085,224.749,502.834
32.1285,293.871,237.325,531.197
32.2283,281.772,228.08,509.852
32.328,276.059,223.169,499.229
32.4288,291.838,236.172,528.01
32.5285,274.565,221.415,495.98
32.6293,285.239,229.846,515.085
32.7291,273.626,220.298,493.924
32.8299,328.241,277.928,606.169
32.9296,275.117,222.2,497.317
33.0304,309.694,244.862,554.556
33.13,314.619,261.249,575.868
33.2307,280.123,227.452,507.574
33.3305,303.498,243.539,547.037
33.4312,276.211,223.85,500.061
33.531,302.975,239.213,542.189
33.6318,290.769,238.932,529.701
33.7315,311.736,243.148,554.883
33.8323,344.587,288.477,633.064
33.932,287.583,230.918,518.501
34.0328,313.281,255.076,568.357
34.1326,268.764,217.464,486.228
34.2333,478.793,293.583,772.376
34.3331,290.073,236.834,526.907
34.4328,288.224,231.101,519.326
34.5326,278.904,226.299,505.203
34.6324,279.351,224.648,503.999
34.7321,301.289,239.94,541.229
34.8319,322.007,269.427,591.434
34.9316,287.105,233.309,520.415
35.0315,276.08,223.052,499.132
35.1322,306.464,242.31,548.774
35.232,294.797,238.067,532.864
35.3327,280.684,226.356,507.041
35.4325,304.335,244.556,548.891
35.5332,280.129,224.925,505.055
35.633,283.225,227.809,511.034
35.7348,295.132,235.403,530.534
35.8341,335.327,283.512,618.839
35.9339,292.965,233.562,526.527
36.0337,319.458,254.629,574.088
36.1334,299.933,242.446,542.38
36.2332,274.861,221.448,496.31
36.3329,300.228,234.955,535.183
36.4327,282.312,227.688,510.001
36.5324,286.534,231.076,517.61
36.6321,279.446,226.778,506.224
36.7329,278.89,222.42,501.309
36.8326,355.261,296.428,651.69
36.9333,283.468,229.401,512.868
37.0331,289.935,233.902,523.837
37.1328,308.778,247.997,556.775
37.2326,294.352,236.666,531.018
37.3333,284.74,231.914,516.655
37.4331,278.881,223.583,502.463
37.5338,294.501,238.198,532.699
37.6336,273.802,221.939,495.741
37.7344,287.061,229.252,516.314
37.8341,325.556,272.943,598.499
37.9349,309.799,246.495,556.294
38.0347,278.347,227.305,505.652
38.1355,284.421,228.8,513.221
38.2352,286.152,231.681,517.833
38.3359,281.709,228.426,510.135
38.4357,280.828,226.993,507.82
38.5364,288.107,233.257,521.364
38.6361,297.078,243.506,540.584
38.7367,279.275,225.446,504.721
38.8364,330.08,272.818,602.898
38.9372,294.63,239.221,533.851
39.0369,267.469,216.23,483.699
39.1377,285.496,229.207,514.703
39.2374,282.877,228.928,511.805
39.3382,331.318,264.349,595.667
39.438,281.589,227.163,508.752
