System,System,System,System,System,System,System,System,System,System
Time,EXEC,CFREQ,READ,WRITE,INST,PhysIPC%,Proc Energy (Joules),DRAM Energy (Joules),UncFREQ (Ghz)
15:30:51.799,0.0,1.01,0.01,0.0,15.19,14.88,4.71,0.33,0.91
15:30:51.900,0.0,1.0,0.0,0.0,10.68,13.58,3.46,0.15,0.42
15:30:52.000,0.0,1.0,0.0,0.0,8.35,9.68,3.29,0.14,0.34
15:30:52.100,0.01,1.34,0.01,0.02,64.45,33.74,5.02,0.52,0.88
15:30:52.200,0.01,2.12,0.01,0.12,92.64,24.75,6.65,0.79,1.45
15:30:52.299,0.01,1.78,0.01,0.1,87.73,27.88,6.87,0.77,1.67
15:30:52.399,0.01,1.93,0.01,0.11,88.02,26.62,7.26,0.8,1.75
15:30:52.500,0.01,2.19,0.01,0.13,105.62,28.14,7.19,0.78,1.75
15:30:52.601,0.01,1.7,0.01,0.1,79.16,26.8,7.16,0.79,1.76
15:30:52.701,0.01,2.1,0.01,0.13,100.51,27.6,7.31,0.8,1.74
15:30:52.801,0.01,2.2,0.01,0.13,101.86,27.03,7.18,0.78,1.75
15:30:52.901,0.01,2.15,0.01,0.13,101.51,27.74,7.17,0.78,1.75
15:30:53.001,0.01,2.0,0.02,0.13,124.68,29.78,7.23,0.8,1.7
15:30:53.102,0.01,1.82,0.01,0.1,85.61,26.89,7.14,0.78,1.72
15:30:53.202,0.01,1.95,0.01,0.11,89.21,27.59,7.05,0.78,1.67
15:30:53.302,0.01,2.11,0.01,0.13,100.66,26.91,7.16,0.79,1.74
15:30:53.402,0.01,2.25,0.01,0.13,104.04,27.72,7.19,0.79,1.75
15:30:53.502,0.01,1.7,0.01,0.1,82.61,26.51,7.16,0.79,1.73
15:30:53.602,0.01,1.76,0.01,0.1,82.49,27.47,7.11,0.77,1.75
15:30:53.702,0.01,1.87,0.01,0.11,85.69,26.7,7.12,0.78,1.75
15:30:53.803,0.01,1.92,0.01,0.11,91.95,28.07,7.35,0.79,1.76
15:30:53.903,0.01,2.0,0.01,0.12,92.5,26.67,7.11,0.78,1.74
15:30:54.004,0.01,1.64,0.01,0.09,80.0,27.82,7.11,0.78,1.75
15:30:54.104,0.01,1.92,0.03,0.11,91.38,26.93,7.2,0.79,1.72
15:30:54.204,0.01,2.12,0.04,0.11,108.61,30.18,7.14,0.79,1.75
15:30:54.305,0.01,1.9,0.01,0.11,90.3,26.83,7.22,0.79,1.75
15:30:54.405,0.01,2.19,0.01,0.13,103.55,28.09,7.16,0.79,1.73
15:30:54.505,0.01,2.17,0.01,0.13,102.37,26.93,7.15,0.79,1.75
15:30:54.605,0.01,1.95,0.01,0.12,97.02,27.37,7.26,0.79,1.76
15:30:54.705,0.01,2.27,0.01,0.13,100.3,27.87,7.11,0.79,1.73
15:30:54.805,0.01,2.1,0.01,0.13,104.94,26.88,7.24,0.81,1.76
15:30:54.905,0.01,2.03,0.04,0.11,98.38,30.13,7.24,0.8,1.72
15:30:55.005,0.01,1.97,0.01,0.12,94.7,26.57,7.07,0.79,1.73
15:30:55.106,0.01,2.14,0.01,0.1,94.03,26.92,7.03,0.79,1.64
15:30:55.206,0.01,1.85,0.02,0.11,86.78,26.71,6.93,0.78,1.7
15:30:55.306,0.01,1.97,0.01,0.11,95.67,27.69,6.93,0.81,1.64
15:30:55.407,0.01,2.03,0.01,0.12,98.41,27.02,6.99,0.81,1.67
15:30:55.507,0.01,2.13,0.02,0.12,104.15,28.28,6.94,0.79,1.68
15:30:55.607,0.01,2.06,0.01,0.12,96.36,27.03,6.95,0.8,1.64
15:30:55.707,0.01,2.14,0.01,0.12,103.73,28.07,6.95,0.79,1.69
15:30:55.806,0.01,2.08,0.01,0.12,95.46,26.68,6.94,0.79,1.68
15:30:55.907,0.01,2.1,0.04,0.06,102.93,28.03,7.01,0.79,1.63
15:30:56.007,0.01,1.84,0.04,0.05,91.45,28.28,6.99,0.79,1.71
15:30:56.107,0.01,1.92,0.04,0.05,96.88,28.22,6.88,0.79,1.63
15:30:56.207,0.01,2.08,0.05,0.05,98.98,28.2,6.97,0.79,1.64
15:30:56.307,0.01,1.91,0.04,0.05,102.3,27.27,6.89,0.81,1.64
15:30:56.407,0.01,1.62,0.03,0.04,68.72,26.66,6.91,0.79,1.61
15:30:56.507,0.01,1.37,0.04,0.04,77.64,29.26,6.95,0.78,1.71
15:30:56.607,0.01,1.7,0.03,0.04,69.72,26.06,6.82,0.76,1.67
15:30:56.708,0.01,1.89,0.04,0.05,85.95,24.02,7.1,0.81,1.66
15:30:56.808,0.01,1.64,0.04,0.04,72.75,26.59,6.96,0.8,1.69
15:30:56.908,0.01,2.01,0.05,0.05,110.72,29.77,6.97,0.81,1.69
15:30:57.007,0.01,2.02,0.05,0.05,90.44,26.87,6.92,0.8,1.61
15:30:57.107,0.01,1.99,0.05,0.05,105.22,27.62,6.95,0.78,1.65
15:30:57.208,0.01,2.2,0.05,0.05,86.87,25.03,6.96,0.78,1.66
