Time (s),GPU Power (W)
0.10024499893188477,104.18
0.23440217971801758,101.44
0.3692653179168701,102.47
0.5018064975738525,102.57
0.6331889629364014,102.42
0.7658078670501709,102.36
0.9008564949035645,102.57
1.0346980094909668,102.17
1.1662921905517578,102.04
1.2981858253479004,100.89
1.4308156967163086,100.55
1.567328691482544,101.61
1.7001442909240723,79.89
1.8314950466156006,69.29
1.9644198417663574,69.96
2.0993661880493164,69.62
2.2330400943756104,69.44
2.364314079284668,69.02
2.495713710784912,68.38
2.6270575523376465,68.25
2.7597122192382812,68.35
2.8934948444366455,68.27
3.0281307697296143,77.01
3.183678150177002,103.05
3.319242000579834,163.23
3.4717302322387695,199.1
3.6033103466033936,183.43
3.73508882522583,103.93
3.8671839237213135,102.64
4.000719785690308,102.15
4.135598421096802,101.75
4.268511772155762,101.46
4.400030136108398,101.5
4.531393766403198,101.48
4.663939476013184,101.17
4.7991015911102295,101.15
4.932707071304321,101.01
5.064178705215454,100.92
5.1955249309539795,100.86
5.327556133270264,101.13
5.460087537765503,100.99
5.595164775848389,67.62
5.748697757720947,68.57
5.900163888931274,68.1
6.03296160697937,67.88
6.165534257888794,67.92
6.300708770751953,67.92
6.4340856075286865,67.79
6.565660715103149,71.19
6.696972608566284,101.95
6.828294992446899,198.29
6.959352016448975,201.89
7.0909905433654785,203.78
7.223698854446411,101.18
7.359342575073242,100.22
7.49266242980957,99.8
7.623801231384277,99.63
7.755058526992798,99.34
7.887888669967651,99.32
8.023053646087646,99.21
8.156567811965942,99.2
8.289229393005371,98.98
8.421056270599365,99.1
8.554502725601196,99.05
8.689523220062256,99.0
8.822259664535522,98.91
8.953680276870728,77.31
9.085285902023315,67.13
9.21744155883789,67.56
9.350622177124023,67.52
9.485445261001587,67.6
9.61805248260498,67.54
9.749638557434082,67.45
9.881201982498169,67.55
10.03842568397522,71.89
10.172312259674072,101.73
10.30421495437622,101.79
10.438531160354614,197.64
10.573266744613647,201.24
10.705993413925171,189.18
10.838114023208618,99.4
10.970552921295166,99.17
11.105706453323364,99.07
11.24048900604248,98.79
11.37350845336914,98.82
11.509355545043945,98.64
11.642465353012085,98.55
11.773659467697144,98.64
11.90503740310669,98.53
12.037319660186768,98.4
12.170705318450928,98.49
12.305491924285889,98.47
12.458826541900635,98.53
12.590851306915283,76.22
12.725167512893677,66.8
12.85996389389038,67.07
12.99181604385376,67.01
13.123275518417358,66.98
13.254650592803955,66.75
13.38641095161438,66.73
13.519213914871216,66.67
13.654105424880981,100.83
13.788834571838379,161.07
13.920393943786621,194.79
14.053155422210693,201.09
14.188814878463745,152.57
14.321930170059204,99.17
14.453112125396729,98.62
14.60931658744812,98.56
14.743726015090942,98.3
14.875749111175537,98.19
15.007174015045166,98.17
15.139000415802002,98.07
15.273411750793457,98.07
15.408374071121216,97.95
15.541388988494873,98.06
15.697309494018555,97.94
15.8510000705719,97.91
15.982722282409668,76.11
16.113736152648926,66.46
16.244817972183228,66.7
16.376283645629883,66.55
16.506777048110962,65.21
16.638827323913574,66.63
16.76943612098694,66.77
16.923160552978516,66.62
17.05598020553589,78.13
17.19101333618164,97.13
17.32248282432556,100.97
17.45391058921814,194.97
17.584733247756958,199.07
17.715861558914185,171.21
17.84808921813965,98.39
17.97878670692444,97.76
18.109371185302734,97.57
18.240089416503906,97.44
18.371028423309326,97.43
18.501698970794678,97.41
18.632626056671143,97.43
18.763468027114868,97.33
18.89449191093445,97.45
19.025416135787964,97.34
19.156413793563843,97.41
19.28852391242981,97.34
19.41927933692932,97.29
19.549618005752563,97.25
19.680460691452026,65.93
19.81116819381714,66.32
19.942171096801758,64.83
20.07411026954651,66.14
20.204634428024292,66.09
20.33563470840454,66.01
20.485345363616943,65.96
20.616920471191406,81.88
20.77150058746338,164.01
20.90445113182068,199.29
21.038896799087524,201.92
21.170584201812744,135.63
21.303014755249023,98.62
21.433811902999878,98.31
21.564706802368164,98.18
21.695445775985718,97.98
21.826435565948486,97.98
21.95731782913208,97.91
22.088497161865234,97.78
22.21940302848816,97.63
22.35032820701599,97.7
22.482417821884155,97.59
22.612789630889893,97.5
22.743664979934692,97.43
22.874343872070312,97.43
23.005019903182983,75.29
23.13605237007141,65.6
23.267025232315063,65.9
23.397992372512817,65.92
23.52904963493347,65.94
23.660054922103882,65.86
23.791197061538696,65.72
23.922348976135254,65.79
24.053719520568848,65.74
24.18667721748352,99.89
24.317829847335815,100.36
24.450502157211304,165.71
24.58386778831482,202.43
24.71662998199463,190.69
