Time (s),GPU 0 Power (W),GPU 1 Power (W)
0.10018157958984375,36.01,27.02
0.2744927406311035,36.01,27.02
0.4259641170501709,35.76,27.01
0.5781078338623047,35.76,27.0
0.7152390480041504,36.01,27.02
0.9448349475860596,35.76,27.02
1.083470106124878,36.01,27.0
1.237907886505127,35.76,27.0
1.3743605613708496,35.76,27.02
1.5253596305847168,36.01,27.0
1.6645429134368896,36.01,27.26
1.804481029510498,36.01,27.02
1.9395227432250977,36.01,27.0
2.113743782043457,35.76,27.0
2.266838312149048,36.01,27.02
2.402961492538452,36.01,27.01
2.542682647705078,36.01,27.02
2.677572727203369,31.4,27.02
2.823340654373169,31.4,27.02
2.9570398330688477,31.4,27.02
3.0938637256622314,122.04,26.96
3.242656946182251,122.76,26.96
3.3850784301757812,119.45,26.96
3.5240375995635986,157.44,26.95
3.6586382389068604,160.8,27.19
3.8105998039245605,162.5,26.95
3.9457170963287354,153.91,26.95
4.097353458404541,159.85,26.95
4.249232053756714,155.84,27.21
4.3855180740356445,142.5,26.95
4.537561655044556,109.67,27.23
4.689482688903809,158.74,27.19
4.824667692184448,155.36,26.95
4.961613416671753,155.99,26.95
5.095892906188965,158.88,26.95
5.2691357135772705,157.53,26.95
5.404154062271118,146.05,26.95
5.55738377571106,114.27,26.98
5.691948652267456,157.77,27.19
5.825799226760864,161.3,26.95
5.975906610488892,160.57,26.95
6.109906911849976,153.91,26.95
6.263691186904907,159.61,26.95
6.417407989501953,40.4,27.02
6.574410438537598,37.0,27.26
6.70918083190918,36.75,27.02
6.844165325164795,36.74,27.02
6.976168870925903,36.74,27.02
7.14704966545105,155.59,27.19
7.304682731628418,123.73,27.21
7.443356275558472,137.67,27.19
7.580172300338745,145.79,26.96
7.714456558227539,148.38,26.95
7.849210023880005,153.1,26.95
7.984486818313599,37.95,27.02
8.120787382125854,37.0,27.02
8.25640869140625,36.74,27.02
8.391644477844238,36.49,27.02
8.545385599136353,36.49,27.02
8.697304487228394,36.49,27.02
8.849519968032837,36.49,27.02
8.98309063911438,36.25,27.02
9.137547492980957,36.25,27.26
9.26940131187439,36.25,27.25
9.4044349193573,36.25,27.02
9.538607597351074,36.25,27.0
9.6720552444458,36.25,27.0
9.80642557144165,36.25,27.26
9.943575620651245,36.25,27.01
10.077088594436646,36.25,27.0
10.210820436477661,36.25,27.02
10.344869375228882,36.25,27.0
10.484000444412231,36.25,27.26
10.624059677124023,36.25,27.24
10.757892370223999,36.25,27.0
10.892931699752808,36.25,27.02
11.04564881324768,36.25,27.0
11.182373762130737,36.25,27.0
11.332740545272827,36.25,27.25
11.468474864959717,36.25,27.01
11.604232549667358,36.25,27.0
11.744409561157227,36.25,27.25
11.880542755126953,36.25,27.02
12.015982627868652,36.25,27.0
12.150507688522339,36.25,27.0
12.284145832061768,36.25,27.25
12.420265436172485,36.25,27.0
12.553871154785156,36.25,27.02
12.687175273895264,36.25,27.26
12.823662519454956,36.25,27.0
12.960041046142578,36.25,27.0
13.092763900756836,36.25,27.02
13.22810697555542,36.25,27.0
13.36342191696167,36.25,27.0
13.499626159667969,36.25,27.0
13.634413003921509,36.25,27.01
13.76831603050232,36.25,27.0
13.903414964675903,36.25,27.0
14.035196781158447,36.01,27.02
14.169372797012329,36.01,27.0
14.304039001464844,36.01,27.02
14.43933391571045,36.25,27.02
14.572922945022583,36.25,27.0
14.708240985870361,36.01,27.0
14.8426353931427,36.01,27.02
14.97502851486206,36.25,27.02
15.1470787525177,36.25,27.01
15.302649021148682,36.25,27.0
15.46247124671936,36.01,27.0
15.61348557472229,36.25,27.02
15.748698949813843,36.25,27.02
15.883780002593994,36.25,27.0
16.017117977142334,36.25,27.02
16.1671621799469,36.25,27.0
16.30184817314148,36.25,27.01
16.436816692352295,36.25,27.0
16.57206654548645,36.25,27.25
16.70586323738098,36.25,27.0
16.842841148376465,36.01,27.0
16.977568864822388,36.25,27.0
17.113009452819824,36.01,27.01
17.248385190963745,36.25,27.0
17.384895086288452,36.01,27.02
17.558272123336792,36.01,27.0
17.70739459991455,36.01,27.26
17.842634916305542,36.01,27.0
17.99320936203003,36.01,27.0
18.12844228744507,36.25,27.0
18.26374125480652,36.25,27.01
18.43720293045044,36.25,27.02
18.589538097381592,36.01,27.02
18.72420573234558,36.25,27.26
