CPU Cap (W),GPU Cap (W),Runtime (s)
65,260,23.05
70,260,23.09
75,260,23.01
80,260,23.06
85,260,22.64
90,260,22.74
95,260,22.76
100,260,22.71
105,260,22.9
110,260,22.81
115,260,22.63
120,260,22.61
125,260,22.61
65,260,23.04
70,260,23.0
75,260,22.71
80,260,22.87
85,260,22.99
90,260,22.96
95,260,22.91
100,260,22.69
105,260,22.73
110,260,22.65
115,260,22.65
120,260,22.59
125,260,22.61
65,260,23.14
70,260,23.07
75,260,22.91
80,260,22.88
85,260,23.03
90,260,22.79
95,260,22.85
100,260,22.69
105,260,22.73
110,260,22.78
115,260,22.63
120,260,22.59
125,260,22.61
65,260,23.14
70,260,23.0
75,260,23.07
80,260,22.81
85,260,22.84
90,260,22.75
95,260,22.82
100,260,22.69
105,260,22.72
110,260,22.84
115,260,22.54
120,260,22.56
125,260,22.6
65,260,23.08
70,260,23.14
75,260,22.91
80,260,22.67
85,260,22.81
90,260,22.83
95,260,22.76
100,260,22.74
105,260,22.8
110,260,22.66
115,260,22.62
120,260,22.61
125,260,22.61
