CPU Cap (W),GPU Cap (W),Runtime (s)
65,260,14.54
70,260,14.39
75,260,14.39
80,260,14.49
85,260,14.38
90,260,14.48
95,260,14.37
100,260,14.53
105,260,14.54
110,260,14.39
115,260,14.49
120,260,14.44
125,260,14.42
65,260,14.51
70,260,14.53
75,260,14.51
80,260,14.51
85,260,14.43
90,260,14.55
95,260,14.51
100,260,14.38
105,260,14.6
110,260,14.51
115,260,14.44
120,260,14.44
125,260,14.45
65,260,14.57
70,260,14.67
75,260,14.48
80,260,14.45
85,260,14.55
90,260,14.55
95,260,14.46
100,260,14.44
105,260,14.46
110,260,14.3
115,260,14.66
120,260,14.5
125,260,14.38
65,260,14.56
70,260,14.57
75,260,14.46
80,260,14.53
85,260,14.49
90,260,14.41
95,260,14.42
100,260,14.49
105,260,14.43
110,260,14.42
115,260,14.29
120,260,14.51
125,260,14.52
65,260,14.53
70,260,14.66
75,260,14.52
80,260,14.5
85,260,14.49
90,260,14.51
95,260,14.41
100,260,14.6
105,260,14.59
110,260,14.28
115,260,14.58
120,260,14.33
125,260,14.36
