CPU Cap (W),GPU Cap (W),Runtime (s)
125,100,25.33
125,120,25.01
125,140,24.81
125,160,24.65
125,180,24.65
125,200,24.62
125,220,24.66
125,240,24.63
125,260,24.63
125,100,25.36
125,120,24.97
125,140,24.83
125,160,24.69
125,180,24.65
125,200,24.63
125,220,24.67
125,240,24.65
125,260,24.61
125,100,25.32
125,120,24.97
125,140,24.82
125,160,24.76
125,180,24.61
125,200,24.67
125,220,24.61
125,240,24.63
125,260,24.67
125,100,25.28
125,120,24.99
125,140,24.77
125,160,24.76
125,180,24.62
125,200,24.61
125,220,24.66
125,240,24.65
125,260,24.66
125,100,25.36
125,120,25.07
125,140,24.81
125,160,24.74
125,180,24.62
125,200,24.63
125,220,24.64
125,240,24.67
125,260,24.61
