Time (s),GPU 0 Power (W),GPU 1 Power (W)
0.10019421577453613,39.17,27.02
0.28756189346313477,39.17,27.02
0.42462873458862305,38.92,27.02
0.5584943294525146,38.92,27.02
0.6922366619110107,38.92,27.01
0.8266520500183105,38.92,27.02
0.963944673538208,39.65,27.02
1.097977638244629,118.01,26.96
1.251842975616455,119.23,26.96
1.3884427547454834,119.47,26.96
1.524855136871338,119.71,26.96
1.6534044742584229,119.23,26.96
1.788562536239624,118.73,26.96
1.9615464210510254,118.8,26.96
2.0940334796905518,118.8,26.96
2.226752281188965,118.8,26.96
2.3626339435577393,119.23,26.96
2.4964394569396973,119.46,26.96
2.646282196044922,113.24,26.98
2.780785083770752,89.64,26.99
2.93013072013855,40.14,27.02
3.0839176177978516,119.29,26.96
3.2355761528015137,119.47,26.96
3.370786666870117,119.71,26.96
3.504403591156006,119.95,26.96
3.64162540435791,119.46,26.96
3.7768051624298096,118.73,26.96
3.912851095199585,118.56,26.96
4.068653106689453,118.97,26.96
4.205012321472168,118.99,26.96
4.339750289916992,119.04,26.96
4.473608016967773,119.46,26.96
4.608613014221191,112.52,26.98
4.745014429092407,58.8,27.0
4.879520654678345,40.14,27.02
5.013500452041626,118.56,26.96
5.147795915603638,119.7,26.96
5.299563407897949,120.01,26.96
5.4346325397491455,119.95,26.96
5.568263053894043,119.53,26.96
5.72066068649292,119.29,26.96
5.891615629196167,118.73,26.96
6.027695417404175,118.8,26.96
6.1607043743133545,119.46,26.96
6.2961273193359375,119.77,26.96
6.4326746463775635,119.77,26.96
6.565723419189453,110.1,26.97
6.721182107925415,110.4,26.99
6.8571617603302,40.14,27.02
6.992625713348389,119.46,26.96
7.1288299560546875,119.94,26.96
7.263166427612305,120.01,26.96
7.415186882019043,120.19,26.96
7.5507683753967285,119.53,26.96
7.684128046035767,119.46,26.96
7.855467081069946,118.8,26.96
7.990746736526489,119.53,26.96
8.124866247177124,119.46,26.96
8.259048461914062,119.46,26.96
8.393920183181763,119.46,26.96
8.528780460357666,110.89,26.98
8.662785053253174,76.69,27.0
8.835501194000244,40.14,27.02
8.96414852142334,119.47,26.96
9.13679552078247,119.71,26.96
9.270059585571289,119.95,26.96
9.404238939285278,120.19,26.96
9.5387864112854,119.23,26.96
9.670750379562378,119.53,26.96
9.804473161697388,119.46,26.96
9.942107200622559,119.29,26.96
10.118201494216919,119.29,26.98
10.271578788757324,119.46,26.96
10.44351840019226,114.21,26.98
10.57816767692566,75.96,27.0
10.71189284324646,40.38,27.02
10.862875699996948,117.35,26.96
10.997926712036133,119.7,26.96
11.132043361663818,119.71,27.21
11.266850233078003,119.95,27.21
11.401790857315063,119.71,26.96
11.53768253326416,119.04,26.96
11.670814275741577,118.97,26.96
11.80551815032959,119.23,26.96
11.961355209350586,118.97,26.96
12.109845399856567,118.73,26.96
12.244342565536499,119.53,26.96
12.382452249526978,118.08,26.96
12.51727557182312,87.31,27.0
12.65054988861084,43.06,27.02
12.782174348831177,96.17,26.98
12.917070627212524,119.47,26.96
13.051042556762695,119.71,26.96
13.182257175445557,119.95,26.96
13.356823205947876,120.01,26.96
13.50559663772583,119.46,26.96
13.642357587814331,119.23,26.96
13.776751041412354,119.04,26.96
13.91161036491394,119.04,26.96
14.046844244003296,119.53,26.96
14.180852890014648,119.77,26.96
14.317776441574097,117.11,26.98
14.450746536254883,93.81,26.98
14.583675861358643,42.81,27.02
14.721640825271606,91.39,26.98
14.850477695465088,119.47,26.96
14.985414266586304,119.71,26.96
15.120105743408203,119.95,26.96
15.252965927124023,120.19,26.96
15.386756658554077,119.23,26.96
15.520349025726318,119.29,26.96
15.657457113265991,119.53,26.96
15.786247253417969,119.46,26.96
15.920002937316895,120.01,26.96
16.09126853942871,120.01,26.96
16.224324941635132,119.7,26.96
16.359480619430542,96.43,26.98
16.53126335144043,46.46,27.02
16.665830612182617,70.38,26.98
16.800768613815308,119.71,26.96
16.9520902633667,119.95,26.96
17.085018634796143,120.19,26.96
17.219262838363647,120.44,26.96
17.357238054275513,119.95,26.96
17.5112087726593,119.77,26.96
17.645385265350342,119.53,26.96
17.779091119766235,119.53,26.96
17.912855863571167,119.04,26.96
18.061779022216797,119.7,26.96
18.198588371276855,120.01,26.96
18.332185745239258,104.11,27.23
18.468563318252563,43.79,27.02
18.619696140289307,80.28,26.98
18.750277519226074,119.71,26.96
18.924614906311035,119.95,26.96
19.05427074432373,119.95,26.96
19.18588352203369,120.19,26.96
19.32100534439087,119.46,26.96
19.4586980342865,119.29,26.96
19.60964584350586,119.53,26.96
