Time,IPC
2024-10-31 15:13:20,1.89
2024-10-31 15:13:20,1.72
2024-10-31 15:13:20,1.61
2024-10-31 15:13:20,1.49
2024-10-31 15:13:21,1.24
2024-10-31 15:13:21,1.61
2024-10-31 15:13:21,1.28
2024-10-31 15:13:22,2.30
2024-10-31 15:13:22,.70
2024-10-31 15:13:22,1.25
2024-10-31 15:13:23,1.19
2024-10-31 15:13:23,1.21
2024-10-31 15:13:23,.26
2024-10-31 15:13:24,1.22
2024-10-31 15:13:24,1.11
2024-10-31 15:13:24,1.13
2024-10-31 15:13:25,1.23
2024-10-31 15:13:25,.62
2024-10-31 15:13:25,1.70
2024-10-31 15:13:26,1.11
2024-10-31 15:13:26,2.12
2024-10-31 15:13:26,2.28
2024-10-31 15:13:26,2.33
2024-10-31 15:13:27,1.99
2024-10-31 15:13:27,2.28
2024-10-31 15:13:27,2.31
2024-10-31 15:13:28,2.28
2024-10-31 15:13:28,2.26
2024-10-31 15:13:29,2.33
2024-10-31 15:13:29,2.31
2024-10-31 15:13:29,2.38
2024-10-31 15:13:30,2.36
2024-10-31 15:13:30,2.40
2024-10-31 15:13:30,2.27
2024-10-31 15:13:31,2.33
2024-10-31 15:13:31,2.22
2024-10-31 15:13:31,2.51
2024-10-31 15:13:32,2.08
2024-10-31 15:13:32,2.08
2024-10-31 15:13:32,2.03
2024-10-31 15:13:33,2.54
2024-10-31 15:13:33,1.72
2024-10-31 15:13:33,2.37
2024-10-31 15:13:34,2.47
2024-10-31 15:13:34,2.28
2024-10-31 15:13:35,.61
2024-10-31 15:13:35,1.42
2024-10-31 15:13:35,2.34
2024-10-31 15:13:36,2.46
2024-10-31 15:13:36,2.39
2024-10-31 15:13:36,2.45
2024-10-31 15:13:37,2.41
2024-10-31 15:13:37,2.34
2024-10-31 15:13:38,2.50
2024-10-31 15:13:38,2.29
2024-10-31 15:13:38,2.45
2024-10-31 15:13:39,2.52
2024-10-31 15:13:39,2.53
2024-10-31 15:13:39,2.26
2024-10-31 15:13:40,2.32
2024-10-31 15:13:40,2.45
2024-10-31 15:13:40,2.62
2024-10-31 15:13:41,2.35
2024-10-31 15:13:41,2.57
2024-10-31 15:13:42,2.19
2024-10-31 15:13:42,2.18
2024-10-31 15:13:42,2.35
2024-10-31 15:13:42,2.03
2024-10-31 15:13:43,2.34
2024-10-31 15:13:43,2.44
2024-10-31 15:13:44,.60
2024-10-31 15:13:44,2.58
2024-10-31 15:13:44,2.55
2024-10-31 15:13:45,2.39
2024-10-31 15:13:45,2.40
2024-10-31 15:13:46,2.52
2024-10-31 15:13:46,2.47
2024-10-31 15:13:46,2.51
2024-10-31 15:13:47,2.20
2024-10-31 15:13:47,2.46
2024-10-31 15:13:47,2.37
2024-10-31 15:13:48,2.32
2024-10-31 15:13:48,2.50
2024-10-31 15:13:49,2.43
2024-10-31 15:13:49,2.59
2024-10-31 15:13:49,2.44
2024-10-31 15:13:50,2.45
2024-10-31 15:13:50,2.45
2024-10-31 15:13:50,2.77
2024-10-31 15:13:51,1.92
2024-10-31 15:13:51,2.20
2024-10-31 15:13:52,2.32
2024-10-31 15:13:52,1.45
2024-10-31 15:13:53,2.51
2024-10-31 15:13:53,2.48
2024-10-31 15:13:53,2.49
2024-10-31 15:13:54,2.58
2024-10-31 15:13:54,2.52
2024-10-31 15:13:55,2.51
2024-10-31 15:13:55,2.57
2024-10-31 15:13:55,2.37
2024-10-31 15:13:56,2.37
2024-10-31 15:13:56,2.45
2024-10-31 15:13:56,2.49
2024-10-31 15:13:57,2.39
2024-10-31 15:13:57,2.46
2024-10-31 15:13:58,2.25
2024-10-31 15:13:58,1.67
2024-10-31 15:13:59,2.46
2024-10-31 15:13:59,2.50
2024-10-31 15:13:59,1.75
2024-10-31 15:14:00,1.15
2024-10-31 15:14:00,2.49
2024-10-31 15:14:01,2.45
2024-10-31 15:14:01,2.50
2024-10-31 15:14:01,2.45
2024-10-31 15:14:02,2.19
2024-10-31 15:14:02,2.58
2024-10-31 15:14:03,2.53
2024-10-31 15:14:03,2.52
2024-10-31 15:14:03,2.53
2024-10-31 15:14:04,2.32
2024-10-31 15:14:04,2.49
2024-10-31 15:14:05,2.45
2024-10-31 15:14:05,2.36
2024-10-31 15:14:05,1.92
2024-10-31 15:14:06,2.34
2024-10-31 15:14:06,2.29
2024-10-31 15:14:07,.52
2024-10-31 15:14:07,1.69
2024-10-31 15:14:07,1.48
2024-10-31 15:14:08,1.90
2024-10-31 15:14:08,1.20
2024-10-31 15:14:08,1.13
2024-10-31 15:14:08,1.11
2024-10-31 15:14:09,1.21
2024-10-31 15:14:09,1.21
2024-10-31 15:14:09,1.19
2024-10-31 15:14:09,1.57
2024-10-31 15:14:10,1.15
2024-10-31 15:14:10,1.16
2024-10-31 15:14:10,1.55
2024-10-31 15:14:10,1.23
2024-10-31 15:14:11,1.20
2024-10-31 15:14:11,1.23
2024-10-31 15:14:11,1.25
2024-10-31 15:14:11,.81
2024-10-31 15:14:12,.80
2024-10-31 15:14:12,1.29
2024-10-31 15:14:12,.47
2024-10-31 15:14:12,1.37
2024-10-31 15:14:13,1.38
2024-10-31 15:14:13,1.38
2024-10-31 15:14:13,1.37
2024-10-31 15:14:13,1.38
2024-10-31 15:14:14,1.38
2024-10-31 15:14:14,1.38
2024-10-31 15:14:14,1.28
2024-10-31 15:14:14,1.22
