Time,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
2024-10-30 21:13:46,0.87,3.00,2.81,2.76,2.70,2.78,1.54,3.00
2024-10-30 21:13:46,0.81,2.99,1.37,3.00,0.91,3.00,1.16,3.00
2024-10-30 21:13:46,0.80,3.00,1.21,2.99,2.99,3.00,3.00,2.99
2024-10-30 21:13:46,0.81,2.99,1.74,3.00,3.00,2.99,3.00,3.00
2024-10-30 21:13:46,0.83,3.00,1.08,3.00,3.00,3.00,3.00,2.99
2024-10-30 21:13:46,1.05,1.58,0.80,3.00,3.00,2.99,3.00,3.00
2024-10-30 21:13:46,0.87,0.80,1.22,2.99,3.00,3.00,3.00,2.99
2024-10-30 21:13:46,0.80,0.80,1.11,3.00,3.00,2.99,3.00,2.89
2024-10-30 21:13:46,0.82,0.79,1.24,1.30,3.00,3.00,2.99,0.80
2024-10-30 21:13:46,0.80,0.80,0.85,0.80,2.85,3.00,2.98,0.79
2024-10-30 21:13:47,0.80,0.79,0.80,0.80,1.27,3.00,1.06,0.80
2024-10-30 21:13:47,0.80,0.80,1.04,0.79,0.80,3.00,0.80,0.80
2024-10-30 21:13:47,0.80,0.79,1.18,0.80,0.80,2.99,0.80,0.80
2024-10-30 21:13:47,1.00,0.85,1.26,0.79,1.12,3.00,1.17,0.80
2024-10-30 21:13:47,0.85,0.86,1.24,0.80,1.05,3.00,1.02,0.80
2024-10-30 21:13:47,0.96,0.80,0.80,0.80,0.80,3.00,0.79,0.80
2024-10-30 21:13:47,0.89,0.80,0.80,0.80,1.13,3.00,0.81,0.80
2024-10-30 21:13:47,0.83,0.81,0.80,0.80,1.27,1.70,1.34,0.80
2024-10-30 21:13:47,0.83,0.79,1.00,0.80,1.26,0.80,1.53,0.80
2024-10-30 21:13:47,0.85,0.80,1.33,0.80,0.80,1.40,1.27,0.79
2024-10-30 21:13:47,0.80,0.80,1.39,0.80,1.18,1.53,0.80,0.80
2024-10-30 21:13:47,0.86,0.80,1.01,0.80,1.28,0.80,1.43,0.79
2024-10-30 21:13:47,0.80,0.80,1.15,0.79,1.20,1.36,1.22,0.80
