Time (s),GPU 0 SM Clock (MHz),GPU 0 Mem Clock (MHz)
0.1001744270324707,210,1215
0.2559998035430908,210,1215
0.39946675300598145,210,1215
0.5504648685455322,210,1215
0.7067320346832275,210,1215
0.8464431762695312,210,1215
1.0159621238708496,210,1215
1.1694791316986084,210,1215
1.310713768005371,210,1215
1.4902775287628174,210,1215
1.6430230140686035,210,1215
1.776801586151123,210,1215
1.9312958717346191,210,1215
2.117180109024048,210,1215
2.257206678390503,765,1215
2.4350693225860596,765,1215
2.5877346992492676,765,1215
2.75581693649292,765,1215
2.8810763359069824,765,1215
3.010263442993164,765,1215
3.162264585494995,765,1215
3.2922873497009277,765,1215
3.462184429168701,765,1215
3.5959160327911377,765,1215
3.728360652923584,765,1215
3.8650529384613037,765,1215
4.012494325637817,765,1215
4.143272161483765,765,1215
4.28271746635437,765,1215
4.416581153869629,765,1215
4.548714876174927,765,1215
4.684148073196411,765,1215
4.841596841812134,765,1215
4.972091436386108,765,1215
5.127878427505493,765,1215
5.299444198608398,765,1215
5.4570863246917725,765,1215
5.630085229873657,765,1215
5.805553913116455,765,1215
5.945672035217285,765,1215
6.116543292999268,765,1215
6.287944793701172,765,1215
6.457812547683716,765,1215
6.616867303848267,765,1215
6.766512155532837,765,1215
6.9430506229400635,1080,1215
7.091290473937988,1065,1215
7.26716423034668,1065,1215
7.4302449226379395,1095,1215
7.575208902359009,1080,1215
7.721870183944702,1080,1215
7.882911205291748,1080,1215
8.047642230987549,1080,1215
8.208440065383911,1080,1215
8.373778343200684,1125,1215
8.549899816513062,1095,1215
8.714934587478638,1080,1215
8.842305898666382,1080,1215
8.982844352722168,1080,1215
9.127543687820435,1080,1215
9.253948450088501,1065,1215
9.421038150787354,1080,1215
9.586737155914307,1065,1215
9.731593132019043,1125,1215
9.859227895736694,1095,1215
10.028887510299683,1065,1215
10.195301294326782,1050,1215
10.343820810317993,1095,1215
10.47975754737854,1080,1215
10.647773504257202,1065,1215
10.799875020980835,1095,1215
10.948131084442139,1080,1215
11.11573052406311,1080,1215
11.292958736419678,1080,1215
11.464917659759521,1050,1215
11.635058641433716,1065,1215
11.78513789176941,1080,1215
11.947141885757446,1110,1215
12.092812538146973,1080,1215
12.262248992919922,1065,1215
12.402306079864502,1080,1215
12.569460391998291,1080,1215
12.735291004180908,1125,1215
12.916412353515625,1080,1215
13.06719708442688,1080,1215
13.232630729675293,1395,1215
13.40200662612915,1410,1215
13.54614520072937,1410,1215
13.670948505401611,1410,1215
13.83576512336731,1410,1215
13.960543155670166,1410,1215
14.105850219726562,1410,1215
14.266327142715454,1410,1215
14.409083843231201,1200,1215
14.572269678115845,1185,1215
14.747140645980835,1200,1215
14.911172151565552,1230,1215
15.080422163009644,1125,1215
15.332045316696167,1200,1215
15.498083353042603,1200,1215
15.662949562072754,1200,1215
15.810858488082886,1410,1215
15.971595287322998,1410,1215
16.145005226135254,1095,1215
16.310335636138916,1080,1215
16.467129945755005,1095,1215
16.592695236206055,1110,1215
16.723002672195435,1110,1215
16.88473653793335,1050,1215
17.045605897903442,1110,1215
17.20726752281189,1080,1215
17.380138158798218,1095,1215
17.545825958251953,1110,1215
17.706024646759033,1110,1215
17.88881754875183,1140,1215
18.06437039375305,1095,1215
18.235573530197144,1080,1215
18.398675680160522,1080,1215
18.54329562187195,1110,1215
18.699779748916626,1095,1215
18.84336233139038,1095,1215
18.979679346084595,1125,1215
19.10767698287964,1095,1215
19.282386302947998,1080,1215
19.429882764816284,1095,1215
19.59648895263672,1095,1215
19.76101517677307,1095,1215
19.929998874664307,1110,1215
20.073625564575195,1140,1215
20.220884084701538,1110,1215
20.390714645385742,1080,1215
20.55597996711731,1140,1215
20.701884269714355,1155,1215
20.86931824684143,1095,1215
21.015167713165283,1095,1215
21.16747808456421,1140,1215
21.340201377868652,1080,1215
21.507856607437134,1095,1215
21.676921844482422,1110,1215
21.823439598083496,1110,1215
21.98798704147339,1110,1215
22.164958000183105,1125,1215
22.33129119873047,1125,1215
22.494391679763794,1395,1215
22.659265279769897,1410,1215
22.820440769195557,1410,1215
22.9868426322937,1410,1215
23.13021421432495,1230,1215
23.272705793380737,1260,1215
23.412917852401733,1245,1215
23.576454877853394,1260,1215
23.72232484817505,1260,1215
23.88401174545288,1260,1215
24.030328035354614,1230,1215
