Time (s),GPU 0 Power (W)
0.10019731521606445,32.4
0.2524282932281494,32.4
0.3906583786010742,32.49
0.5249359607696533,34.06
0.6760866641998291,35.84
0.8494024276733398,36.14
1.0044002532958984,35.44
1.1773602962493896,35.44
1.311453104019165,35.44
1.4436321258544922,35.44
1.576188564300537,35.44
1.7076740264892578,35.44
1.8434598445892334,35.44
1.9928913116455078,35.44
2.1260392665863037,35.44
2.2967758178710938,35.44
2.447254180908203,35.44
2.5836679935455322,34.07
2.73791241645813,32.49
2.8733022212982178,32.49
3.0083255767822266,32.49
3.1627414226531982,32.4
3.2965784072875977,32.4
3.4331183433532715,32.49
3.5689680576324463,32.4
3.7025091648101807,32.4
3.8596129417419434,32.4
3.9958741664886475,32.4
4.128806829452515,32.4
4.289020776748657,32.4
4.424915075302124,32.4
4.557508707046509,32.4
4.696110963821411,32.49
4.870591640472412,32.4
5.002099514007568,32.4
5.158737421035767,32.4
5.2934534549713135,32.4
5.428836107254028,32.49
5.562300682067871,32.4
5.736340761184692,32.4
5.887580156326294,32.4
6.043648958206177,32.59
6.17708945274353,32.4
6.313013076782227,32.4
6.472229957580566,32.4
6.606854200363159,32.4
6.762040138244629,32.4
6.893409013748169,32.4
7.073281288146973,32.4
7.210493326187134,32.4
7.347585916519165,32.4
7.501886367797852,32.4
7.639855861663818,32.4
7.77641487121582,32.4
7.925872087478638,32.4
8.10232162475586,32.4
8.261348485946655,32.4
8.410018682479858,32.4
8.545291900634766,32.59
8.696822166442871,32.4
8.83230447769165,32.4
8.971231698989868,32.4
9.123169422149658,32.4
9.258197784423828,32.4
9.410221576690674,32.4
9.544541120529175,32.49
9.701090574264526,32.4
9.837085962295532,32.4
10.007455348968506,32.4
10.1842679977417,32.4
10.333513736724854,32.4
10.506144523620605,32.4
10.64432430267334,32.4
10.813795804977417,32.4
10.961637496948242,32.4
11.118017673492432,32.4
11.254146575927734,32.4
11.41267728805542,32.4
11.548851728439331,32.4
11.690130233764648,32.4
11.865487098693848,32.4
12.001397371292114,32.4
