Time (s),DRAM Power (W),IPC
51.5225,18.36,2.53
51.7384,18.27,2.36
51.9504,17.86,2.74
52.1505,16.92,2.33
52.3504,16.86,2.82
52.5547,17.25,2.37
52.7711,18.20,2.60
52.9744,17.08,2.67
53.1865,17.77,2.76
53.4025,18.14,2.43
53.6082,17.22,2.61
53.8193,17.82,2.45
54.0305,17.67,2.53
54.2345,17.23,2.53
54.4464,17.82,2.81
54.6665,18.50,2.36
54.8706,17.18,2.63
55.0827,17.81,2.49
55.3026,18.50,2.47
55.5186,18.03,2.49
55.7345,18.05,2.69
55.9467,17.77,2.58
56.1674,18.41,2.27
56.3675,16.80,2.73
56.5785,17.66,2.40
56.7824,17.12,2.76
56.9944,17.70,2.69
57.2066,17.77,2.27
57.4147,17.42,2.67
57.6145,16.67,2.34
57.8184,17.14,2.44
58.0407,18.47,2.70
58.2446,17.21,2.64
58.4608,18.11,2.61
58.6666,17.32,2.41
58.8666,16.82,2.78
59.0705,17.19,2.61
59.3008,19.44,2.62
59.5023,16.82,2.59
59.7265,18.70,2.39
59.9303,17.04,2.78
60.1344,17.07,2.36
60.3485,17.96,2.61
60.5604,17.74,2.30
60.7745,18.07,2.38
60.9780,17.16,2.79
61.1822,17.20,2.62
61.3926,17.76,2.37
61.6005,17.52,2.64
61.8126,17.93,2.32
62.0166,17.11,2.67
62.2245,17.39,2.45
62.4285,17.20,2.78
62.6344,17.29,2.36
62.8525,18.30,2.63
63.0546,16.97,2.62
63.2710,18.13,2.45
63.4783,17.46,2.80
63.6946,18.16,2.26
63.9168,18.71,2.57
64.1365,18.39,2.61
64.3406,17.16,2.41
64.5585,18.37,2.76
64.8086,21.10,2.64
65.0165,17.50,2.68
65.2487,19.56,2.72
65.4733,18.75,2.69
65.6884,18.15,2.36
65.8926,17.28,2.62
66.0966,17.01,2.30
66.3045,17.36,2.60
66.5005,16.43,2.40
66.7166,18.16,2.73
66.9321,18.03,2.29
67.1483,18.17,2.57
67.3566,17.50,2.57
67.5726,18.12,2.36
67.7751,16.94,2.78
67.9905,17.99,2.62
68.2087,18.35,2.29
68.4246,18.14,2.55
68.6264,16.88,2.41
68.8345,17.56,2.80
69.0344,16.78,2.40
69.2423,17.48,2.61
69.4544,17.80,2.67
69.6625,17.47,2.51
69.8823,18.55,2.33
70.0825,16.83,2.63
70.2861,17.09,2.36
70.4862,16.81,2.78
70.7023,18.11,2.76
70.9313,19.37,2.32
71.1343,17.08,2.56
71.3425,17.62,2.28
71.5423,16.82,2.39
71.7465,17.11,2.77
71.9505,17.05,2.78
72.1504,16.78,2.33
72.3679,18.21,2.65
72.5884,18.47,2.54
72.7923,17.10,2.35
72.9966,17.13,2.80
73.2157,18.37,2.35
73.4227,17.30,2.05
73.6005,14.92,0.84
73.8058,17.34,0.63
