Time (s),DRAM Power (W),IPC
0.0001,0.00,1.17
0.4325,37.12,1.89
0.7765,29.20,1.97
1.1287,29.76,2.24
1.4803,29.78,1.91
1.8325,29.73,2.23
2.1926,30.37,1.90
2.5467,29.86,2.25
2.8980,29.69,2.26
3.2556,30.27,1.87
3.5995,29.11,1.98
3.9555,29.91,2.27
4.3226,31.05,1.96
4.6720,29.37,2.25
5.0385,30.96,2.10
5.3904,29.69,2.24
5.7408,29.59,2.20
6.1276,32.79,1.84
6.4697,28.99,2.14
6.8292,30.48,1.85
7.1888,30.48,1.90
7.5373,29.55,1.83
7.8857,29.55,2.13
8.2419,30.20,2.06
8.5860,29.25,1.87
8.9260,28.85,2.09
9.2739,29.57,2.10
9.6299,30.11,2.17
9.9889,30.35,2.08
10.3299,28.98,1.97
10.6859,30.22,2.18
11.0302,29.18,1.87
11.3739,29.11,2.14
11.7099,28.40,2.17
12.0602,29.68,1.84
12.4201,30.46,2.18
12.7842,30.67,2.17
13.1322,29.46,1.97
13.4859,29.93,2.14
13.8363,29.57,2.04
14.1802,29.11,1.94
14.5220,28.94,1.88
14.8659,29.20,2.19
15.2180,29.96,2.17
15.5598,28.91,1.90
15.9140,29.93,2.17
16.2515,28.55,2.12
16.6035,29.68,2.23
16.9490,29.17,1.94
17.2939,28.96,2.25
17.6225,27.78,1.88
17.9578,28.44,2.22
18.3140,30.14,2.26
18.6539,28.81,2.27
18.9900,28.46,1.91
19.3299,28.78,2.24
19.6822,29.83,2.16
20.0379,30.04,1.87
20.3740,28.44,2.25
20.7321,30.30,1.87
21.0820,29.74,2.01
21.4297,29.44,2.24
21.8078,31.85,1.92
22.1548,29.32,2.25
22.5154,30.37,1.92
22.8718,29.97,2.18
23.2247,29.79,2.12
23.5835,30.20,2.15
23.9335,29.66,2.19
24.2846,29.71,2.13
24.6357,29.61,2.24
24.9774,28.87,2.25
25.3638,32.67,1.88
25.7076,28.97,2.18
26.0515,28.98,2.18
26.3935,28.83,1.95
26.7495,30.01,2.14
27.1095,30.50,2.17
27.4641,30.14,1.86
27.8095,29.30,1.88
28.1557,30.53,0.74
28.4997,31.39,0.70
28.8453,31.84,0.79
29.2016,32.51,0.80
29.5415,30.56,2.36
29.8861,29.06,1.32
