Time (s),Package Power (W)
0.10025668144226074,325.88600999999994
0.20068883895874023,246.22250999999997
0.3011138439178467,187.69849
0.4016287326812744,188.12329999999997
0.5020885467529297,183.459
0.6024572849273682,188.12635
0.7029643058776855,184.06202999999996
0.8033435344696045,189.00708
0.9037518501281738,184.24148000000002
1.00425386428833,187.70459000000002
1.104642629623413,185.57448
1.2051362991333008,187.32496
1.305558204650879,185.1686
1.4058547019958496,191.97764999999998
1.5063002109527588,190.18932999999996
1.606675148010254,190.96204
1.7069346904754639,189.20301
1.807518720626831,192.75707
1.9080650806427002,195.45483
2.008514404296875,191.77746
2.108945369720459,192.34692
2.2092955112457275,194.12182
2.309798002243042,198.80074999999997
2.4102399349212646,192.08753000000002
2.5106756687164307,193.57188
2.611090898513794,193.34363
2.711545467376709,196.23728999999997
2.811998128890991,192.09423
2.9124131202697754,188.18068
3.012793779373169,193.42784999999998
3.113189220428467,192.71861
3.213650941848755,194.95495999999997
3.314070463180542,194.85423
3.414490222930908,198.46385
3.514861822128296,191.21654999999996
3.6152753829956055,196.90135
3.715880870819092,193.60974
3.8163352012634277,196.10484
3.9167850017547607,191.61450000000002
4.017258882522583,196.82384
4.117738723754883,194.22678999999997
4.218172311782837,191.34351
4.318605184555054,189.21094
4.419023752212524,185.72463
4.519432544708252,195.23325
