Time (s),DRAM Power (W),IPC
0.0001,0.00,1.62
0.2845,25.04,1.48
0.5003,19.92,1.57
0.7025,18.33,1.38
0.9105,18.84,1.97
1.1182,17.73,1.95
1.3543,20.09,1.71
1.5808,19.38,1.99
1.7826,17.21,1.90
2.0027,18.83,1.92
2.2187,18.53,1.91
2.4362,18.56,1.74
2.6307,16.65,1.99
2.8311,17.28,1.95
3.0317,17.25,1.70
3.2426,18.01,1.94
3.4467,17.50,1.91
3.6609,18.35,1.68
3.8665,17.55,1.99
4.0907,19.16,1.93
4.2986,17.81,1.76
4.5041,17.55,1.95
4.7107,17.58,1.70
4.9106,17.09,1.93
5.1346,19.25,1.99
5.3404,17.62,1.72
5.5412,17.15,1.98
5.7420,17.22,1.96
5.9472,17.59,1.68
6.1513,17.66,1.94
6.3642,18.28,1.88
6.5751,18.17,1.64
6.7711,16.76,1.91
6.9712,17.13,1.97
7.1894,18.74,2.36
7.4003,18.71,2.72
7.6066,18.50,1.96
7.8137,18.67,2.07
8.0294,18.65,1.87
8.2351,17.77,2.20
8.4474,18.30,1.88
8.6511,17.38,1.99
8.8703,18.59,1.97
9.0974,19.45,1.78
9.3110,18.27,1.88
9.5310,18.81,1.72
9.7351,17.40,1.97
9.9633,19.55,1.87
10.1673,17.43,1.94
10.3834,18.44,1.99
10.5973,18.22,1.97
10.8313,19.86,1.93
11.0322,17.14,1.82
11.2434,18.07,1.95
11.4552,18.00,1.98
11.6529,16.82,1.71
11.8552,17.21,1.97
12.0775,18.86,1.90
12.2935,18.44,1.70
12.4913,16.80,1.92
12.6911,16.94,1.70
12.9073,18.27,1.96
13.1210,18.10,2.01
13.3149,16.46,1.99
13.5209,17.40,1.71
13.7371,18.32,1.92
13.9432,17.47,1.68
14.1470,17.31,1.68
14.3391,16.25,1.96
14.5454,17.42,1.90
14.7551,17.78,2.72
14.9770,19.79,2.60
15.2033,20.19,1.95
15.4151,18.33,2.14
15.6358,18.77,1.94
15.8322,16.69,2.16
16.0554,18.95,1.93
16.2682,18.12,1.70
16.4711,17.22,1.91
16.6912,18.63,1.75
16.9171,19.21,1.97
17.1393,18.92,1.87
17.3511,17.89,1.80
17.5593,17.71,1.82
17.7713,18.01,1.63
17.9803,17.79,1.98
18.2110,19.63,1.77
18.4151,17.37,1.92
18.6189,17.37,1.72
18.8311,17.97,1.69
19.0311,17.00,2.00
19.2393,17.60,1.92
19.4537,18.19,1.70
19.6672,18.08,1.91
19.8991,19.64,1.94
20.0992,17.03,1.80
20.2991,17.03,1.99
20.5155,18.31,1.88
20.7311,18.29,1.71
20.9432,17.98,1.88
21.1510,17.58,1.81
21.3551,17.33,1.85
21.5752,18.58,1.96
21.7891,18.13,1.88
22.0252,20.03,1.68
22.2415,18.39,2.46
22.4437,17.65,2.73
22.6489,18.31,2.13
22.8473,18.10,2.10
23.0554,17.83,2.01
23.2632,17.76,2.11
23.4713,17.77,1.77
23.6673,16.78,1.76
23.8672,17.00,1.97
24.0673,17.07,1.78
24.2713,17.36,1.99
24.4726,17.06,1.87
24.6936,18.79,1.91
24.8974,17.26,1.89
25.1186,18.85,1.96
25.3253,17.57,1.93
25.5293,17.34,1.68
25.7294,16.97,1.97
25.9333,17.37,1.86
26.1557,18.93,1.69
26.3678,18.07,1.96
26.5655,16.75,1.71
26.7737,17.65,1.76
26.9814,17.58,1.99
27.1855,17.34,1.78
27.4014,18.29,1.97
27.6176,18.23,1.88
27.8417,19.00,1.88
28.0677,19.13,1.99
28.2940,19.23,1.96
28.5016,17.63,1.94
28.7398,20.14,1.68
28.9480,17.61,1.93
29.1475,16.85,1.90
29.3656,18.57,1.70
29.5697,17.38,1.97
29.7878,18.59,2.20
29.9974,18.44,2.56
30.2096,18.83,2.00
30.4096,18.13,2.21
30.6176,17.80,2.19
30.8338,18.47,1.84
31.0478,18.24,1.93
31.2681,18.80,1.87
31.5038,20.07,1.99
31.7116,17.77,1.81
31.9278,18.47,1.89
32.1497,18.94,1.91
32.3676,18.51,1.73
32.5756,17.67,1.71
32.7797,17.36,1.96
32.9915,17.98,1.88
33.2040,18.17,1.69
33.4063,17.36,1.94
33.6276,18.93,1.73
33.8315,17.29,1.97
34.0434,17.98,1.93
34.2757,19.82,1.88
34.4836,17.68,1.82
34.6916,17.76,1.84
34.9239,19.82,2.00
35.1477,19.04,1.90
35.3599,18.18,1.91
35.5757,18.45,1.72
35.7878,18.13,1.92
35.9995,18.02,1.96
36.2199,18.92,1.71
36.4396,18.82,1.93
36.6797,20.50,1.85
36.8999,18.81,1.98
37.0975,16.90,1.71
37.3138,18.45,2.29
37.5215,18.13,2.49
37.7256,18.22,2.30
37.9518,20.57,2.14
38.1798,19.59,2.11
38.3958,18.59,1.89
38.6038,17.83,2.66
38.8239,18.85,0.94
