System,System,System,System,System,System,System,System,System,System
Time,EXEC,CFREQ,READ,WRITE,INST,PhysIPC%,Proc Energy (Joules),DRAM Energy (Joules),UncFREQ (Ghz)
02:14:57.281,0.0,1.14,0.0,0.0,2.72,12.94,2.96,0.03,0.22
02:14:57.381,0.0,1.0,0.0,0.0,5.6,24.3,2.67,0.01,0.16
02:14:57.481,0.0,1.0,0.0,0.0,5.63,25.68,2.55,0.01,0.12
02:14:57.581,0.0,1.0,0.0,0.0,5.39,25.37,2.5,0.01,0.09
02:14:57.681,0.0,1.0,0.0,0.0,9.47,27.28,2.77,0.03,0.19
02:14:57.781,0.02,2.02,0.01,0.02,217.88,4.82,7.34,0.52,1.6
02:14:57.893,0.36,2.94,0.13,0.28,4492.55,21.48,15.1,1.05,2.14
02:14:57.980,0.61,2.65,3.4,2.64,7487.86,30.2,19.17,2.27,2.41
02:14:58.080,1.11,2.67,3.38,2.35,13796.95,54.23,20.76,2.21,2.38
02:14:58.181,1.14,2.69,3.36,2.38,14373.47,55.79,20.65,2.25,2.35
02:14:58.281,1.1,2.67,3.63,2.61,13700.35,53.8,20.67,2.29,2.36
02:14:58.382,1.05,2.64,3.55,2.54,13142.0,52.29,20.47,2.27,2.39
02:14:58.482,1.09,2.74,3.6,2.57,13524.3,51.95,20.87,2.29,2.34
02:14:58.582,1.11,2.69,3.49,2.44,13829.45,54.08,20.67,2.25,2.33
02:14:58.682,1.13,2.65,3.14,2.25,14019.46,55.48,20.51,2.14,2.38
02:14:58.782,1.1,2.71,3.0,2.34,13705.55,53.1,20.53,2.13,2.36
02:14:58.882,1.2,2.64,2.85,2.04,14854.46,59.37,20.65,2.1,2.37
02:14:58.982,1.08,2.68,3.58,2.57,13542.02,52.66,20.82,2.3,2.37
02:14:59.082,1.03,2.61,3.51,2.52,12850.29,51.68,20.22,2.26,2.37
02:14:59.183,1.04,2.54,3.61,2.59,12971.75,53.6,20.24,2.3,2.39
02:14:59.283,1.06,2.66,3.55,2.54,13220.44,52.09,20.47,2.27,2.39
02:14:59.383,1.05,2.65,3.56,2.53,13117.53,51.98,20.38,2.26,2.38
02:14:59.483,1.09,2.62,3.43,2.39,13541.14,54.14,20.57,2.21,2.38
02:14:59.583,1.12,2.63,3.07,2.22,13908.93,55.69,20.42,2.13,2.4
02:14:59.684,1.11,2.7,3.07,2.37,13928.57,53.96,20.64,2.16,2.37
02:14:59.783,1.2,2.66,2.87,2.05,14872.78,58.77,20.44,2.09,2.32
02:14:59.884,1.02,2.81,3.45,2.49,12760.32,47.7,20.83,2.24,2.29
02:14:59.984,1.07,2.71,3.62,2.6,13286.55,51.47,20.68,2.3,2.33
02:15:00.084,1.07,2.61,3.6,2.57,13302.72,53.56,20.16,2.27,2.33
02:15:00.184,1.06,2.67,3.56,2.54,13181.9,51.81,20.63,2.28,2.38
02:15:00.284,1.07,2.7,3.59,2.55,13340.91,51.84,20.6,2.27,2.34
02:15:00.384,1.12,2.66,3.31,2.29,13937.83,55.12,20.5,2.18,2.34
02:15:00.484,1.13,2.68,3.03,2.3,14131.29,55.34,20.52,2.12,2.36
02:15:00.586,1.11,2.55,2.72,2.07,14084.64,57.19,20.39,2.1,2.4
02:15:00.685,1.14,2.67,3.39,2.4,14050.33,55.63,20.52,2.21,2.36
02:15:00.785,1.1,2.72,3.51,2.52,13735.19,52.91,20.44,2.25,2.31
02:15:00.885,0.68,2.91,2.57,1.87,8427.14,30.34,20.13,1.93,2.32
02:15:00.986,1.12,2.68,3.01,2.37,14045.05,54.62,20.84,2.16,2.4
02:15:01.087,1.14,2.65,2.77,2.2,14292.41,56.33,20.71,2.12,2.37
02:15:01.186,1.12,2.69,3.39,2.54,13837.75,54.24,20.57,2.28,2.33
02:15:01.287,1.08,2.76,3.57,2.73,13515.91,51.35,20.69,2.34,2.27
02:15:01.387,1.07,2.74,3.54,2.69,13376.27,51.19,20.68,2.32,2.31
02:15:01.487,1.08,2.68,3.64,2.75,13461.13,52.69,20.85,2.34,2.36
