Time,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
2024-10-16 22:36:42,3.00,3.00,2.99,2.99,0.80,2.99,0.80,2.89
2024-10-16 22:36:42,2.85,3.00,0.98,2.60,0.89,3.00,1.17,3.00
2024-10-16 22:36:42,0.88,3.00,1.00,0.80,1.02,2.70,1.06,3.00
2024-10-16 22:36:42,0.89,2.89,0.98,0.79,1.06,0.79,0.80,3.00
2024-10-16 22:36:42,0.82,0.80,0.80,0.80,1.05,0.80,0.82,3.00
2024-10-16 22:36:42,0.85,0.79,0.80,0.80,1.07,0.80,0.79,3.00
2024-10-16 22:36:43,0.80,0.80,0.80,0.79,1.01,0.79,1.22,3.00
2024-10-16 22:36:43,0.82,0.80,0.79,0.80,1.04,0.80,0.80,3.00
2024-10-16 22:36:43,0.79,0.80,0.80,0.80,1.03,0.80,0.97,3.00
2024-10-16 22:36:43,0.80,0.80,0.80,0.79,1.04,0.80,1.40,2.99
2024-10-16 22:36:43,0.80,0.80,0.80,0.80,1.04,0.80,1.38,3.00
2024-10-16 22:36:43,0.80,0.80,0.80,0.80,0.99,0.80,1.13,2.99
2024-10-16 22:36:43,0.81,0.80,0.80,0.80,0.80,0.80,1.02,3.00
2024-10-16 22:36:43,0.87,0.80,0.80,0.80,0.80,0.79,1.01,2.99
2024-10-16 22:36:43,0.80,0.79,0.79,0.80,0.79,0.80,1.01,3.00
2024-10-16 22:36:43,0.83,0.80,0.80,0.79,0.80,0.80,1.05,3.00
2024-10-16 22:36:43,0.82,0.80,0.80,0.80,0.80,0.80,1.03,2.99
2024-10-16 22:36:43,0.89,0.80,0.80,0.80,0.80,0.79,1.02,3.00
2024-10-16 22:36:43,0.85,0.80,0.79,0.80,0.79,0.80,1.02,3.00
2024-10-16 22:36:43,0.81,0.80,0.80,0.80,0.80,0.80,1.06,3.00
2024-10-16 22:36:43,0.82,0.80,0.80,0.80,0.80,0.80,1.04,2.99
2024-10-16 22:36:43,0.82,0.80,0.80,0.79,0.80,0.80,1.05,3.00
2024-10-16 22:36:43,0.80,0.79,0.80,0.80,0.79,0.80,1.04,2.99
2024-10-16 22:36:43,0.83,0.80,0.80,0.80,0.80,0.80,1.00,3.00
2024-10-16 22:36:43,0.80,0.79,0.80,0.79,0.80,0.80,1.05,3.00
2024-10-16 22:36:43,0.80,0.80,0.79,0.80,0.79,0.80,1.03,2.99
2024-10-16 22:36:43,0.83,0.80,0.80,0.80,0.80,0.80,1.03,3.00
2024-10-16 22:36:43,0.80,0.79,0.79,0.80,0.80,0.79,1.05,2.79
2024-10-16 22:36:44,0.81,0.80,0.80,0.80,0.80,0.80,1.04,3.00
2024-10-16 22:36:44,0.82,0.79,0.80,0.80,0.80,0.80,1.03,2.90
2024-10-16 22:36:44,0.84,0.80,0.80,0.80,0.79,0.80,1.03,2.40
2024-10-16 22:36:44,0.79,0.80,0.79,0.79,0.80,0.79,1.02,3.00
2024-10-16 22:36:44,0.81,0.80,0.80,0.80,0.79,0.80,1.06,0.83
2024-10-16 22:36:44,0.80,0.79,0.79,0.80,0.80,0.79,1.04,3.00
2024-10-16 22:36:44,0.81,0.80,0.80,0.80,0.80,0.80,1.02,3.00
2024-10-16 22:36:44,0.80,0.80,0.79,0.79,0.80,0.80,1.04,2.99
2024-10-16 22:36:44,0.83,0.80,0.80,0.80,0.80,0.79,1.04,3.00
2024-10-16 22:36:44,0.80,0.80,0.80,0.86,1.14,1.65,2.06,3.00
2024-10-16 22:36:44,2.00,2.17,2.71,2.99,2.99,2.99,2.99,3.00
2024-10-16 22:36:44,1.69,2.99,1.65,2.17,3.00,2.80,0.79,3.00
2024-10-16 22:36:44,0.82,2.99,0.80,2.99,2.99,3.00,0.80,2.99
2024-10-16 22:36:44,0.83,3.00,0.80,3.00,3.00,2.99,0.80,1.70
2024-10-16 22:36:44,0.81,2.99,0.80,3.00,2.99,3.00,0.80,3.00
2024-10-16 22:36:44,0.86,2.37,0.80,3.00,3.00,3.00,0.80,1.77
2024-10-16 22:36:44,0.82,3.00,0.81,1.11,0.86,1.15,0.80,1.15
2024-10-16 22:36:44,0.86,2.99,0.90,1.26,1.02,1.15,1.09,1.36
2024-10-16 22:36:44,0.81,3.00,0.90,1.33,1.05,1.12,1.29,1.26
2024-10-16 22:36:44,0.81,3.00,0.89,1.49,1.02,1.30,1.33,1.45
2024-10-16 22:36:44,0.81,2.99,0.80,1.40,1.04,1.47,1.29,1.46
2024-10-16 22:36:45,0.84,3.00,0.80,1.43,1.03,1.19,1.51,1.82
2024-10-16 22:36:45,0.80,2.99,0.80,1.55,1.07,1.49,0.79,1.44
2024-10-16 22:36:45,0.83,3.00,0.79,1.34,1.02,1.37,0.80,1.26
2024-10-16 22:36:45,0.80,2.98,0.80,1.28,1.04,1.36,0.79,1.19
2024-10-16 22:36:45,0.80,2.47,0.80,1.17,1.04,1.60,0.80,1.36
2024-10-16 22:36:45,0.84,3.00,0.80,1.29,1.04,1.18,1.20,1.31
2024-10-16 22:36:45,0.81,3.00,0.80,1.65,1.05,1.68,1.39,1.38
2024-10-16 22:36:45,0.81,2.99,0.79,1.41,1.01,1.31,1.39,1.37
2024-10-16 22:36:45,0.82,3.00,0.80,1.79,1.74,1.54,2.12,2.59
2024-10-16 22:36:45,2.35,2.79,2.82,3.00,3.00,2.83,3.00,3.00
2024-10-16 22:36:45,3.00,3.00,3.00,3.00,2.99,3.00,3.00,3.00
2024-10-16 22:36:45,2.99,3.00,3.00,2.99,3.00,3.00,3.00,3.00
2024-10-16 22:36:45,3.00,2.99,3.00,3.00,3.00,2.99,2.99,3.00
2024-10-16 22:36:45,2.99,3.00,2.99,3.00,3.00,3.00,3.00,3.00
2024-10-16 22:36:45,3.00,3.00,3.00,2.99,3.00,3.00,3.00,2.99
2024-10-16 22:36:45,3.00,2.99,3.00,3.00,3.00,2.99,3.00,3.00
2024-10-16 22:36:45,2.99,3.00,2.99,2.99,3.00,3.00,2.99,3.00
2024-10-16 22:36:45,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
2024-10-16 22:36:45,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
2024-10-16 22:36:45,2.99,3.00,3.00,3.00,3.00,3.00,2.99,3.00
2024-10-16 22:36:45,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
2024-10-16 22:36:45,3.00,3.00,2.99,3.00,2.99,2.99,3.00,3.00
2024-10-16 22:36:46,3.00,2.99,3.00,2.99,3.00,3.00,3.00,2.99
2024-10-16 22:36:46,3.00,3.00,3.00,3.00,3.00,2.99,2.99,3.00
2024-10-16 22:36:46,3.00,2.99,3.00,3.00,3.00,3.00,3.00,3.00
2024-10-16 22:36:46,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
2024-10-16 22:36:46,3.00,3.00,2.99,3.00,3.00,3.00,3.00,2.99
2024-10-16 22:36:46,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
2024-10-16 22:36:46,2.99,2.99,3.00,3.00,2.99,3.00,2.99,2.99
2024-10-16 22:36:46,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
2024-10-16 22:36:46,3.00,3.00,3.00,3.00,3.00,2.99,3.00,2.99
2024-10-16 22:36:46,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
2024-10-16 22:36:46,3.00,3.00,3.00,2.99,2.99,3.00,3.00,3.00
2024-10-16 22:36:46,3.00,2.99,2.99,3.00,3.00,3.00,2.99,2.99
2024-10-16 22:36:46,3.00,3.00,3.00,2.99,2.99,3.00,3.00,3.00
2024-10-16 22:36:46,2.99,2.99,3.00,3.00,3.00,3.00,3.00,3.00
2024-10-16 22:36:46,3.00,3.00,3.00,3.00,3.00,2.99,3.00,3.00
2024-10-16 22:36:46,3.00,2.99,3.00,2.99,3.00,3.00,2.99,3.00
2024-10-16 22:36:46,3.00,3.00,2.99,3.00,3.00,3.00,3.00,3.00
2024-10-16 22:36:46,3.00,3.00,3.00,3.00,3.00,3.00,2.99,3.00
2024-10-16 22:36:46,3.00,3.00,3.00,2.99,3.00,2.99,3.00,3.00
2024-10-16 22:36:46,3.00,2.99,3.00,3.00,2.99,3.00,3.00,2.99
2024-10-16 22:36:46,3.00,3.00,3.00,3.00,3.00,2.99,3.00,3.00
2024-10-16 22:36:46,2.99,3.00,3.00,3.00,3.00,3.00,3.00,3.00
2024-10-16 22:36:46,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
2024-10-16 22:36:47,3.00,3.00,2.99,3.00,2.99,3.00,3.00,2.99
2024-10-16 22:36:47,3.00,2.99,3.00,3.00,3.00,3.00,2.99,3.00
2024-10-16 22:36:47,2.99,3.00,3.00,3.00,2.99,3.00,3.00,3.00
2024-10-16 22:36:47,3.00,3.00,3.00,3.00,3.00,2.99,3.00,3.00
2024-10-16 22:36:47,2.99,3.00,2.99,3.00,3.00,3.00,3.00,2.99
2024-10-16 22:36:47,3.00,3.00,3.00,2.99,3.00,3.00,3.00,3.00
2024-10-16 22:36:47,3.00,2.99,2.99,3.00,3.00,2.99,2.99,3.00
