Time (s),GPU 0 Power (W),GPU 1 Power (W),GPU 2 Power (W),GPU 3 Power (W)
0.1002042293548584,53.69,55.19,54.94,54.74
0.4043717384338379,53.69,55.3,54.66,54.55
0.5925178527832031,53.69,55.1,54.46,54.55
0.7806642055511475,53.69,55.3,54.56,54.74
1.1781792640686035,72.6,78.7,73.94,74.69
1.654461145401001,73.49,77.24,73.64,74.6
1.8509094715118408,72.39,76.35,73.24,73.81
2.041699171066284,72.52,75.67,73.34,73.92
2.219470500946045,72.5,76.54,73.45,74.01
2.396764039993286,72.75,76.45,73.36,74.9
2.6179230213165283,72.6,76.54,73.34,73.82
2.871328115463257,72.4,76.64,73.34,74.01
3.054105043411255,72.44,75.86,73.47,73.83
3.2385332584381104,72.5,76.25,73.45,74.21
3.420029878616333,72.73,76.45,73.46,74.14
3.720841407775879,73.57,76.62,73.43,74.3
3.90578556060791,72.99,82.51,86.59,83.82
4.091962099075317,73.38,77.22,107.11,99.76
4.277185440063477,89.67,93.59,75.88,75.68
4.465267181396484,92.99,78.51,73.66,74.51
4.670520305633545,72.63,108.19,79.35,78.55
4.86015772819519,73.02,76.15,73.57,73.93
5.048513174057007,72.54,76.45,73.57,78.87
5.237078666687012,72.63,76.06,73.66,74.12
5.424827814102173,72.75,89.79,76.29,76.87
5.612897634506226,76.72,77.32,74.21,74.6
5.796825885772705,72.7,75.86,73.55,74.11
5.983510971069336,92.13,78.3,73.73,94.76
6.17301344871521,82.07,76.93,73.66,74.04
6.361787796020508,72.73,76.74,85.83,84.92
6.555070161819458,72.68,77.83,74.63,74.4
6.740844011306763,82.61,77.43,96.56,92.25
6.924901008605957,91.75,77.22,75.11,75.28
7.109179973602295,78.57,76.64,73.72,74.3
7.294334411621094,73.09,77.1,86.59,84.32
7.479716539382935,104.46,77.89,73.92,74.79
7.664005756378174,72.7,76.06,73.74,74.11
7.84787130355835,82.62,76.82,93.15,88.41
8.031666040420532,76.31,78.53,74.61,83.12
8.219411134719849,83.0,78.68,74.21,74.6
8.40650749206543,72.93,85.66,80.35,75.58
8.592292308807373,72.99,81.04,74.81,75.08
8.77630877494812,106.39,77.99,74.11,74.69
8.96324896812439,86.41,76.72,97.66,93.23
9.148003578186035,72.79,76.91,73.63,74.21
9.331912517547607,72.84,80.77,76.09,76.67
9.519561529159546,73.02,87.54,73.66,78.45
9.70630168914795,72.73,78.22,73.96,74.6
9.894872188568115,74.58,76.25,73.66,74.13
10.082010984420776,95.99,77.89,105.78,107.26
10.267940759658813,81.42,76.53,92.56,87.14
10.452150821685791,76.03,99.37,80.39,78.81
10.637937545776367,73.98,77.22,73.71,106.9
10.821784973144531,73.38,77.12,92.85,87.14
11.003139019012451,72.73,76.15,73.36,74.03
11.189225673675537,151.34,82.24,76.89,76.47
11.377301454544067,72.83,76.83,96.71,98.65
11.565373659133911,74.54,106.87,84.42,81.66
11.74963665008545,74.75,88.47,73.92,74.69
11.935372591018677,73.78,77.43,103.71,94.09
12.118696928024292,100.42,106.71,84.54,81.47
12.306468725204468,74.75,88.08,77.55,77.13
12.494836568832397,72.83,92.31,79.75,78.65
12.683148860931396,73.41,76.94,73.54,101.15
12.872122526168823,72.83,76.35,73.55,74.4
13.055131196975708,173.5,80.67,73.36,74.32
13.243341207504272,75.19,76.25,73.26,109.88
13.431641340255737,72.79,79.38,74.53,75.18
13.617048740386963,76.99,100.42,83.06,80.58
13.801442384719849,74.35,86.33,77.17,76.65
13.986247301101685,73.38,80.85,74.91,75.38
14.17099142074585,106.78,77.62,73.92,75.21
14.357378244400024,86.22,85.95,77.35,76.84
14.542219400405884,73.09,80.65,74.91,75.28
14.726091623306274,73.82,83.71,77.57,76.18
14.917381048202515,72.93,94.78,87.91,80.58
15.10530710220337,83.85,76.94,73.57,74.22
15.293507099151611,72.73,80.75,75.33,77.26
15.482454061508179,74.11,76.84,73.46,74.4
15.66959285736084,73.78,81.24,106.34,94.38
15.85540246963501,77.73,107.96,86.21,81.94
16.039691925048828,90.36,87.89,78.33,77.22
16.226361989974976,73.68,81.43,75.29,75.38
16.41077947616577,73.18,76.25,73.55,74.4
16.5956928730011,74.9,76.74,73.76,106.25
16.785484313964844,77.24,77.14,73.66,74.5
16.97307062149048,92.5,78.24,73.64,74.5
17.163249492645264,83.96,81.04,75.11,75.49
17.349414348602295,72.99,79.37,77.78,75.08
17.534716606140137,72.86,78.3,74.02,74.79
17.718602180480957,79.46,76.64,73.64,74.42
17.90495014190674,72.93,82.54,76.01,75.98
18.093254566192627,73.12,84.93,95.8,86.98
18.281308889389038,74.48,77.03,73.36,99.68
18.470327377319336,73.28,86.23,77.67,76.65
18.654157876968384,79.86,89.66,79.3,77.61
18.841908931732178,73.59,78.61,74.11,74.89
19.02578115463257,90.86,76.91,106.11,93.99
19.2096426486969,80.04,112.06,89.02,81.96
19.394021034240723,75.72,90.16,79.52,77.42
19.578381776809692,74.45,77.72,78.96,95.15
19.765155792236328,73.67,76.91,104.41,85.25
19.949490785598755,73.12,77.04,73.36,74.5
20.135767936706543,72.93,130.76,100.78,94.92
20.32379174232483,74.99,76.93,73.64,74.71
20.514613389968872,79.46,107.65,92.36,83.22
20.700472831726074,76.51,92.53,80.68,77.71
20.889493465423584,74.35,77.2,73.92,98.61
21.074509620666504,73.78,89.23,93.25,85.27
21.259441375732422,100.33,94.96,81.07,78.51
21.445501565933228,74.56,83.01,76.58,75.89
21.634166717529297,73.02,77.04,73.57,74.12
21.82050609588623,73.02,116.56,97.78,89.53
22.007381916046143,73.72,77.24,73.66,81.3
22.197892427444458,77.5,77.24,73.66,74.11
22.38180923461914,77.1,78.59,74.42,74.79
22.56595492362976,74.75,78.09,73.82,105.26
22.75354504585266,84.84,80.87,95.43,86.94
22.940699338912964,79.27,77.4,74.81,74.4
23.125818014144897,73.02,77.43,81.92,79.34
23.313019275665283,73.12,79.09,74.83,80.02
23.500630140304565,74.68,77.03,73.64,103.11
23.688812017440796,73.28,76.62,73.63,74.21
23.872684240341187,79.0,100.53,84.24,80.37
24.05942392349243,75.44,86.72,77.57,76.65
24.247822523117065,74.07,80.36,75.21,75.18
24.43313241004944,73.48,78.3,74.42,74.69
24.618263959884644,93.86,77.32,108.09,95.34
24.807307958602905,81.42,81.74,75.6,75.38
24.99231791496277,76.61,78.3,74.31,74.69
25.174461126327515,73.09,128.87,191.99,143.02
25.360654830932617,73.8,76.54,73.74,74.26
25.551023483276367,85.58,77.54,73.74,74.32
25.739885807037354,73.12,80.58,75.12,75.18
25.928016185760498,73.32,88.99,77.07,77.81
26.115354299545288,75.44,77.8,73.92,99.81
26.300337553024292,75.44,77.02,104.69,92.03
26.485392808914185,75.83,78.39,73.92,74.84
26.670514583587646,73.28,78.51,74.31,74.79
26.858038187026978,74.19,76.54,73.64,74.3
27.04045605659485,73.21,79.59,77.96,75.08
27.228548049926758,73.32,94.6,81.81,79.31
27.417651653289795,73.78,77.38,92.36,89.81
27.602564573287964,73.78,108.75,88.82,82.92
27.787373304367065,101.42,90.55,79.7,77.81
27.973095655441284,74.75,82.41,76.2,75.78
28.158058166503906,73.78,79.07,75.0,75.08
28.343316316604614,106.85,78.51,74.21,107.44
28.53126335144043,73.09,76.62,73.73,74.21
28.7187077999115,74.58,77.24,109.41,95.0
28.90687608718872,85.69,77.43,73.76,74.21
29.095560312271118,73.51,77.43,74.03,74.6
29.28834819793701,73.22,84.8,77.68,76.68
29.478039503097534,73.72,77.33,109.35,96.25
29.666597843170166,77.24,76.83,74.03,74.6
29.855181217193604,82.32,77.9,99.2,88.89
30.040098667144775,79.86,79.07,75.11,75.18
30.2251455783844,73.98,92.61,85.43,79.89
30.4127995967865,73.57,85.75,78.23,77.05
30.596588850021362,73.32,76.54,73.66,74.5
30.79090428352356,73.41,77.33,73.86,74.5
30.980854272842407,83.05,77.53,74.04,74.4
31.1675922870636,74.85,80.95,76.49,75.98
31.353158950805664,73.78,78.98,74.71,74.99
31.540448427200317,105.43,88.39,80.49,78.1
31.72516179084778,86.02,81.83,76.47,75.79
31.91188073158264,77.99,78.39,74.81,75.08
