Time (s),GPU 0 Power (W),GPU 1 Power (W)
0.1001899242401123,36.25,27.02
0.27242231369018555,36.01,27.0
0.4275484085083008,36.01,27.0
0.5642945766448975,36.01,27.02
0.7118611335754395,36.01,27.0
0.8649184703826904,36.01,27.0
0.9995720386505127,36.01,27.0
1.128150224685669,36.01,27.02
1.2626070976257324,36.01,27.02
1.4381005764007568,36.01,27.0
1.5741655826568604,36.01,27.01
1.724546194076538,36.01,27.02
1.8553485870361328,36.01,27.01
1.991187334060669,36.01,27.02
2.164978504180908,64.07,26.98
2.303339719772339,157.02,26.95
2.4376018047332764,160.56,26.95
2.5875566005706787,157.68,26.95
2.7626535892486572,158.64,26.95
2.917405605316162,162.74,26.95
3.0520825386047363,159.85,26.95
3.186220407485962,44.76,27.02
3.3303706645965576,37.0,27.02
3.4646084308624268,36.74,27.02
3.598273992538452,36.49,27.02
3.733935594558716,36.25,27.02
3.866990566253662,138.14,26.96
4.00321102142334,152.06,26.95
4.15710186958313,36.74,27.02
4.295064210891724,36.49,27.02
4.431452989578247,36.49,27.02
4.5649683475494385,36.25,27.02
4.6996660232543945,36.25,27.02
4.833343505859375,36.25,27.02
4.9710304737091064,36.25,27.02
5.123638391494751,36.25,27.01
5.257992744445801,36.01,27.02
5.394250154495239,36.01,27.01
5.53070330619812,36.01,27.01
5.665263891220093,36.01,27.0
5.817150115966797,36.01,27.02
5.950194358825684,36.01,27.01
6.083719491958618,36.01,27.0
6.21868371963501,36.01,27.01
6.351523399353027,36.01,27.0
6.50505805015564,36.01,27.02
6.656965494155884,36.01,27.01
6.807043075561523,36.01,27.01
6.942491769790649,36.01,27.0
7.076857805252075,36.01,27.02
7.226863622665405,36.01,27.0
7.361201524734497,36.01,27.02
7.4963343143463135,36.01,27.0
7.631890773773193,36.01,27.02
7.765220880508423,36.01,27.0
7.902112722396851,36.01,27.0
8.052672863006592,36.01,27.0
8.187484502792358,36.01,27.02
8.34101152420044,36.01,27.02
8.477192640304565,36.01,27.02
8.60690975189209,36.01,27.02
8.741923093795776,36.01,27.02
8.87803339958191,36.01,27.02
9.007643461227417,36.01,27.02
9.14129090309143,36.01,27.0
9.293362140655518,36.01,27.01
9.445276260375977,36.01,27.02
9.580633401870728,36.01,27.0
9.733606338500977,36.01,27.01
9.882826328277588,36.01,27.02
10.05954909324646,36.01,27.0
10.194467067718506,36.01,27.0
10.329036951065063,36.01,27.0
10.462554693222046,36.01,27.02
10.594414710998535,36.01,27.01
10.726832389831543,36.01,27.0
10.862614393234253,36.01,27.01
10.99547815322876,36.01,27.02
11.149166584014893,36.01,27.01
11.283747911453247,36.01,27.02
11.420390605926514,36.01,27.01
11.547762632369995,36.01,27.02
11.701107263565063,36.01,27.0
11.854565382003784,36.01,27.01
11.98895788192749,36.01,27.0
12.120322704315186,36.01,27.0
12.254175186157227,36.01,27.02
12.38926076889038,36.01,27.0
12.520663976669312,36.01,27.0
12.655638217926025,36.01,27.02
12.791905641555786,36.01,27.0
12.94645380973816,36.01,27.0
13.08103060722351,36.01,27.02
13.254388570785522,36.01,27.02
13.382694959640503,36.01,27.0
13.511538028717041,36.01,27.01
13.639345645904541,36.01,27.02
13.767108678817749,36.01,27.0
13.895315647125244,36.01,27.0
14.04645323753357,36.01,27.0
14.1949622631073,36.01,27.02
14.326987504959106,36.01,27.0
14.481101751327515,36.01,27.0
14.617177724838257,36.01,27.0
14.746758222579956,36.01,27.02
14.883517503738403,36.01,27.02
15.0167818069458,36.01,27.01
15.151678562164307,36.01,27.0
15.285576343536377,36.01,27.0
15.437002897262573,36.01,27.0
15.570638179779053,36.01,27.02
15.71051025390625,36.01,27.0
15.847240447998047,192.66,26.91
15.982086420059204,192.9,26.91
16.11826753616333,195.06,26.93
16.251867055892944,195.78,26.93
16.383638620376587,108.95,26.98
16.537102460861206,180.6,26.93
16.67119574546814,183.97,26.93
16.810176134109497,185.18,26.93
16.961368560791016,185.18,26.93
17.11335778236389,194.82,26.93
17.250301599502563,197.24,26.94
17.390201568603516,182.17,26.95
17.52393651008606,187.1,26.94
17.65773105621338,139.46,26.95
17.790013551712036,184.0,26.95
17.930152654647827,185.66,26.93
18.09771418571472,185.66,26.95
18.250118255615234,111.92,27.0
18.389862298965454,183.76,26.95
18.529805183410645,188.45,26.93
18.669930934906006,191.34,26.93
18.809746503829956,193.75,26.93
18.94472026824951,185.66,26.93
19.097225189208984,185.9,26.94
19.24970006942749,180.72,26.93
19.399269580841064,183.73,26.94
19.53060531616211,39.68,27.02
19.697256565093994,37.73,27.02
