Time (s),GPU 0 Power (W),GPU 1 Power (W)
0.10018467903137207,36.98,27.02
0.28438329696655273,36.98,27.02
0.4597899913787842,36.98,27.02
0.5960485935211182,36.98,27.0
0.729447603225708,36.98,27.02
0.8644752502441406,36.98,27.02
1.0169463157653809,36.74,27.02
1.1505119800567627,36.74,27.02
1.2850048542022705,36.74,27.01
1.4386589527130127,36.74,27.01
1.5773959159851074,36.74,27.01
1.7115466594696045,36.74,27.0
1.8477082252502441,36.74,27.02
1.9992640018463135,36.74,27.02
2.1508522033691406,36.74,27.0
2.302846670150757,36.74,27.01
2.442518949508667,36.74,27.01
2.5809788703918457,36.74,27.01
2.7153704166412354,32.13,27.02
2.8497562408447266,32.6,27.02
2.9842073917388916,32.61,27.02
3.1175529956817627,32.61,27.02
3.2522244453430176,32.61,27.02
3.422440528869629,32.35,27.02
3.5579371452331543,32.61,27.02
3.692772388458252,32.61,27.02
3.8271913528442383,32.35,27.02
3.976818799972534,32.61,27.0
4.111362934112549,32.61,27.02
4.262193441390991,32.6,27.02
4.401104688644409,32.37,27.02
4.535227298736572,32.37,27.02
4.671299457550049,32.61,27.02
4.805620431900024,32.35,27.02
4.941089391708374,32.35,27.02
5.075197696685791,32.35,27.02
5.220499277114868,32.37,27.02
5.3549346923828125,32.35,27.02
5.483997821807861,32.37,27.02
5.6207640171051025,32.37,27.02
5.755230188369751,32.35,27.0
5.888572454452515,32.37,27.0
6.0245630741119385,32.35,27.02
6.18115496635437,32.35,27.02
6.3157079219818115,32.35,27.02
6.450346946716309,32.35,27.02
6.602793216705322,32.35,27.02
6.734351873397827,32.37,27.02
6.869770765304565,32.37,27.02
7.024139642715454,32.35,27.02
7.176237344741821,32.35,27.02
7.313932418823242,32.37,27.01
7.464700222015381,32.37,27.01
7.5993452072143555,32.35,27.02
7.735233783721924,32.37,27.02
7.907948970794678,32.35,27.02
8.042795419692993,32.37,27.02
8.178835391998291,32.37,27.0
8.313546895980835,32.37,27.02
8.447264909744263,32.35,27.02
8.599108219146729,32.35,27.02
8.735695362091064,32.37,27.02
8.885369777679443,32.35,27.02
