System,System,System,System,System,System,System,System,System,System
Time,EXEC,CFREQ,READ,WRITE,INST,PhysIPC%,Proc Energy (Joules),DRAM Energy (Joules),UncFREQ (Ghz)
19:57:05.141,0.0,1.13,0.0,0.0,2.83,12.19,2.76,0.14,0.21
19:57:05.241,0.0,1.0,0.0,0.0,6.53,24.21,2.62,0.19,0.22
19:57:05.341,0.0,1.0,0.0,0.0,6.22,24.93,2.36,0.14,0.15
19:57:05.441,0.0,1.0,0.0,0.0,6.03,25.59,2.25,0.09,0.12
19:57:05.541,0.0,1.0,0.0,0.0,6.27,24.7,2.24,0.12,0.11
19:57:05.656,0.01,1.44,0.01,0.02,178.58,8.02,6.5,0.96,1.34
19:57:05.741,0.44,2.7,0.02,0.09,5409.98,28.02,14.09,1.26,1.95
19:57:05.842,0.51,2.78,0.02,0.12,6436.96,28.07,15.37,1.3,1.93
19:57:05.956,0.54,2.85,0.03,0.13,6763.54,28.04,15.03,1.28,1.82
19:57:06.052,0.56,2.82,0.03,0.14,7009.65,27.68,15.31,1.31,1.83
19:57:06.142,0.32,3.13,0.02,0.09,4015.9,23.6,14.34,1.25,2.06
19:57:06.253,0.08,2.39,0.05,0.27,938.0,9.55,13.23,1.32,2.39
19:57:06.343,0.37,1.94,3.05,1.8,4673.99,25.2,15.34,2.36,2.23
19:57:06.443,0.52,2.29,4.56,2.48,6512.67,29.94,15.12,2.78,1.82
19:57:06.543,0.47,1.88,4.13,2.13,5895.15,32.9,14.95,2.65,2.07
19:57:06.644,0.5,2.03,4.4,2.39,6265.51,32.28,15.37,2.74,2.03
19:57:06.744,0.46,1.98,4.13,2.43,5748.94,30.57,15.15,2.71,2.06
19:57:06.845,0.3,2.23,2.39,1.27,3716.27,17.47,14.82,2.11,2.12
19:57:06.944,0.27,1.77,2.4,1.73,3391.01,21.4,14.81,2.21,2.31
19:57:07.045,0.12,1.9,1.48,1.12,1523.42,22.2,11.79,1.67,2.21
