CPU Cap (W),GPU Cap (W),Runtime (s)
240,100,23.92
240,120,24.13
240,140,23.98
240,160,24.07
240,180,23.98
240,200,23.95
240,220,24.23
240,240,24.13
240,260,24.11
240,100,23.97
240,120,24.17
240,140,23.91
240,160,24.16
240,180,23.86
240,200,24.41
240,220,24.0
240,240,24.0
240,260,24.18
240,100,24.03
240,120,24.08
240,140,24.13
240,160,23.99
240,180,24.04
240,200,23.84
240,220,24.06
240,240,24.01
240,260,23.86
240,100,24.18
240,120,23.88
240,140,24.09
240,160,24.1
240,180,23.89
240,200,24.26
240,220,24.33
240,240,23.96
240,260,24.09
240,100,23.96
240,120,24.03
240,140,24.29
240,160,24.32
240,180,24.31
240,200,24.07
240,220,24.14
240,240,23.88
240,260,24.15
