CPU Cap (W),GPU Cap (W),Runtime (s)
240,100,43.92
240,120,40.62
240,140,39.14
240,160,38.99
240,180,39.0
240,200,39.07
240,220,38.99
240,240,39.05
240,260,39.06
240,100,43.89
240,120,40.64
240,140,39.28
240,160,38.91
240,180,38.88
240,200,38.98
240,220,39.03
240,240,39.02
240,260,38.93
240,100,43.89
240,120,40.54
240,140,39.17
240,160,38.82
240,180,39.03
240,200,38.98
240,220,39.05
240,240,38.96
240,260,38.95
240,100,44.06
240,120,40.51
240,140,39.27
240,160,38.81
240,180,38.93
240,200,38.86
240,220,39.05
240,240,38.99
240,260,39.03
240,100,43.85
240,120,40.45
240,140,39.16
240,160,38.99
240,180,39.01
240,200,39.04
240,220,38.99
240,240,39.0
240,260,39.06
