CPU Cap (W),GPU F (MHz),CPU_E (J),GPU_E (J),Runtime (s)
105,2100,1988.82,3589.35,22.57
105,2025,2021.95,3631.69,22.75
105,1935,2010.21,3684.74,22.77
105,1845,2063.66,3485.56,23.15
105,1755,2150.13,3181.37,24.35
105,1665,2268.64,2975.82,25.43
105,1575,2369.13,2821.99,26.69
105,1485,2497.65,2756.86,28.31
105,1395,2621.31,2683.86,29.7
105,1305,2813.06,2608.07,31.57
105,1215,3002.04,2657.24,33.64
105,1125,3211.22,2716.09,36.17
105,1035,3474.68,2746.16,39.04
105,945,3823.71,2879.57,43.06
105,855,4208.95,3102.45,47.3
105,765,4693.03,3389.07,52.69
105,675,5277.57,3744.94,59.55
105,585,6085.24,4195.26,68.48
105,495,7173.24,4783.86,80.74
105,405,8779.49,5620.76,98.34
105,315,20947.64,12255.18,236.72
