CPU Cap (W),GPU F (MHz),CPU_E (J),GPU_E (J),Runtime (s)
105,2100,2193.91,4962.91,24.39
105,2025,2143.51,5088.86,24.42
105,1935,2180.74,5183.03,24.4
105,1845,-259992.16,4865.11,24.37
105,1755,2157.8,4330.79,24.53
105,1665,2136.98,3889.25,24.24
105,1575,2131.24,3631.54,24.22
105,1485,2160.96,3383.13,24.23
105,1395,2159.65,3184.56,24.09
105,1305,2148.29,2996.98,24.04
105,1215,2136.96,2914.04,24.14
105,1125,2127.83,2793.13,24.05
105,1035,2173.09,2734.18,24.45
105,945,2187.71,2683.08,24.71
105,855,2213.53,2656.04,24.83
105,765,2219.58,2659.02,24.75
105,675,2215.75,2672.51,25.08
105,585,2308.57,2694.49,25.53
105,495,2415.68,2763.58,26.66
105,405,2625.8,2940.41,29.3
105,315,4942.85,4889.88,55.98
