CPU Cap (W),GPU F (MHz),CPU_E (J),GPU_E (J),Runtime (s)
105,2100,305.48,225.18,3.49
105,2025,305.53,226.28,3.47
105,1935,321.59,237.45,3.69
105,1845,312.69,213.48,3.56
105,1755,305.22,195.42,3.49
105,1665,306.02,186.42,3.47
105,1575,303.22,181.51,3.45
105,1485,302.51,176.85,3.46
105,1395,302.61,169.08,3.44
105,1305,304.47,168.1,3.48
105,1215,304.11,162.36,3.48
105,1125,304.01,157.32,3.5
105,1035,302.98,154.13,3.45
105,945,304.96,158.49,3.5
105,855,327.3,159.8,3.72
105,765,313.1,149.06,3.55
105,675,303.82,148.44,3.47
105,585,310.59,157.68,3.56
105,495,321.4,156.1,3.64
105,405,310.55,149.81,3.52
105,315,301.68,152.43,3.47
105,2100,303.5,228.1,3.5
105,2025,329.33,244.81,3.75
105,1935,295.02,223.76,3.34
105,1845,318.35,228.91,3.67
