CPU Cap (W),GPU F (MHz),CPU_E (J),GPU_E (J),Runtime (s)
105,2100,1977.24,3901.28,22.21
105,2025,1984.82,3983.21,22.4
105,1935,1979.58,4068.97,22.31
105,1845,2031.47,3739.94,22.67
105,1755,2082.78,3348.19,23.36
105,1665,2173.03,3074.71,24.33
105,1575,2290.17,2919.34,25.89
105,1485,2391.78,2730.51,26.76
105,1395,2532.62,2647.4,28.33
105,1305,2665.31,2552.3,29.83
105,1215,2779.74,2559.3,31.31
105,1125,3025.28,2572.85,33.86
105,1035,3235.27,2628.26,36.51
105,945,3347.68,2604.19,37.77
105,855,3434.36,2652.32,38.8
105,765,3526.57,2694.32,39.71
105,675,3686.76,2746.31,41.27
105,585,3872.21,2850.61,43.49
105,495,4113.31,2996.28,45.87
105,405,4492.52,3201.53,50.25
105,315,9409.29,5899.88,105.59
105,2100,1986.11,3900.04,22.31
105,2025,2010.14,3975.95,22.6
105,1935,2025.59,4073.03,22.81
105,1845,2037.06,3746.84,22.88
105,1755,2141.94,3405.98,24.15
105,1665,2216.61,3134.1,24.99
105,1575,2295.15,2935.59,25.92
105,1485,2371.38,2725.54,26.63
105,1395,2534.92,2675.85,28.46
105,1305,2688.93,2590.56,30.39
105,1215,2839.61,2600.19,31.86
105,1125,3007.45,2603.07,33.87
105,1035,3267.05,2638.28,36.62
105,945,3362.68,2614.98,37.73
105,855,3413.53,2642.05,38.45
105,765,3553.75,2711.05,39.8
105,675,3706.61,2770.42,41.71
105,585,3921.08,2879.35,43.86
105,495,4159.12,3033.82,46.81
105,405,4553.51,3234.01,51.22
105,315,9509.65,5948.18,106.44
105,2100,2000.35,3951.87,22.52
105,2025,2025.88,4009.45,22.78
105,1935,1976.23,4031.56,22.19
105,1845,2033.07,3764.38,22.91
105,1755,2093.73,3383.54,23.55
105,1665,2209.11,3120.22,24.84
105,1575,2332.49,2946.67,26.2
105,1485,2434.34,2782.21,27.31
105,1395,2516.62,2665.38,28.26
105,1305,2699.05,2595.17,30.33
105,1215,2859.28,2620.04,32.18
105,1125,3035.96,2612.48,34.19
105,1035,3301.33,2670.87,37.19
105,945,3341.56,2608.65,37.66
105,855,3420.51,2630.85,38.33
105,765,3553.76,2715.23,40.06
105,675,3701.08,2768.76,41.69
105,585,3944.37,2899.59,44.36
105,495,4172.97,3036.84,47.0
105,405,4542.82,3203.55,51.07
105,315,9574.4,5992.3,107.48
105,2100,1984.97,3888.99,22.32
105,2025,1979.47,3975.12,22.26
105,1935,1971.5,4029.13,22.12
105,1845,2038.0,3725.34,22.93
105,1755,2078.17,3366.66,23.62
105,1665,2198.98,3116.67,24.82
105,1575,2318.29,2933.25,26.11
105,1485,2371.66,2741.63,26.77
105,1395,2543.08,2692.18,28.69
105,1305,2692.52,2593.64,30.32
105,1215,2811.32,2590.82,31.59
105,1125,3036.97,2617.4,34.24
105,1035,3233.26,2622.02,36.4
105,945,3389.47,2636.6,37.96
105,855,3418.95,2642.7,38.38
105,765,3541.54,2714.87,39.88
105,675,3731.18,2796.08,41.97
105,585,3898.24,2872.19,43.66
105,495,4180.06,3040.52,46.96
105,405,4593.81,3252.19,51.6
105,315,9635.97,6013.62,107.81
105,2100,2001.65,3940.57,22.69
105,2025,2010.85,4035.93,22.84
105,1935,2040.82,4097.02,23.03
105,1845,2074.67,3807.12,23.53
105,1755,2172.83,3431.63,24.57
105,1665,2171.32,3095.19,24.58
105,1575,2283.82,2926.95,25.83
105,1485,2439.42,2788.43,27.44
105,1395,2599.06,2711.8,29.13
105,1305,2627.57,2544.12,29.52
105,1215,2843.67,2614.0,32.08
105,1125,3067.24,2640.94,34.79
105,1035,3275.71,2659.3,37.13
105,945,3402.9,2640.36,38.41
105,855,3457.94,2673.67,39.12
105,765,3572.56,2730.09,40.24
105,675,3730.68,2788.83,41.98
105,585,3920.83,2885.27,44.03
105,495,4156.77,3032.24,46.79
105,405,4615.04,3277.44,52.18
105,315,9544.59,5987.35,107.47
