CPU Cap (W),GPU F (MHz),CPU_E (J),GPU_E (J),Runtime (s)
105,2100,1541.18,2060.17,17.26
105,2025,1543.56,2111.66,17.47
105,1935,1551.97,2102.21,17.45
105,1845,1592.36,1936.08,17.95
105,1755,1633.73,1799.59,18.41
105,1665,1690.81,1668.09,19.0
105,1575,1762.53,1610.45,19.83
105,1485,1845.66,1577.66,20.67
105,1395,1930.51,1539.02,21.75
105,1305,2024.51,1537.82,22.83
105,1215,2147.27,1569.97,24.32
105,1125,2290.68,1572.13,25.71
105,1035,2435.34,1633.41,27.51
105,945,2654.54,1718.97,29.77
105,855,2871.89,1857.36,32.57
105,765,3159.81,2021.05,35.64
105,675,3531.04,2226.16,39.94
105,585,4010.92,2485.23,45.0
105,495,4638.42,2835.21,52.17
105,405,5571.91,3341.69,62.76
105,315,12590.14,7184.95,142.24
