CPU Cap (W),GPU F (MHz),CPU_E (J),GPU_E (J),Runtime (s)
105,2100,1095.22,1062.3,12.48
105,2025,1118.59,1091.6,12.78
105,1935,1099.64,1072.59,12.57
105,1845,1205.83,1065.49,13.73
105,1755,1295.8,1051.08,14.7
105,1665,1135.32,889.79,12.95
105,1575,1169.15,856.11,13.33
105,1485,1075.01,762.03,12.11
105,1395,1220.93,838.86,13.86
105,1305,1314.32,857.99,14.96
105,1215,1198.03,760.55,13.61
105,1125,1111.94,690.08,12.51
105,1035,1177.89,725.11,13.4
105,945,1139.39,671.6,12.86
105,855,1173.47,693.89,13.35
105,765,1386.08,816.08,15.64
105,675,1319.95,790.49,15.04
105,585,1254.63,737.26,14.11
105,495,1624.13,944.38,18.34
105,405,1445.27,852.48,16.38
105,315,1981.09,1160.27,22.47
