CPU Cap (W),GPU F (MHz),CPU_E (J),GPU_E (J),Runtime (s)
105,2100,2224.82,2334.91,25.16
105,2025,2260.64,2350.81,25.47
105,1935,2237.35,2362.6,25.24
105,1845,2224.21,2090.65,24.89
105,1755,2245.61,1975.05,25.07
105,1665,2314.79,1864.9,26.0
105,1575,2282.99,1731.02,25.58
105,1485,2334.37,1696.89,26.24
105,1395,2341.0,1617.98,26.21
105,1305,2398.28,1584.3,26.94
105,1215,2421.05,1552.16,27.17
105,1125,2461.58,1523.63,27.59
105,1035,2493.8,1528.71,27.99
105,945,2571.4,1529.41,28.8
105,855,2678.11,1595.96,30.19
105,765,2736.93,1620.5,30.66
105,675,2897.25,1715.31,32.7
105,585,3002.51,1774.51,33.82
105,495,3257.39,1915.82,36.69
105,405,3489.62,2046.22,39.33
105,315,5784.0,3268.37,64.74
105,2100,2211.91,2333.29,24.8
105,2025,2206.22,2313.48,24.79
105,1935,2206.23,2314.34,24.71
105,1845,2265.85,2168.34,25.5
105,1755,2233.94,1983.36,25.0
105,1665,2251.83,1833.74,25.32
105,1575,2275.52,1742.21,25.57
105,1485,2304.41,1692.18,25.91
105,1395,2338.69,1630.51,26.27
105,1305,2410.54,1612.89,27.14
105,1215,2450.46,1575.31,27.61
105,1125,2493.49,1551.09,28.07
105,1035,2544.24,1571.76,28.71
105,945,2600.86,1561.13,29.24
105,855,2715.21,1618.81,30.61
105,765,2778.04,1651.85,31.5
105,675,2852.69,1686.7,31.92
105,585,-259091.56,1815.92,34.42
105,495,3202.84,1914.05,36.16
105,405,3540.84,2087.08,39.97
105,315,5762.39,3294.56,65.04
105,2100,2202.17,2349.58,24.83
105,2025,2207.14,2320.33,24.79
105,1935,2214.2,2323.53,24.85
105,1845,2229.82,2133.84,24.97
105,1755,2227.82,1983.74,25.06
105,1665,2259.71,1826.09,25.28
105,1575,2276.76,1746.49,25.5
105,1485,2309.81,1692.64,25.99
105,1395,2339.28,1634.42,26.24
105,1305,2365.42,1592.12,26.66
105,1215,-259746.2,1562.1,27.08
105,1125,2442.44,1526.48,27.49
105,1035,-259637.6,1522.5,28.12
105,945,2572.72,1524.93,28.8
105,855,2671.89,1596.33,30.05
105,765,2733.91,1622.58,30.64
105,675,2894.71,1718.46,32.54
105,585,2987.33,1776.24,33.6
105,495,3175.51,1884.33,35.83
105,405,3511.73,2058.68,39.4
105,315,5772.71,3291.95,65.04
105,2100,2227.75,2376.67,25.1
105,2025,2246.03,2358.73,25.26
105,1935,2213.22,2349.61,24.79
105,1845,2212.18,2115.5,24.93
105,1755,2230.01,1993.03,25.06
105,1665,2258.95,1832.96,25.31
105,1575,2328.44,1778.93,26.23
105,1485,2308.72,1677.83,25.94
105,1395,-259806.93,1627.4,26.19
105,1305,2364.22,1584.77,26.54
105,1215,2402.88,1538.79,26.9
105,1125,2497.47,1554.01,28.11
105,1035,2541.71,1563.95,28.66
105,945,2570.32,1541.51,28.91
105,855,2669.01,1584.24,30.05
105,765,2723.95,1617.04,30.7
105,675,2856.6,1694.43,32.05
105,585,2997.96,1782.07,33.68
105,495,3198.0,1895.06,36.12
105,405,3497.91,2049.46,39.28
105,315,5801.22,3278.73,64.77
105,2100,-259890.74,2366.8,25.43
105,2025,2254.64,2366.66,25.52
105,1935,2207.17,2357.94,24.88
105,1845,2265.79,2121.32,25.5
105,1755,2267.08,1985.35,25.59
105,1665,2279.86,1838.03,25.7
105,1575,2331.12,1766.18,26.22
105,1485,2344.34,1706.07,26.45
105,1395,2361.8,1660.85,26.79
105,1305,2362.41,1581.77,26.64
105,1215,2415.4,1561.3,27.14
105,1125,2470.39,1548.44,27.88
105,1035,2523.7,1538.78,28.4
105,945,2600.57,1565.32,29.52
105,855,2673.23,1588.02,30.11
105,765,2759.27,1633.77,31.14
105,675,2883.24,1709.42,32.63
105,585,3059.55,1818.9,34.62
105,495,3237.64,1915.87,36.7
105,405,3496.03,2034.03,39.17
105,315,5864.69,3342.24,66.34
