CPU Cap (W),GPU F (MHz),CPU_E (J),GPU_E (J),Runtime (s)
105,2100,2109.28,1617.39,23.71
105,2025,2102.3,1605.13,23.65
105,1935,2126.94,1666.74,23.93
105,1845,2102.76,1503.69,23.64
105,1755,2109.85,1425.16,23.68
105,1665,2117.62,1339.24,23.81
105,1575,2130.41,1301.57,24.05
105,1485,2126.18,1254.33,23.92
105,1395,2123.76,1196.72,23.91
105,1305,2169.96,1143.03,24.41
105,1215,2134.31,1124.58,23.97
105,1125,2127.8,1100.43,23.75
105,1035,2134.25,1081.2,23.79
105,945,2171.13,1077.41,24.4
105,855,2152.92,1072.17,24.26
105,765,2162.1,1070.06,24.17
105,675,2178.11,1101.11,24.26
105,585,2196.88,1086.26,24.72
105,495,2200.08,1095.04,24.57
105,405,2234.14,1114.18,25.16
105,315,2417.44,1186.1,26.97
105,2100,2092.24,1541.48,23.63
105,2025,2106.37,1575.05,23.71
105,1935,2145.36,1591.42,23.97
105,1845,2131.54,1481.39,24.18
105,1755,2139.88,1432.37,24.12
105,1665,2103.85,1297.4,23.49
105,1575,2091.04,1275.9,23.51
105,1485,2105.23,1252.03,23.5
105,1395,2118.78,1177.51,23.69
105,1305,2114.68,1130.69,23.64
105,1215,2152.51,1113.14,24.23
105,1125,2129.41,1114.28,23.83
105,1035,2114.73,1086.47,23.84
105,945,2123.16,1068.24,23.79
105,855,2149.5,1082.14,24.03
105,765,2140.38,1065.37,23.91
105,675,2148.63,1064.85,24.14
105,585,2154.55,1092.82,24.11
105,495,2175.08,1094.92,24.46
105,405,2188.61,1098.21,24.56
105,315,2386.79,1178.02,26.86
105,2100,2101.43,1651.44,23.4
105,2025,2123.3,1609.9,23.88
105,1935,2089.65,1625.38,23.28
105,1845,2095.41,1533.47,23.42
105,1755,2120.14,1389.35,23.66
105,1665,2096.06,1304.84,23.54
105,1575,2170.16,1293.05,24.43
105,1485,2111.64,1256.5,23.58
105,1395,2156.18,1219.7,24.29
105,1305,2106.56,1161.22,23.67
105,1215,2109.47,1131.86,23.56
105,1125,2110.47,1106.25,23.61
105,1035,2160.64,1099.24,24.29
105,945,2139.91,1068.72,23.86
105,855,2134.1,1065.39,23.97
105,765,2147.95,1055.97,24.03
105,675,2146.35,1096.78,24.13
105,585,2184.94,1081.66,24.49
105,495,2227.09,1088.28,25.02
105,405,2213.38,1098.25,24.76
105,315,2401.5,1204.55,26.95
105,2100,2094.03,1648.91,23.4
105,2025,2098.31,1639.24,23.39
105,1935,2089.78,1668.47,23.4
105,1845,2100.97,1572.55,23.5
105,1755,2082.38,1411.57,23.27
105,1665,2103.52,1345.29,23.51
105,1575,2111.84,1254.08,23.59
105,1485,2111.86,1238.39,23.61
105,1395,2106.14,1191.84,23.65
105,1305,2102.28,1146.97,23.5
105,1215,2102.98,1131.43,23.53
105,1125,2122.99,1130.25,23.83
105,1035,2120.8,1098.78,23.67
105,945,2135.2,1053.42,23.86
105,855,2148.47,1092.22,23.97
105,765,2148.94,1089.69,24.03
105,675,2159.15,1077.19,24.15
105,585,2171.42,1065.59,24.31
105,495,2179.98,1090.02,24.44
105,405,2207.37,1110.05,24.68
105,315,2382.93,1213.67,26.71
105,2100,2083.41,1613.7,23.37
105,2025,2093.32,1660.67,23.38
105,1935,2103.61,1635.43,23.47
105,1845,2098.99,1514.47,23.63
105,1755,2136.43,1430.41,24.01
105,1665,2103.95,1309.21,23.47
105,1575,2141.61,1301.95,24.13
105,1485,2110.51,1229.77,23.55
105,1395,2101.49,1191.23,23.6
105,1305,2112.06,1164.59,23.66
105,1215,2125.72,1139.91,23.77
105,1125,2123.54,1108.16,23.81
105,1035,2128.6,1090.71,23.84
105,945,2127.5,1071.79,23.84
105,855,2127.61,1081.24,23.91
105,765,2140.46,1071.88,24.03
105,675,2155.29,1059.21,24.16
105,585,2175.04,1095.54,24.3
105,495,2166.19,1071.38,24.31
105,405,2201.19,1114.89,24.72
105,315,2385.98,1203.34,26.75
