CPU Cap (W),GPU F (MHz),CPU_E (J),GPU_E (J),Runtime (s)
105,2100,-260386.81,1526.86,20.03
105,2025,1715.53,1504.53,19.45
105,1935,1717.73,1525.88,19.57
105,1845,1649.6,1343.95,18.7
105,1755,1667.42,1283.96,18.92
105,1665,1709.02,1218.05,19.4
105,1575,1611.81,1108.5,18.27
105,1485,1556.47,1033.32,17.66
105,1395,1573.61,1007.04,17.85
105,1305,1586.68,977.57,17.97
105,1215,1684.49,1004.92,19.02
105,1125,1589.95,937.36,18.09
105,1035,1729.91,988.2,19.47
105,945,1805.68,1015.67,20.5
105,855,1597.16,901.18,18.17
105,765,1588.03,895.79,18.09
105,675,1906.73,1015.14,21.54
105,585,1646.93,915.7,18.68
105,495,1655.41,925.54,18.8
105,405,1780.06,1002.14,20.23
105,315,1888.61,1059.37,21.38
