Time,IPC
2024-10-31 15:33:13,2.53
2024-10-31 15:33:14,2.55
2024-10-31 15:33:16,2.49
2024-10-31 15:33:17,2.51
2024-10-31 15:33:18,2.56
2024-10-31 15:33:19,2.56
2024-10-31 15:33:20,2.57
2024-10-31 15:33:21,2.55
2024-10-31 15:33:23,2.57
2024-10-31 15:33:24,2.55
2024-10-31 15:33:25,2.57
2024-10-31 15:33:26,2.57
2024-10-31 15:33:27,2.52
2024-10-31 15:33:28,2.53
2024-10-31 15:33:30,2.53
2024-10-31 15:33:31,2.57
2024-10-31 15:33:32,2.58
2024-10-31 15:33:33,2.56
2024-10-31 15:33:34,2.56
2024-10-31 15:33:35,2.57
2024-10-31 15:33:37,2.54
2024-10-31 15:33:38,2.54
2024-10-31 15:33:39,2.53
2024-10-31 15:33:40,2.56
2024-10-31 15:33:41,2.57
2024-10-31 15:33:42,2.56
2024-10-31 15:33:44,2.57
2024-10-31 15:33:45,2.55
2024-10-31 15:33:46,2.54
2024-10-31 15:33:47,2.56
2024-10-31 15:33:48,2.55
2024-10-31 15:33:49,2.54
2024-10-31 15:33:51,2.54
2024-10-31 15:33:52,2.57
2024-10-31 15:33:53,2.56
2024-10-31 15:33:54,2.56
2024-10-31 15:33:55,2.55
2024-10-31 15:33:56,2.56
2024-10-31 15:33:58,2.57
2024-10-31 15:33:59,2.55
2024-10-31 15:34:00,2.51
2024-10-31 15:34:01,2.56
2024-10-31 15:34:02,2.56
2024-10-31 15:34:03,2.57
2024-10-31 15:34:04,2.58
2024-10-31 15:34:06,2.57
2024-10-31 15:34:07,2.55
2024-10-31 15:34:08,2.57
2024-10-31 15:34:09,2.58
2024-10-31 15:34:10,2.56
2024-10-31 15:34:11,2.56
2024-10-31 15:34:13,2.51
2024-10-31 15:34:14,2.58
2024-10-31 15:34:15,2.58
2024-10-31 15:34:16,2.56
2024-10-31 15:34:17,2.55
2024-10-31 15:34:18,2.55
2024-10-31 15:34:20,2.55
2024-10-31 15:34:21,2.57
2024-10-31 15:34:22,2.57
2024-10-31 15:34:23,2.55
2024-10-31 15:34:24,2.49
2024-10-31 15:34:25,2.55
2024-10-31 15:34:27,2.55
2024-10-31 15:34:28,2.58
2024-10-31 15:34:29,2.57
2024-10-31 15:34:30,2.56
2024-10-31 15:34:31,2.58
2024-10-31 15:34:32,2.46
2024-10-31 15:34:34,.99
