time,utilization
0.00,0.00
0.32,16.34
0.61,1.27
0.92,1.16
1.22,0.82
1.55,0.84
1.86,1.00
2.18,1.03
2.50,1.18
2.82,1.01
3.14,1.03
3.47,1.03
3.79,1.03
4.10,0.97
4.40,1.06
4.70,1.06
4.99,0.95
5.30,0.99
5.60,1.03
5.92,1.17
6.23,1.05
6.55,1.10
6.86,1.08
7.19,1.04
7.50,1.06
7.80,1.01
8.11,1.07
8.43,1.02
8.76,1.06
9.07,1.09
9.37,1.01
9.68,1.07
9.99,0.95
10.28,1.02
10.57,1.06
10.87,1.12
11.19,1.05
11.51,1.04
11.80,0.96
12.10,1.04
12.40,1.05
12.69,1.18
13.01,1.01
13.34,1.03
13.67,1.02
13.98,0.99
14.29,1.06
14.58,1.04
14.90,0.98
15.22,1.00
15.53,0.97
15.82,1.05
16.15,1.10
16.48,0.99
16.79,1.08
17.10,1.00
17.41,1.00
17.75,1.07
18.08,0.99
18.39,1.06
18.67,1.09
19.00,1.02
19.32,1.04
19.61,0.99
19.93,1.00
20.26,1.06
20.59,1.08
20.89,1.02
21.21,0.97
21.52,1.02
21.84,1.12
22.14,1.04
22.43,1.10
22.75,1.06
23.07,1.01
23.40,1.08
23.72,1.05
24.03,0.97
24.33,1.02
24.66,1.02
24.99,1.06
25.28,1.04
25.59,0.97
25.91,1.06
26.23,1.00
26.52,1.06
26.84,1.07
27.17,1.06
27.50,1.09
27.80,1.06
28.11,1.03
28.43,0.97
28.73,1.01
29.04,1.07
29.35,1.02
29.66,1.03
29.99,1.05
30.32,1.02
30.64,1.01
30.95,1.06
31.26,1.04
31.57,0.98
31.88,0.98
32.19,1.03
32.51,1.09
32.81,1.14
33.12,1.05
33.44,1.04
33.76,0.97
34.05,1.13
34.37,1.02
34.68,1.01
34.99,1.11
35.31,0.96
35.61,1.08
35.92,1.03
36.24,0.98
36.55,1.04
36.86,1.00
37.17,1.03
37.48,1.07
37.81,1.09
38.12,1.05
38.42,1.00
38.74,0.98
39.07,1.13
39.39,0.98
39.70,1.04
40.01,1.10
40.30,1.00
40.61,1.05
40.95,1.04
41.30,0.98
41.62,1.04
41.94,1.08
42.24,1.05
42.56,1.07
42.87,1.06
43.17,1.03
43.50,1.04
43.83,1.04
44.13,1.02
