time,utilization
0.00,0.00
0.31,31.79
0.59,1.40
0.89,1.50
1.19,1.05
1.51,1.03
1.84,0.80
2.15,0.86
2.48,0.84
2.80,0.78
3.11,1.03
3.43,1.05
3.73,1.10
4.04,1.03
4.37,1.09
4.72,1.04
5.04,1.08
5.37,1.05
5.68,1.08
5.99,1.10
6.33,1.07
6.68,1.01
6.99,1.18
7.31,1.06
7.63,1.02
7.94,1.12
8.24,1.08
8.56,0.98
8.88,1.06
9.18,1.07
9.49,1.08
9.79,1.10
10.10,0.98
10.42,1.02
10.76,1.05
11.08,1.07
11.39,1.05
11.68,1.07
11.99,1.09
12.31,1.09
12.63,1.04
12.94,1.08
13.24,1.10
13.58,1.01
13.88,1.06
14.20,1.00
14.51,1.03
14.81,1.04
15.13,1.00
15.47,1.10
15.76,1.09
16.09,1.10
16.40,0.96
16.72,1.09
17.02,1.04
17.32,1.05
17.63,1.06
17.94,1.07
18.25,1.08
18.56,1.02
18.86,1.12
19.18,1.09
19.49,1.08
19.79,1.11
20.12,1.02
20.42,1.03
20.73,2.77
21.04,1.02
21.35,1.02
21.64,1.01
21.94,1.12
22.26,1.01
22.57,0.97
22.87,1.10
23.19,1.00
23.50,1.03
23.80,1.06
24.11,1.09
24.41,1.15
24.73,1.09
25.06,4.04
25.38,1.08
25.70,1.00
25.99,1.03
26.28,1.04
26.59,1.09
26.89,1.07
27.20,1.02
27.53,1.08
27.84,1.05
28.16,1.09
28.46,1.03
28.76,1.05
29.09,4.18
29.41,1.04
29.72,1.06
30.01,1.01
30.34,0.99
30.65,1.10
30.97,1.02
31.29,1.02
31.60,1.01
31.90,1.11
32.22,1.09
32.54,0.95
32.87,1.05
33.20,4.00
33.51,1.00
33.83,1.03
34.15,0.98
34.43,1.13
34.75,1.11
35.05,1.04
35.41,0.96
35.71,1.04
36.02,1.01
36.33,1.13
36.64,1.02
36.95,3.52
37.25,1.04
37.55,1.03
37.87,1.02
38.18,1.04
38.49,1.08
38.82,1.07
39.11,1.02
39.42,1.00
39.73,1.05
40.04,1.03
40.34,1.03
40.64,0.97
40.93,3.06
41.25,2.24
41.57,0.98
41.89,1.02
42.21,1.05
42.52,1.09
42.82,1.00
43.11,1.01
43.42,1.05
43.72,1.11
44.03,1.06
44.34,1.05
44.66,1.07
44.96,3.81
45.26,1.03
45.57,0.96
45.87,1.17
46.19,1.08
46.49,1.10
46.83,1.02
47.14,0.97
47.46,1.07
47.77,1.03
48.05,1.02
48.36,0.97
48.70,1.08
49.01,4.28
49.33,1.04
49.65,1.01
49.96,0.97
50.27,1.13
50.59,1.05
50.89,1.13
51.21,0.96
51.52,1.02
51.81,1.08
52.13,1.05
52.46,1.02
52.76,4.21
53.08,1.10
53.38,1.05
53.70,1.03
54.01,1.03
54.32,1.01
54.62,1.04
54.90,1.07
55.21,1.04
55.52,1.05
55.84,0.95
56.15,1.05
56.43,1.02
56.74,4.33
57.06,1.04
57.35,1.03
57.67,0.97
57.99,1.05
58.31,1.08
58.62,1.00
58.93,1.10
59.22,1.04
59.53,1.06
59.85,1.05
60.16,0.98
60.49,1.09
60.81,2.87
61.11,0.94
