time,utilization
0.00,0.00
0.28,19.09
0.54,1.90
0.82,1.96
1.09,1.33
1.38,1.12
1.67,1.09
1.94,1.06
2.22,1.08
2.50,0.97
2.78,1.01
3.06,1.03
3.33,1.08
3.62,1.19
3.90,1.14
4.18,1.10
4.46,1.08
4.75,1.04
5.04,1.13
5.32,1.17
5.60,1.06
5.88,1.06
6.16,1.07
6.44,1.10
6.73,1.06
7.01,1.09
7.30,1.09
7.57,1.10
7.85,1.18
8.13,1.13
8.41,1.11
8.69,1.04
8.97,1.09
9.26,1.07
9.54,1.09
9.83,1.12
10.11,1.05
10.39,1.15
10.67,1.07
10.95,1.07
11.23,1.03
11.52,1.08
11.80,1.11
12.09,1.09
12.38,1.08
12.66,1.09
12.95,1.14
13.24,1.13
13.52,1.10
13.80,1.04
14.09,1.05
14.37,1.09
14.65,1.02
14.96,1.08
15.25,1.09
15.53,1.11
15.86,1.04
16.14,1.04
16.42,1.10
16.71,1.09
16.98,1.09
17.27,1.09
17.55,1.04
17.83,1.09
18.12,1.10
18.40,1.05
18.69,1.02
18.96,1.07
19.24,1.10
19.53,1.11
19.80,1.13
20.08,1.05
20.37,1.08
20.65,1.08
20.93,1.08
21.21,1.09
21.51,1.12
21.80,1.07
22.08,1.03
22.36,1.07
22.64,1.04
22.93,1.06
23.21,1.05
23.48,1.11
23.76,1.09
24.04,1.10
24.33,1.11
24.61,1.09
24.89,1.06
25.18,1.08
25.47,1.05
25.75,1.02
26.03,1.09
26.31,1.01
26.59,1.08
26.86,1.11
27.14,1.10
27.42,1.06
27.70,0.98
27.98,1.09
28.26,1.13
28.54,1.05
28.83,1.07
29.11,1.08
29.40,1.07
29.69,1.09
29.97,1.12
30.26,1.12
30.54,1.08
30.83,1.06
31.11,1.05
31.39,1.08
31.67,1.01
31.95,1.00
32.24,1.15
32.56,1.06
32.84,1.16
33.12,1.07
33.40,1.07
33.69,1.10
33.98,1.05
34.26,1.07
34.54,1.16
34.82,1.08
35.11,1.04
35.39,1.04
35.67,1.06
35.96,1.07
36.24,1.05
36.51,1.04
36.80,1.10
37.08,1.08
37.36,1.07
37.64,1.11
37.93,1.07
38.21,1.10
38.49,1.10
38.77,1.10
39.06,1.06
39.37,1.09
39.65,1.06
39.93,1.16
40.21,1.09
40.50,1.10
40.78,0.99
41.06,1.08
41.35,1.07
41.62,1.03
41.90,1.15
42.18,1.05
42.47,1.10
42.75,1.09
43.03,1.11
43.31,1.11
43.60,1.10
43.88,1.10
44.17,1.10
44.45,1.15
44.73,1.02
45.01,1.07
45.29,1.13
45.57,1.07
45.86,1.07
46.14,1.07
46.43,1.08
46.71,1.11
47.00,1.09
47.29,1.03
47.57,1.09
47.86,1.12
48.15,1.12
48.43,1.03
48.71,1.05
48.99,1.05
49.27,1.06
49.55,1.10
49.83,1.08
50.11,1.09
50.39,1.13
50.68,1.02
50.96,1.15
51.25,1.02
51.53,1.04
51.82,1.13
52.09,1.04
52.37,1.07
52.65,1.10
52.94,1.12
53.22,1.05
53.50,1.04
53.78,1.13
54.05,1.06
54.33,1.06
54.61,1.14
54.89,1.05
55.17,1.03
55.45,1.09
55.74,1.13
56.02,1.04
56.30,0.99
56.57,1.09
56.85,1.08
57.13,1.13
57.41,1.17
57.69,1.00
57.97,1.16
58.25,1.02
58.53,1.12
58.82,1.07
59.11,1.11
59.39,1.07
59.67,1.08
59.95,1.02
60.23,1.05
60.51,1.08
60.80,1.11
61.07,1.19
61.35,1.11
61.63,1.12
61.92,1.04
62.19,1.03
62.47,1.13
62.75,1.13
63.04,1.07
63.32,1.10
63.60,1.04
63.88,1.13
64.16,1.09
64.44,1.04
64.72,0.99
65.01,1.12
65.30,1.10
65.59,1.03
65.87,1.19
66.16,1.10
66.44,1.07
66.73,1.08
67.01,1.08
67.29,1.07
67.57,1.04
67.85,1.05
68.13,1.09
68.41,1.03
68.69,1.10
68.97,1.15
69.26,1.08
69.54,1.10
69.82,1.07
70.11,1.10
70.39,1.10
70.67,1.10
70.96,1.08
71.25,1.15
71.53,1.01
71.82,1.13
72.10,1.05
72.37,1.11
72.65,1.04
72.93,1.07
73.21,1.18
73.50,1.06
73.78,1.05
74.06,1.11
74.35,1.08
74.63,1.07
74.92,1.13
75.20,1.01
75.48,1.15
75.76,1.05
76.05,1.16
76.33,1.02
76.62,1.08
76.91,1.16
77.20,1.12
77.48,1.10
77.77,1.08
78.05,1.06
78.33,1.02
78.61,1.11
78.89,1.05
79.18,1.05
79.46,1.13
79.74,1.02
80.03,1.04
80.31,1.04
80.59,1.05
80.87,1.12
81.16,1.07
81.44,1.10
81.73,1.06
82.01,1.09
82.29,1.05
82.57,1.07
82.86,1.15
83.14,1.04
83.42,1.03
83.71,1.10
83.99,1.13
84.27,1.09
84.55,1.05
84.82,1.06
85.11,1.05
85.39,1.25
85.67,1.02
85.96,1.10
86.25,1.06
86.53,1.10
86.81,1.15
87.09,1.13
87.37,1.09
87.65,1.05
87.94,1.00
88.23,1.09
88.53,1.08
88.81,1.14
89.09,1.09
89.38,1.04
89.67,1.06
89.95,1.06
90.23,1.06
90.52,1.10
90.79,1.12
91.07,1.09
91.36,1.11
91.64,1.03
91.92,1.13
92.19,1.11
92.48,1.10
92.77,1.07
93.05,1.06
93.34,1.09
93.62,1.01
93.90,1.12
94.18,1.04
94.47,1.06
94.75,1.10
95.03,1.09
95.32,1.07
95.61,1.04
95.89,1.10
96.17,1.06
96.45,1.09
96.73,1.04
97.01,1.08
97.30,1.06
97.58,1.09
97.87,1.09
98.15,1.08
98.43,1.02
98.72,1.04
99.00,1.07
99.29,1.16
99.57,1.06
99.86,1.13
100.14,1.11
100.43,1.07
100.71,1.08
100.99,1.10
101.27,1.08
101.56,1.05
101.84,1.13
102.12,1.05
102.41,1.05
102.69,1.11
102.98,1.08
103.27,1.09
103.56,1.06
103.84,1.10
104.12,1.01
104.41,1.08
104.69,1.12
104.97,1.07
105.25,1.14
105.54,1.05
105.81,1.10
106.10,1.11
106.38,1.08
106.66,1.07
106.94,1.02
107.23,1.02
107.51,1.11
107.80,1.10
108.08,1.03
108.35,1.01
108.62,1.06
108.90,1.05
109.18,1.05
109.46,1.19
109.75,1.08
110.03,1.05
110.31,1.06
110.60,1.12
110.90,1.14
111.18,1.10
111.47,1.07
111.74,1.05
112.03,1.07
112.31,1.05
112.59,1.12
112.87,1.02
113.15,1.03
113.43,1.04
113.72,1.12
114.00,1.19
114.28,1.03
114.56,1.08
114.85,1.13
115.13,1.07
115.41,1.07
115.70,1.03
115.98,1.13
116.27,1.09
116.55,1.11
116.84,1.07
117.12,1.13
117.41,1.09
117.70,1.06
117.99,1.05
118.28,1.10
118.55,1.07
118.84,1.00
119.12,1.10
119.40,1.12
119.68,1.10
119.96,1.05
120.24,1.10
120.52,1.03
120.80,1.10
121.08,1.09
121.38,1.16
121.66,1.07
121.94,1.07
122.23,1.11
122.52,1.03
122.80,1.09
123.08,1.06
123.36,1.07
123.64,1.03
123.92,1.12
124.21,1.08
124.50,1.08
124.77,1.08
125.06,1.09
125.35,1.02
125.64,1.08
125.93,1.07
126.21,1.04
126.49,1.04
126.78,1.08
127.06,1.07
127.34,1.03
127.62,1.10
127.90,1.11
128.19,1.13
128.51,1.07
128.79,1.07
129.08,1.09
129.36,1.06
129.64,1.11
129.93,1.05
130.22,1.10
130.50,1.11
130.79,1.06
131.07,1.06
131.35,1.11
131.64,1.06
131.92,1.05
132.21,1.08
132.49,1.05
132.78,1.08
133.06,1.08
133.35,1.07
133.64,1.00
133.92,1.15
134.21,1.05
134.49,1.10
134.77,1.06
135.06,1.04
135.34,1.10
135.63,1.09
135.92,1.09
136.20,1.07
136.47,1.06
136.76,1.14
137.04,1.00
137.32,1.04
137.61,1.03
137.89,1.11
138.17,1.02
138.45,1.02
138.73,1.05
139.01,1.13
139.30,1.06
139.58,1.01
139.86,1.09
140.14,1.07
140.42,1.08
140.70,1.04
140.99,1.07
141.27,1.04
141.55,1.04
141.83,1.00
142.11,1.08
142.40,1.02
142.68,1.03
142.97,1.11
143.25,1.04
143.53,1.00
143.82,1.08
144.09,1.01
144.37,1.09
144.65,1.01
144.94,1.08
145.22,1.13
145.50,1.02
145.78,1.10
146.07,1.10
146.35,1.01
146.64,1.08
146.92,1.13
147.20,1.04
147.48,1.06
147.77,1.10
148.05,1.02
148.34,1.08
148.62,1.07
148.91,1.09
149.19,1.10
149.48,1.08
149.76,1.07
150.05,1.04
150.33,1.05
150.61,1.09
150.89,1.04
151.18,1.03
151.46,1.05
151.74,1.04
152.03,1.06
152.31,1.06
152.60,1.11
152.89,1.05
153.16,1.09
153.44,1.05
153.72,1.04
154.01,1.07
154.29,1.04
154.58,1.08
154.86,1.12
155.16,1.05
155.45,1.06
155.73,1.02
156.01,1.11
156.30,1.04
156.58,1.02
156.86,1.09
157.14,1.04
157.43,1.08
157.71,1.13
158.00,1.09
158.28,1.04
158.56,1.09
158.85,1.10
159.13,1.05
159.42,1.04
159.70,1.08
159.99,1.07
160.27,1.02
160.55,1.13
160.84,1.00
161.12,1.09
161.41,1.04
161.69,1.05
161.98,1.12
162.26,1.09
162.54,1.05
162.82,1.04
163.11,1.07
163.39,1.09
163.68,1.03
163.96,1.16
164.24,1.10
164.52,1.08
164.81,1.09
165.10,1.05
165.38,1.08
165.66,1.05
165.94,1.03
166.21,1.04
166.49,1.02
166.78,1.06
167.06,1.12
167.34,1.01
167.62,1.08
167.90,1.11
168.18,1.11
168.46,1.08
168.75,1.01
169.03,1.06
169.31,1.02
169.58,1.12
169.87,1.10
170.16,1.13
170.44,1.05
170.72,1.09
171.01,1.12
171.30,1.04
171.58,1.09
171.88,1.09
172.16,1.07
172.44,1.03
172.73,1.07
173.01,1.04
173.29,1.03
173.58,1.06
173.86,1.07
174.15,1.09
174.43,1.07
174.71,1.05
174.99,1.08
175.28,1.07
175.56,1.01
175.84,1.10
176.13,0.99
176.41,1.06
176.70,1.04
176.98,1.16
177.27,1.11
177.55,1.04
177.83,1.05
178.12,1.04
178.40,1.08
178.68,1.04
178.97,1.06
179.25,1.06
179.53,1.00
179.82,1.09
180.10,1.06
180.39,1.01
180.67,1.11
180.95,1.01
181.23,1.11
181.51,1.04
181.80,1.07
182.08,1.06
182.36,1.02
182.64,1.07
182.92,1.09
183.20,1.10
183.49,1.13
183.77,1.05
184.05,1.17
184.34,1.05
184.66,1.02
184.94,1.09
185.23,1.06
185.51,1.06
185.80,1.07
186.07,0.96
186.36,1.10
186.64,1.07
186.92,1.07
187.21,1.12
187.49,1.11
187.77,1.02
188.05,1.06
188.34,1.06
188.62,1.02
