time,utilization
0.00,0.00
0.32,16.34
0.62,1.24
0.92,1.02
1.23,0.87
1.56,1.06
1.87,1.07
2.20,1.04
2.53,1.03
2.84,0.97
3.15,1.05
3.49,1.02
3.81,1.11
4.12,1.04
4.44,1.03
4.73,1.06
5.05,0.97
5.38,1.03
5.69,1.03
6.00,1.04
6.30,1.01
6.59,1.10
6.90,1.01
7.20,1.06
7.52,1.03
7.82,1.03
8.14,1.02
8.45,1.12
8.76,1.08
9.05,1.13
9.38,1.06
9.71,0.98
10.03,1.06
10.34,0.99
10.64,1.02
10.93,1.11
11.23,1.08
11.56,1.15
11.88,1.05
12.26,1.02
12.57,1.00
12.89,1.05
13.20,1.04
13.51,1.03
13.82,0.97
14.13,1.09
14.44,1.05
14.73,1.14
15.04,1.02
15.35,1.00
15.68,1.00
15.98,1.02
16.28,1.05
16.58,1.05
16.89,1.02
17.19,0.99
17.51,1.03
17.84,1.12
18.16,0.95
18.47,1.05
18.78,1.02
19.09,1.04
19.39,1.03
19.74,0.98
20.05,1.04
20.36,1.04
20.67,1.04
20.99,1.06
21.31,1.07
21.60,1.04
21.90,1.12
22.25,1.03
22.57,1.08
22.88,1.00
23.18,1.04
23.48,0.99
23.81,1.06
24.13,1.05
24.42,1.02
24.72,1.07
25.02,1.02
25.32,1.02
25.63,1.09
25.93,1.11
26.23,1.07
26.55,1.04
26.86,1.03
27.19,1.05
27.48,1.03
27.82,1.04
28.13,1.03
28.44,1.02
28.75,1.01
29.06,0.99
29.38,1.04
29.70,1.00
30.01,1.12
30.32,1.01
30.64,1.02
30.96,1.01
31.26,1.06
31.56,1.10
31.88,1.02
32.21,1.10
32.52,0.97
32.82,1.11
33.13,1.03
33.43,1.05
33.73,1.02
34.05,1.11
34.35,1.04
34.65,1.08
34.97,1.03
35.30,0.97
35.61,1.00
35.93,1.01
36.24,1.09
36.55,1.02
36.86,1.10
37.17,0.99
37.49,1.08
37.81,1.17
38.12,1.07
38.43,0.99
38.72,1.08
39.02,1.06
39.35,1.05
39.66,1.03
39.98,1.03
40.30,1.00
40.65,1.03
41.00,1.02
41.31,1.06
41.61,1.05
41.94,0.98
42.27,0.99
42.62,1.07
42.93,1.12
43.28,1.04
43.62,1.03
43.96,1.02
44.27,1.02
44.60,0.93
44.93,1.07
45.26,1.09
45.57,1.00
45.86,1.05
46.18,1.10
46.51,1.10
46.81,1.07
47.12,0.99
47.43,1.01
47.75,1.19
48.06,1.02
48.38,1.04
48.69,1.03
49.00,1.12
49.31,1.00
49.62,0.98
49.94,1.09
50.26,1.05
50.57,1.01
50.88,1.10
51.20,1.03
51.52,1.07
51.84,1.08
52.13,0.95
52.42,1.02
52.73,1.16
53.02,1.04
53.34,1.02
53.67,1.00
53.98,1.00
54.28,1.04
54.61,0.99
54.93,1.15
55.24,1.01
