CPU Cap (W),GPU Cap (W),Runtime (s)
65,260,5.96
70,260,5.6
75,260,4.76
80,260,4.78
85,260,4.53
90,260,3.88
95,260,3.75
100,260,3.87
105,260,3.41
110,260,3.36
115,260,3.23
120,260,3.19
125,260,3.19
65,260,6.12
70,260,5.47
75,260,4.92
80,260,4.56
85,260,4.4
90,260,4.5
95,260,3.65
100,260,3.79
105,260,3.37
110,260,3.36
115,260,3.24
120,260,3.2
125,260,3.19
65,260,6.02
70,260,5.45
75,260,4.73
80,260,4.53
85,260,4.79
90,260,4.34
95,260,3.53
100,260,3.65
105,260,3.37
110,260,3.41
115,260,3.35
120,260,3.19
125,260,3.21
65,260,6.09
70,260,5.46
75,260,4.68
80,260,4.41
85,260,4.84
90,260,4.43
95,260,3.55
100,260,3.53
105,260,3.5
110,260,3.32
115,260,3.25
120,260,3.21
125,260,3.19
65,260,5.83
70,260,5.42
75,260,4.89
80,260,4.51
85,260,4.68
90,260,4.71
95,260,3.58
100,260,3.55
105,260,3.37
110,260,3.44
115,260,3.25
120,260,3.2
125,260,3.19
