CPU Cap (W),GPU Cap (W),Runtime (s)
125,100,28.5
125,120,25.32
125,140,23.72
125,160,22.83
125,180,22.46
125,200,22.45
125,220,22.49
125,240,22.61
125,260,22.62
125,100,28.5
125,120,25.37
125,140,23.77
125,160,22.89
125,180,22.47
125,200,22.48
125,220,22.61
125,240,22.61
125,260,22.61
125,100,28.54
125,120,25.3
125,140,23.78
125,160,22.87
125,180,22.45
125,200,22.61
125,220,22.61
125,240,22.61
125,260,22.6
125,100,28.55
125,120,25.31
125,140,23.75
125,160,22.86
125,180,22.44
125,200,22.45
125,220,22.46
125,240,22.47
125,260,22.48
125,100,28.46
125,120,25.34
125,140,23.72
125,160,22.82
125,180,22.47
125,200,22.47
125,220,22.47
125,240,22.6
125,260,22.6
