CPU Cap (W),GPU Cap (W),Runtime (s)
65,260,20.75
70,260,19.5
75,260,18.51
80,260,18.46
85,260,19.26
90,260,18.97
95,260,17.42
100,260,18.0
105,260,17.2
110,260,17.6
115,260,17.06
120,260,17.0
125,260,16.97
65,260,20.56
70,260,19.75
75,260,18.38
80,260,18.28
85,260,19.37
90,260,18.87
95,260,17.87
100,260,17.92
105,260,17.36
110,260,17.68
115,260,17.07
120,260,16.99
125,260,16.98
65,260,20.62
70,260,19.53
75,260,18.46
80,260,18.48
85,260,19.17
90,260,18.64
95,260,17.48
100,260,17.87
105,260,17.27
110,260,17.52
115,260,17.07
120,260,16.97
125,260,16.97
65,260,20.67
70,260,19.81
75,260,18.7
80,260,18.43
85,260,19.21
90,260,18.88
95,260,17.58
100,260,17.83
105,260,17.27
110,260,17.66
115,260,17.09
120,260,16.99
125,260,16.97
65,260,20.7
70,260,19.65
75,260,18.48
80,260,18.56
85,260,19.15
90,260,18.91
95,260,17.82
100,260,18.23
105,260,17.34
110,260,17.6
115,260,17.09
120,260,16.98
125,260,17.0
